onset	duration	trial_type	rt	resp
0.000349600100889802	0.6257442999631166	fixation_1	999	999
0.6261698000598699	3.001155599951744	face	1.7831645000260323	1
3.627367499982938	0.6257442999631166	fixation_2	999	999
4.17604329995811	1.0166061001364142	feedback win	999	999
5.192651499994099	5.317148000001907	ITI	999	999
10.526441700058058	0.6327510999981314	fixation_1	999	999
11.15923950006254	3.0013915998861194	face	1.5327601998578757	2
14.1606715999078	0.6327510999981314	fixation_2	999	999
14.709379599895328	1.0164094001520425	feedback loss	999	999
15.725791200064123	1.119068899890408	ITI	999	999
16.847992199938744	0.6280046999454498	fixation_1	999	999
17.476043599890545	3.0015587001107633	face	2.0326795000582933	1
20.47764250007458	0.6280046999454498	fixation_2	999	999
21.026028800057247	1.016540699871257	feedback win	999	999
22.042571499943733	1.1176750001031905	ITI	999	999
23.1634990000166	0.6290722000412643	fixation_1	999	999
23.7926165999379	3.0016430001705885	face	1.782937000039965	1
26.794299100060016	0.6290722000412643	fixation_2	999	999
27.342585700098425	1.000016100006178	feedback win	999	999
28.34260390000418	3.2171877999790013	ITI	999	999
31.563123299973086	0.6292986001353711	fixation_1	999	999
32.19246769999154	3.001147500006482	face	2.0334832998923957	1
35.19365600007586	0.6292986001353711	fixation_2	999	999
35.74248749995604	1.0168572999536991	feedback loss	999	999
36.759346900042146	5.316113400040194	ITI	999	999
42.07869219989516	0.630709300050512	fixation_1	999	999
42.70947239990346	3.0013036001473665	face	1.7823068001307547	2
45.710818900028244	0.630709300050512	fixation_2	999	999
46.25930349994451	1.0166901000775397	feedback loss	999	999
47.2759958000388	3.2158919000066817	ITI	999	999
50.49517640005797	0.630758099956438	fixation_1	999	999
51.12598320003599	3.0017935999203473	face	1.7825910998508334	1
54.127817099913955	0.630758099956438	fixation_2	999	999
54.675964599940926	1.016576300142333	feedback win	999	999
55.69254290009849	3.217279399977997	ITI	999	999
58.91317389998585	0.6293790999334306	fixation_1	999	999
59.54260220006108	3.0011501000262797	face	1.5333716999739408	1
62.54379449994303	0.6293790999334306	fixation_2	999	999
63.09253349993378	1.0166015999857336	feedback loss	999	999
64.10913720005192	1.117624499835074	ITI	999	999
65.23021279997192	0.6290649001020938	fixation_1	999	999
65.85932720010169	3.0011143998708576	face	1.533415799960494	2
68.86048209993169	0.6290649001020938	fixation_2	999	999
69.40929430001415	1.0	feedback win	999	999
70.40929639991373	1.116652199998498	ITI	999	999
71.52930789999664	0.6299580000340939	fixation_1	999	999
72.15939170005731	3.001404299866408	face	1.5329821999184787	2
75.160836199997	0.6299580000340939	fixation_2	999	999
75.70972130005248	1.0161154998932034	feedback win	999	999
76.72583890007809	1.1169485999271274	ITI	999	999
77.84621069999412	0.6296874999534339	fixation_1	999	999
78.47601250000298	3.001872600056231	face	2.282825700007379	2
81.47797990008257	0.6296874999534339	fixation_2	999	999
82.02564230002463	1.0002436998765916	feedback loss	999	999
83.02588810003363	3.216752100037411	ITI	999	999
86.24608450010419	0.6297190999612212	fixation_1	999	999
86.87585479998961	3.001129599986598	face	2.283373099984601	2
89.87702540005557	0.6297190999612212	fixation_2	999	999
90.42605979996733	1.0164232000242919	feedback loss	999	999
91.44248520000838	1.118333299877122	ITI	999	999
92.56427319999784	0.628244600025937	fixation_1	999	999
93.19256990007125	3.0010718998964876	face	1.5331863998435438	1
96.19368709996343	0.628244600025937	fixation_2	999	999
96.74248540005647	1.0000298998784274	feedback win	999	999
97.74251760006882	5.317320500034839	ITI	999	999
103.06341039994732	0.6290051999967545	fixation_1	999	999
103.69248560001142	3.0015505999326706	face	1.2831560999620706	1
106.69408380007371	0.6290051999967545	fixation_2	999	999
107.24241820001043	1.0000958000309765	feedback win	999	999
108.24251620005816	1.1172980000264943	ITI	999	999
109.36343419994228	0.6289439001120627	fixation_1	999	999
109.99245169991627	3.0010020001791418	face	1.2830475000664592	2
112.99349580006674	0.6289439001120627	fixation_2	999	999
113.54239300009795	1.0002915998920798	feedback win	999	999
114.54268680000678	5.316254199948162	ITI	999	999
119.86258110008202	0.6299622999504209	fixation_1	999	999
120.49261619988829	3.0012962000910193	face	1.5332018001936376	2
123.49395960010588	0.6299622999504209	fixation_2	999	999
124.04261370003223	1.016397099941969	feedback win	999	999
125.05901299999095	3.216891099931672	ITI	999	999
128.27954869996756	0.6294281999580562	fixation_1	999	999
128.90904160006903	3.0408962999936193	face	n/a	n/a
131.94997470011003	0.6294281999580562	fixation_2	999	999
132.49246140010655	1.0165438998956233	feedback win	999	999
133.50900759990327	3.216242700116709	ITI	999	999
136.72934550000355	0.629796399967745	fixation_1	999	999
137.3592199999839	3.0011136999819428	face	1.2836786000989377	1
140.36037930008024	0.629796399967745	fixation_2	999	999
140.90916600008495	1.000032400013879	feedback win	999	999
141.90920059988275	3.2164170001633465	ITI	999	999
145.12926420010626	0.6296233998145908	fixation_1	999	999
145.75897100009024	3.0008314999286085	face	1.533373799873516	1
148.75984359998256	0.6296233998145908	fixation_2	999	999
149.309298499953	1.0000188001431525	feedback win	999	999
150.3093196998816	11.616484500002116	ITI	999	999
161.92955169989727	0.6295186001807451	fixation_1	999	999
162.55913669988513	3.0014813002198935	face	1.033599500078708	1
165.5606589000672	0.6295186001807451	fixation_2	999	999
166.10940039996058	1.0161832000594586	feedback loss	999	999
167.12558609992266	5.317191200098023	ITI	999	999
172.44646580005065	0.6291606999002397	fixation_1	999	999
173.07569389999844	3.0386739999521524	face	n/a	n/a
176.11440429999493	0.6291606999002397	fixation_2	999	999
176.65899799996987	1.0000638000201434	feedback win	999	999
