Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,4,2,0,5.000000e-01,8.075000e-01
2,8,4,1,0,5.000000e-01,8.075000e-01
3,2,8,3,0,5.000000e-01,8.075000e-01
4,8,2,2,0,5.000000e-01,8.075000e-01
5,8,4,2,1,5.000000e-01,4.037500e+00
6,8,0,2,0,5.000000e-01,8.075000e-01
7,8,4,3,1,5.000000e-01,4.037500e+00
8,0,4,1,0,2,8.075000e-01
9,0,8,2,1,5.000000e-01,8.075000e-01
10,8,2,2,1,2,8.075000e-01
11,0,2,3,0,5.000000e-01,4.037500e+00
12,0,2,2,0,2,5.652500e+00
13,2,0,1,1,5.000000e-01,8.075000e-01
14,4,2,3,0,3.500000e+00,8.075000e-01
15,8,4,3,0,2,8.075000e-01
16,0,4,2,1,5.000000e-01,2.422500e+00
17,4,8,1,1,5.000000e-01,8.075000e-01
18,0,8,3,0,2,7.267500e+00
19,8,2,3,0,5.000000e-01,8.075000e-01
20,0,2,1,0,5.000000e-01,8.882500e+00
21,8,2,1,1,2,8.075000e-01
22,4,2,1,0,5.000000e-01,2.422500e+00
23,8,2,3,1,2,8.075000e-01
24,8,2,2,1,5.000000e-01,2.422500e+00
25,2,4,2,0,2,8.075000e-01
26,4,0,2,0,5.000000e-01,8.075000e-01
27,0,4,3,0,5.000000e-01,2.422500e+00
28,4,2,1,1,3.500000e+00,2.422500e+00
29,8,2,1,0,3.500000e+00,2.422500e+00
30,8,0,1,1,5.000000e-01,7.267500e+00
31,0,4,1,1,2,2.422500e+00
32,8,0,1,0,2,8.075000e-01
33,2,8,1,1,5.000000e-01,2.422500e+00
34,0,2,3,1,2,4.037500e+00
35,4,2,3,1,2,2.422500e+00
36,8,2,2,0,3.500000e+00,8.075000e-01
37,8,2,1,0,2,4.037500e+00
38,8,0,3,1,5.000000e-01,5.652500e+00
39,2,8,3,1,5.000000e-01,8.075000e-01
40,0,2,2,1,2,8.075000e-01
41,0,4,3,1,5.000000e-01,2.422500e+00
42,4,2,2,1,2,2.422500e+00
