Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,8,2,1,5.000000e-01,8.075000e-01
2,4,0,1,0,5.000000e-01,8.075000e-01
3,4,8,3,1,2,4.037500e+00
4,8,2,2,0,2,8.075000e-01
5,8,0,2,1,2,2.422500e+00
6,4,2,3,0,2,8.075000e-01
7,4,2,1,1,5.000000e-01,2.422500e+00
8,2,4,2,0,5.000000e-01,7.267500e+00
9,4,8,1,1,5.000000e-01,8.075000e-01
10,8,0,1,1,5.000000e-01,8.075000e-01
11,4,2,1,0,3.500000e+00,2.422500e+00
12,2,8,3,1,5.000000e-01,5.652500e+00
13,0,2,1,1,5.000000e-01,4.037500e+00
14,2,8,3,0,3.500000e+00,8.075000e-01
15,2,8,3,0,2,5.652500e+00
16,0,4,3,0,2,8.075000e-01
17,8,2,1,0,2,2.422500e+00
18,0,4,1,1,5.000000e-01,2.422500e+00
19,8,4,3,0,5.000000e-01,4.037500e+00
20,8,2,1,1,3.500000e+00,4.037500e+00
21,0,2,2,1,5.000000e-01,8.075000e-01
22,0,2,3,1,2,8.075000e-01
23,0,8,1,0,5.000000e-01,8.075000e-01
24,4,2,2,1,5.000000e-01,2.422500e+00
25,2,0,1,0,5.000000e-01,8.882500e+00
26,2,8,2,1,5.000000e-01,2.422500e+00
27,8,0,2,0,5.000000e-01,7.267500e+00
28,8,4,1,0,2,2.422500e+00
29,4,8,2,0,5.000000e-01,8.075000e-01
30,2,8,1,1,5.000000e-01,2.422500e+00
31,8,4,2,1,2,8.075000e-01
32,0,2,3,0,5.000000e-01,8.075000e-01
33,2,8,1,0,2,8.075000e-01
34,0,4,3,1,5.000000e-01,8.075000e-01
35,0,2,2,0,2,8.075000e-01
36,4,0,2,0,3.500000e+00,8.075000e-01
37,8,2,3,1,5.000000e-01,8.075000e-01
38,4,0,2,1,2,2.422500e+00
39,8,2,2,0,2,2.422500e+00
40,2,4,3,1,2,8.075000e-01
41,0,8,3,1,5.000000e-01,4.037500e+00
42,8,0,3,0,5.000000e-01,8.075000e-01
