TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,7,3,1,2,2.550000e+00,1.0,0.0,2.5000045e-06,0.0141685,4.019801,1.0,4.779322,0.759521,6.0,6.536767,7.5459375,3.5261364,7.546127,9.562443
2,2,9,3,3,2,1.700000e+00,1.0,1.0,--,--,9.563818,2.0,10.096217,0.5323988,7.0,12.080272,13.096356,3.5325384,13.096504,15.112459
3,3,3,1,3,2,8.500000e-01,1.0,2.0,--,--,15.117434,1.0,16.079311,0.9618772,2.0,17.635443,18.646027,3.5285938,18.646175,20.662413
4,4,6,2,3,4,1.700000e+00,1.0,3.0,--,--,20.670412,2.0,21.295965,0.6255543,6.0,23.188656,24.196638,3.526226,24.196789,28.212427
5,5,4,2,1,2,2.550000e+00,1.0,4.0,--,--,28.217705,1.0,28.729599,0.5118937,7.0,30.735247,31.74599,3.5282857,31.74614,33.762764
6,6,6,2,3,4,2.550000e+00,1.0,5.0,--,--,33.768124,2.0,34.19595,0.4278269,8.0,36.286266,37.295616,3.5274925,37.295765,41.312393
7,7,9,3,3,2,8.500000e-01,1.0,6.0,--,--,41.315285,2.0,41.795944,0.4806598,8.0,43.83273,44.845013,3.5297282,44.84516,46.845722
8,8,7,3,1,4,1.700000e+00,1.0,7.0,--,--,46.847267,2.0,47.29594,0.4486721,1.0,49.364838,50.379993,3.5327272,50.38014,54.395706
9,9,9,3,3,1,2.550000e+00,1.0,8.0,--,--,54.397022,1.0,54.91268,0.5156598,4.0,56.91434,57.928497,3.531474,57.928646,58.929024
10,10,3,1,3,1,8.500000e-01,1.0,9.0,--,--,58.93186,2.0,59.429104,0.4972411,7.0,61.449066,62.462975,3.5311105,62.463123,63.478977
11,11,4,2,1,3,2.550000e+00,1.0,10.0,--,--,63.48502,2.0,64.22919,0.7441682,1.0,66.00221,67.012985,3.527966,67.01313,70.029
12,12,3,1,3,2,8.500000e-01,1.0,11.0,--,--,70.03179,1.0,70.84592,0.8141212,1.0,72.54827,73.56261,3.5308144,73.56275,75.57899
13,13,1,1,1,2,8.500000e-01,1.0,12.0,--,--,75.580734,1.0,76.22918,0.6484487,7.0,78.0982,79.11308,3.532351,79.113235,81.12896
14,14,7,3,1,4,8.500000e-01,1.0,13.0,--,--,81.13142,2.0,81.81245,0.6810363,2.0,83.648346,84.66197,3.5305626,84.662125,88.66228
15,15,6,2,3,3,2.550000e+00,1.0,14.0,--,--,88.66836,2.0,88.92914,0.2607794,6.0,91.18649,92.195915,3.5275576,92.19607,95.21226
16,16,4,2,1,1,2.550000e+00,1.0,15.0,--,--,95.21744,1.0,95.695786,0.4783479,8.0,97.73521,98.74595,3.528514,98.74609,99.762245
17,17,9,3,3,1,2.550000e+00,1.0,16.0,--,--,99.76455,2.0,100.64587,0.8813112,8.0,102.28185,103.295006,3.530452,103.29515,104.29553
18,18,7,3,1,3,1.700000e+00,1.0,17.0,--,--,104.296844,2.0,104.87895,0.5821085,1.0,106.81449,107.82894,3.5320957,107.82909,110.84555
19,19,3,1,3,1,1.700000e+00,1.0,18.0,--,--,110.84833,1.0,111.24582,0.3974896,1.0,113.3652,114.37923,3.530898,114.37938,115.39554
20,20,3,1,3,4,2.550000e+00,1.0,19.0,--,--,115.3978,1.0,115.895744,0.4979458,1.0,117.915146,118.928925,3.53113,118.92908,122.94548
21,21,7,3,1,4,2.550000e+00,1.0,20.0,--,--,122.9478,2.0,123.32901,0.381211,3.0,125.46522,126.478905,3.5311036,126.47905,130.4955
22,22,9,3,3,3,1.700000e+00,1.0,21.0,--,--,130.49683,1.0,130.9457,0.4488689,2.0,133.01517,134.0289,3.5320778,134.02905,137.04547
23,23,6,2,3,3,1.700000e+00,1.0,22.0,--,--,137.05167,2.0,137.44557,0.3939001,6.0,139.56929,140.5789,3.527228,140.57904,143.59546
