TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,7,3,1,2,2.550000e+00,1.0,0.0,4.0117908,2.0,4.552725,0.5409341,2.0,6.5289564,7.539498,3.527707,7.539723,9.539857
2,2,9,3,3,2,1.700000e+00,1.0,1.0,9.546382,--,--,--,--,--,--,--,--,--
3,3,3,1,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
4,4,6,2,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
5,5,4,2,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
6,6,6,2,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
7,7,9,3,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
8,8,7,3,1,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
9,9,9,3,3,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
10,10,3,1,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
11,11,4,2,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
12,12,3,1,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
13,13,1,1,1,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
14,14,7,3,1,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
15,15,6,2,3,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
16,16,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,9,3,3,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,7,3,1,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,3,1,3,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,3,1,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
21,21,7,3,1,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
22,22,9,3,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
23,23,6,2,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
24,24,1,1,1,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
25,25,6,2,3,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
26,26,3,1,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
27,27,1,1,1,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,1,1,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
29,29,1,1,1,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
30,30,6,2,3,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
31,31,7,3,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
32,32,1,1,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
33,33,4,2,1,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
34,34,6,2,3,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
35,35,7,3,1,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
36,36,1,1,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
37,37,9,3,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
38,38,9,3,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
39,39,7,3,1,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
40,40,3,1,3,4,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
41,41,6,2,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
42,42,4,2,1,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
43,43,1,1,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
44,44,4,2,1,1,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
45,45,7,3,1,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
46,46,9,3,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
47,47,1,1,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
48,48,3,1,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
49,49,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
50,50,6,2,3,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
51,51,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
52,52,3,1,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
53,53,9,3,3,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
54,54,4,2,1,3,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
