Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,0,1,1,2,8.075000e-01
2,8,4,3,0,3.500000e+00,4.037500e+00
3,2,0,2,1,5.000000e-01,4.037500e+00
4,8,2,2,0,5.000000e-01,2.422500e+00
5,8,4,3,1,5.000000e-01,8.075000e-01
6,0,4,1,1,2,2.422500e+00
7,4,8,1,1,5.000000e-01,2.422500e+00
8,8,2,3,1,2,8.075000e-01
9,8,0,2,0,5.000000e-01,2.422500e+00
10,8,2,3,0,5.000000e-01,4.037500e+00
11,4,2,2,0,5.000000e-01,8.075000e-01
12,8,0,3,1,5.000000e-01,8.075000e-01
13,2,8,1,0,3.500000e+00,8.075000e-01
14,2,8,2,1,5.000000e-01,2.422500e+00
15,8,2,2,0,2,8.075000e-01
16,8,4,2,0,5.000000e-01,8.882500e+00
17,8,0,2,1,2,8.075000e-01
18,2,0,1,1,2,7.267500e+00
19,0,2,1,0,2,5.652500e+00
20,8,2,1,1,5.000000e-01,4.037500e+00
21,0,2,3,1,5.000000e-01,8.075000e-01
22,4,0,1,0,2,8.075000e-01
23,8,2,1,1,5.000000e-01,2.422500e+00
24,4,8,1,0,5.000000e-01,8.075000e-01
25,0,4,2,0,2,2.422500e+00
26,4,2,3,1,3.500000e+00,8.075000e-01
27,4,0,3,0,2,8.075000e-01
28,2,4,2,1,2,2.422500e+00
29,2,4,1,1,2,8.075000e-01
30,0,8,3,0,5.000000e-01,8.075000e-01
31,0,2,2,0,3.500000e+00,5.652500e+00
32,8,0,1,0,5.000000e-01,8.075000e-01
33,2,0,3,0,5.000000e-01,8.075000e-01
34,8,2,3,1,2,8.075000e-01
35,4,2,3,0,5.000000e-01,2.422500e+00
36,8,2,2,1,2,8.075000e-01
37,2,4,1,0,5.000000e-01,4.037500e+00
38,0,4,2,1,5.000000e-01,8.075000e-01
39,8,2,3,0,2,7.267500e+00
40,0,4,3,1,5.000000e-01,8.075000e-01
41,2,8,1,0,5.000000e-01,2.422500e+00
42,8,4,2,1,5.000000e-01,2.422500e+00
