TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,2,1,2,2,1.700000e+00,1.0,0.0,3.7001446e-06,0.0026433002,4.01277,2.0,5.314909,1.3021387,5.0,6.5300727,7.5437846,3.5310142,7.544018,9.544413
2,2,9,3,3,2,1.700000e+00,1.0,1.0,--,--,9.558161,1.0,10.144318,0.5861568,3.0,12.075355,13.0861845,3.5280235,13.086371,15.089894
3,3,5,2,2,1,1.700000e+00,1.0,2.0,--,--,15.108456,2.0,16.056026,0.9475708,5.0,17.626074,18.633854,3.5253987,18.634047,19.63612
4,4,9,3,3,2,2.550000e+00,1.0,3.0,--,--,19.640697,1.0,20.868738,1.228041,3.0,22.157831,23.165144,3.5244458,23.165337,25.181562
5,5,4,2,1,3,8.500000e-01,1.0,4.0,--,--,25.194092,2.0,26.181025,0.9869322,1.0,27.711962,28.723192,3.529099,28.723385,31.726236
6,6,7,3,1,1,8.500000e-01,1.0,5.0,--,--,31.730722,1.0,32.109497,0.3787753,7.0,34.24837,35.256435,3.525714,35.256638,36.27241
7,7,3,1,3,2,2.550000e+00,1.0,6.0,--,--,36.280125,1.0,37.588345,1.3082217,4.0,38.797276,39.80703,3.5269067,39.80722,41.817894
8,8,3,1,3,3,2.550000e+00,1.0,7.0,--,--,41.821007,1.0,42.417686,0.5966799,3.0,44.33865,45.344654,3.523647,45.34485,48.34585
9,9,4,2,1,3,1.700000e+00,1.0,8.0,--,--,48.35836,2.0,49.311966,0.9536055,3.0,50.875843,51.8835,3.5251403,51.88373,54.890465
10,10,3,1,3,2,2.550000e+00,1.0,9.0,--,--,54.89622,2.0,55.17357,0.2773486,7.0,57.413334,58.420624,3.5244029,58.42082,60.435852
11,11,5,2,2,2,8.500000e-01,1.0,10.0,--,--,60.447582,2.0,61.268795,0.821213,5.0,62.964283,63.97178,3.5241947,63.97197,65.98132
12,12,4,2,1,1,2.550000e+00,1.0,11.0,--,--,65.99082,1.0,66.98081,0.9899897,8.0,68.50885,69.51821,3.5273893,69.51841,70.52756
13,13,6,2,3,3,1.700000e+00,1.0,12.0,--,--,70.53698,1.0,71.210655,0.6736756,3.0,73.05488,74.062675,3.5256937,74.0629,77.07218
