TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,6,2,3,8.075000e-01,1.615000e+00,1.0,0.0,2.6000198e-06,0.0097131,4.027663,1.0,5.787674,1.7600107,5.888032,2.5549893,8.444725,3.0,8.444859,9.053876,5.0262127,9.054039,9.863829,--
2,2,6,2,3,4.037500e+00,8.075000e-01,1.0,1.0,--,--,9.875317,2.0,11.2211275,1.3458105,11.321486,2.1616895,13.485727,9.0,13.485834,14.091931,4.2166142,14.092064,18.131601,--
3,3,3,1,3,5.652500e+00,1.615000e+00,1.0,2.0,--,--,18.137243,1.0,19.171232,1.0339886,19.271542,3.2810113,22.555721,3.0,22.55583,23.160852,5.023609,23.160984,28.815655,--
4,4,3,1,3,8.075000e-01,2.422500e+00,1.0,3.0,--,--,28.817478,1.0,29.956434,1.1389544,30.056746,3.9835455,34.04182,3.0,34.041924,34.646835,5.8293576,34.646973,35.456734,--
5,5,9,3,3,8.075000e-01,1.615000e+00,1.0,4.0,--,--,35.468044,1.0,37.438015,1.9699703,37.538376,2.3450296,39.88671,1.0,39.88683,40.492508,5.0244637,40.492638,41.301876,--
6,6,4,2,1,8.075000e-01,2.422500e+00,1.0,5.0,--,--,41.314392,2.0,42.556458,1.2420669,42.65678,3.880433,46.53973,4.0,46.53984,47.146835,5.832444,47.14696,47.956406,--
7,7,8,3,2,8.075000e-01,8.075000e-01,1.0,6.0,--,--,47.9666,2.0,50.237392,2.2707949,50.337696,1.2367051,51.57673,5.0,51.576843,52.184948,4.2183495,52.185078,52.994545,--
8,8,5,2,2,2.422500e+00,1.615000e+00,1.0,7.0,--,--,53.007217,1.0,55.58726,2.5800462,55.687565,1.7349539,57.42382,5.0,57.423927,58.027668,5.02045,58.027798,60.452316,--
9,9,1,1,1,8.075000e-01,1.615000e+00,1.0,8.0,--,--,60.455322,1.0,61.187447,0.7321254,61.287758,3.5828745,64.872116,8.0,64.87222,65.478615,5.023293,65.478745,66.28818,--
10,10,7,3,1,8.075000e-01,8.075000e-01,1.0,9.0,--,--,66.297745,2.0,68.47112,2.1733754,68.571434,1.3341246,69.90776,2.0,69.90787,70.51257,4.2148232,70.5127,71.322174,--
