TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,2,3,1,5.000000e-01,8.075000e-01,1.0,0.0,4.0248184,1.0,8,5.290565,high,1.2657468,1.7342532,5.8099856,9.275897,9.278138,11.280555,7.2557364,11.281002,12.082222
2,2,0,2,3,1,3.500000e+00,8.075000e-01,1.0,1.0,12.09469,2.0,2,13.340812,high,1.2461216,1.7538784,13.860156,20.344835,20.34524,22.347908,10.253219,22.348288,23.152937
3,3,8,4,1,0,5.000000e-01,8.075000e-01,1.0,2.0,23.158617,2.0,4,24.540714,low,1.3820974,1.6179026,25.06114,28.409046,28.410984,30.41274,7.254124,30.413155,31.216381
4,4,8,0,3,1,5.000000e-01,2.422500e+00,1.0,3.0,31.229486,1.0,8,32.424137,high,1.1946523,1.8053477,32.943142,36.480007,36.48193,38.48394,7.2544527,38.484318,40.90201
5,5,2,0,2,0,5.000000e-01,8.075000e-01,1.0,4.0,41.009674,2.0,0,42.590816,low,1.58114,1.41886,43.110077,46.259544,46.259666,48.26097,7.251294,48.261345,49.067722
6,6,4,0,3,0,2,2.422500e+00,1.0,5.0,49.08123,1.0,4,50.52417,high,1.4429371,1.5570629,51.04352,55.830704,55.832603,57.8361,8.754871,57.836483,60.254066
7,7,2,4,1,1,2,7.267500e+00,1.0,6.0,60.259598,1.0,2,61.557648,low,1.2980518,1.7019482,62.07661,67.009674,67.01166,69.01366,8.754057,69.01404,76.2781
8,8,2,8,2,1,5.000000e-01,8.075000e-01,1.0,7.0,76.38637,1.0,2,78.00769,low,1.6213253,1.3786747,78.526184,81.63709,81.63899,83.642624,7.2562566,83.64301,84.44398
9,9,0,2,1,0,5.000000e-01,8.075000e-01,1.0,8.0,84.449585,1.0,0,86.02419,low,1.5746104,1.4253896,86.54359,89.69975,89.69987,91.70198,7.252397,91.70236,92.50763
10,10,2,8,3,0,2,2.422500e+00,1.0,9.0,92.52204,2.0,8,93.82418,high,1.3021384,1.6978616,94.34353,99.27198,99.27393,101.27648,8.75444,101.27687,103.69499
11,11,4,8,1,1,5.000000e-01,8.075000e-01,1.0,10.0,103.69942,1.0,4,105.14059,low,1.4411741,1.5588259,105.6596,108.94969,108.951775,110.95507,7.255659,110.95547,111.75787
12,12,8,2,2,0,2,7.267500e+00,1.0,11.0,111.86639,2.0,2,113.3909,low,1.5245194,1.4754806,113.90921,118.6165,118.61824,120.62006,8.753677,120.62044,127.885124
13,13,0,4,3,1,5.000000e-01,8.075000e-01,1.0,12.0,127.90014,2.0,4,129.29088,high,1.3907377,1.6092623,129.8094,133.1508,133.15282,135.1546,7.2544584,135.15498,135.9571
14,14,2,8,1,1,5.000000e-01,8.075000e-01,1.0,13.0,135.9626,1.0,2,137.35718,low,1.3945773,1.6054227,137.8764,141.21361,141.21559,143.21805,7.255456,143.21843,144.021
15,15,4,8,2,0,5.000000e-01,2.422500e+00,1.0,14.0,144.12946,1.0,4,145.50743,low,1.3779806,1.6220194,146.02745,149.3797,149.38144,151.38342,7.2539716,151.3838,153.80206
16,16,4,2,3,1,3.500000e+00,2.422500e+00,1.0,15.0,153.81529,1.0,4,155.22359,high,1.4083012,1.5916988,155.74347,162.06543,162.0674,164.06992,10.254631,164.0703,166.48822
17,17,2,0,1,1,5.000000e-01,8.075000e-01,1.0,16.0,166.49371,2.0,0,168.3747,low,1.8809795,1.1190205,168.89333,171.74408,171.7442,173.74574,7.2520337,173.74612,174.55147
18,18,0,4,1,1,5.000000e-01,2.422500e+00,1.0,17.0,174.55583,1.0,0,176.1575,low,1.6016608,1.3983392,176.67664,179.80525,179.80536,181.80705,7.251224,181.80743,184.22908
19,19,0,2,3,0,2,2.422500e+00,1.0,18.0,184.24237,2.0,2,185.79062,high,1.54824,1.45176,186.30946,190.99274,190.99487,192.99707,8.754688,192.99744,195.41478
20,20,0,4,2,0,5.000000e-01,8.075000e-01,1.0,19.0,195.5208,1.0,0,196.80688,low,1.2860833,1.7139167,197.32695,200.7723,200.77243,202.77423,7.2534356,202.77464,203.57808
21,21,0,8,2,1,3.500000e+00,2.422500e+00,1.0,20.0,203.68463,1.0,0,205.1237,low,1.4390779,1.5609221,205.6434,211.93495,211.93506,213.93715,10.252527,213.93764,216.3582
22,22,8,2,2,0,2,2.422500e+00,1.0,21.0,216.46605,2.0,2,217.95668,low,1.4906285,1.5093715,218.47643,223.21667,223.21867,225.22095,8.754898,225.22133,227.63924
