TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,4,2,1,3.500000e+00,8.075000e-01,1.0,0.0,4.1340623,1.0,8,6.3315234,high,2.1974611,0.8025388,6.8511667,12.383863,12.387642,14.389043,10.254981,14.38949,15.191775
2,2,2,4,3,0,3.500000e+00,8.075000e-01,1.0,1.0,15.224151,2.0,4,17.48162,high,2.2574708,0.7425291,18.00243,23.473969,23.47793,25.480965,10.256815,25.48136,26.283003
3,3,2,4,3,1,5.000000e-01,8.075000e-01,1.0,2.0,26.297565,1.0,2,28.381716,low,2.0841498,0.9158502,28.901972,31.547836,31.549799,33.552113,7.254545,33.55249,34.35502
4,4,8,2,2,1,5.000000e-01,2.422500e+00,1.0,3.0,34.46778,2.0,2,36.66476,low,2.196979,0.8030209,37.185123,39.71815,39.720024,41.72234,7.254558,41.72273,44.14101
5,5,0,2,3,1,5.000000e-01,5.652500e+00,1.0,4.0,44.158085,2.0,2,46.4985,high,2.3404171,0.6595829,47.018307,49.408676,49.41058,51.412315,7.25423,51.412704,57.061405
6,6,0,4,2,1,5.000000e-01,8.075000e-01,1.0,5.0,57.17645,2.0,4,58.71482,high,1.5383708,1.4616292,59.23413,62.427002,62.428856,64.43071,7.2542615,64.43109,65.23411
7,7,2,8,1,1,5.000000e-01,8.075000e-01,1.0,6.0,65.24207,1.0,2,67.54843,low,2.306359,0.6936409,68.06753,70.49296,70.49514,72.49704,7.2549706,72.49743,73.3
8,8,0,2,2,0,5.000000e-01,8.075000e-01,1.0,7.0,73.411896,1.0,0,75.58222,low,2.1703296,0.8296705,76.10148,78.66179,78.66191,80.6641,7.2522078,80.66449,81.46978
9,9,8,2,3,0,2,2.422500e+00,1.0,8.0,81.48706,1.0,8,84.33191,high,2.8448448,0.1551553,84.85073,88.23802,88.23991,90.24188,8.754825,90.242256,92.660065
10,10,4,8,2,0,5.000000e-01,2.422500e+00,1.0,9.0,92.77064,2.0,8,94.83174,high,2.0611033,0.9388966,95.3511,98.02122,98.02297,100.025,7.254359,100.02538,102.44368
11,11,2,8,3,0,2,8.075000e-01,1.0,10.0,102.46077,1.0,2,104.23192,low,1.771143,1.228857,104.75117,109.21087,109.212746,111.215065,8.754293,111.21545,112.0189
12,12,2,8,3,1,5.000000e-01,8.075000e-01,1.0,11.0,112.0335,1.0,2,114.54839,low,2.5148933,0.4851067,115.068214,117.28421,117.28611,119.288,7.2545004,119.28838,120.09199
13,13,0,4,1,0,5.000000e-01,4.037500e+00,1.0,12.0,120.097855,2.0,4,121.83139,high,1.7335317,1.2664683,122.35113,125.349,125.350945,127.35266,7.2548075,127.35304,131.38637
14,14,4,0,3,1,5.000000e-01,7.267500e+00,1.0,13.0,131.4045,1.0,4,133.43199,high,2.0274932,0.9725068,133.95184,136.65497,136.6569,138.6586,7.2541,138.65898,145.922
15,15,2,4,1,1,2,2.422500e+00,1.0,14.0,145.92754,1.0,2,147.79825,low,1.8707068,1.1292932,148.31717,152.67775,152.6797,154.68137,8.753821,154.68175,157.10088
16,16,0,2,2,1,5.000000e-01,4.037500e+00,1.0,15.0,157.2147,2.0,2,159.28209,high,2.067397,0.932603,159.80096,162.46486,162.46674,164.46858,7.2538843,164.46896,168.50389
17,17,0,4,3,0,2,2.422500e+00,1.0,16.0,168.52107,2.0,4,170.84848,high,2.3274035,0.6725964,171.3672,175.27159,175.27347,177.27602,8.754938,177.2764,179.694
18,18,8,2,1,1,2,2.422500e+00,1.0,17.0,179.6999,2.0,2,181.83131,low,2.1314013,0.8685986,182.35109,186.45093,186.45288,188.45497,8.75507,188.45537,190.87344
19,19,8,2,3,1,5.000000e-01,8.075000e-01,1.0,18.0,190.88948,2.0,2,192.5816,low,1.6921254,1.3078746,193.10065,196.14003,196.142,198.14363,7.2541494,198.14401,198.94795
20,20,8,4,1,0,5.000000e-01,8.075000e-01,1.0,19.0,198.95218,2.0,4,200.89821,low,1.9460284,1.0539716,201.41786,204.20299,204.2049,206.20808,7.2559114,206.20847,207.00961
21,21,0,8,1,0,5.000000e-01,8.075000e-01,1.0,20.0,207.01407,2.0,8,209.51483,high,2.5007577,0.4992423,210.03505,212.26501,212.26541,214.26813,7.254065,214.26851,215.07184
22,22,2,0,1,0,2,5.652500e+00,1.0,21.0,215.07608,1.0,2,217.09816,high,2.0220754,0.9779246,217.6172,221.8267,221.82712,223.82999,8.7539,223.83037,229.48001
23,23,0,8,3,1,5.000000e-01,2.422500e+00,1.0,22.0,229.49844,1.0,0,231.34839,low,1.8499392,1.1500608,231.86816,234.75018,234.7503,236.75179,7.253345,236.75218,239.17209
