TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,2,1,2,2,1.700000e+00,1.0,0.0,4.0145564,1.0,5.420191,1.4056344,5.0,6.531834,7.5460324,3.5314755,7.5462713,9.5498085
2,2,9,3,3,2,1.700000e+00,1.0,1.0,9.565384,2.0,11.115538,1.5501542,8.0,12.081999,13.0949955,3.5296123,13.095184,15.095221
3,3,5,2,2,1,1.700000e+00,1.0,2.0,15.103189,2.0,16.244576,1.1413847,5.0,17.620144,18.630625,3.527435,18.630817,19.641497
4,4,9,3,3,2,2.550000e+00,1.0,3.0,19.645765,2.0,20.824215,1.1784482,6.0,22.163202,23.173563,3.5277967,23.173758,25.18697
5,5,4,2,1,3,8.500000e-01,1.0,4.0,25.191723,1.0,26.003332,0.8116097,9.0,27.71002,28.721966,3.5302427,28.722149,31.731615
6,6,7,3,1,1,8.500000e-01,1.0,5.0,31.736492,2.0,32.315346,0.5788534,1.0,34.253677,35.26184,3.5253506,35.26204,36.277863
7,7,3,1,3,2,2.550000e+00,1.0,6.0,36.285442,0.0,999.0,999.0,999.0,38.792973,39.808617,3.5231721,39.808807,41.823246
8,8,3,1,3,3,2.550000e+00,1.0,7.0,41.826385,--,--,--,--,--,--,--,--,--
9,9,4,2,1,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
10,10,3,1,3,2,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
11,11,5,2,2,2,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
12,12,4,2,1,1,2.550000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
13,13,6,2,3,3,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
14,14,4,2,1,1,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
15,15,7,3,1,3,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
16,16,1,1,1,4,8.500000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,2,1,2,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,4,2,1,4,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,1,1,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,7,3,1,2,1.700000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--
