Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,4,1,0,3.500000e+00,2.422500e+00
2,2,8,1,1,5.000000e-01,8.075000e-01
3,2,0,1,1,2,4.037500e+00
4,0,2,3,1,5.000000e-01,2.422500e+00
5,2,8,2,0,3.500000e+00,2.422500e+00
6,8,2,1,0,5.000000e-01,4.037500e+00
7,8,4,2,1,5.000000e-01,8.882500e+00
8,2,4,2,0,5.000000e-01,2.422500e+00
9,0,4,3,0,3.500000e+00,8.075000e-01
10,8,0,3,0,5.000000e-01,8.075000e-01
11,8,0,3,1,5.000000e-01,8.075000e-01
12,2,4,3,1,2,8.075000e-01
13,8,0,1,1,2,2.422500e+00
14,4,8,3,0,2,5.652500e+00
15,0,2,3,0,2,8.075000e-01
16,2,8,2,1,2,8.075000e-01
17,0,2,2,1,5.000000e-01,8.075000e-01
18,4,0,2,0,5.000000e-01,2.422500e+00
19,2,8,3,1,5.000000e-01,4.037500e+00
20,0,8,2,0,2,8.075000e-01
21,8,2,2,0,5.000000e-01,2.422500e+00
22,4,2,3,0,5.000000e-01,2.422500e+00
23,8,4,3,1,2,2.422500e+00
24,8,0,2,1,5.000000e-01,2.422500e+00
25,8,2,1,0,2,8.075000e-01
26,2,0,1,0,2,2.422500e+00
27,4,0,2,1,5.000000e-01,5.652500e+00
28,4,0,3,1,5.000000e-01,7.267500e+00
29,4,8,1,0,5.000000e-01,4.037500e+00
30,0,4,1,1,5.000000e-01,4.037500e+00
31,2,0,2,0,5.000000e-01,8.075000e-01
32,8,2,3,1,5.000000e-01,8.075000e-01
33,4,8,1,1,5.000000e-01,8.075000e-01
34,4,8,2,0,2,8.075000e-01
35,0,8,1,0,2,7.267500e+00
36,8,2,3,0,5.000000e-01,8.075000e-01
37,4,2,2,1,3.500000e+00,8.075000e-01
38,2,8,2,1,5.000000e-01,8.075000e-01
39,4,2,1,0,2,8.075000e-01
40,8,2,1,1,2,8.075000e-01
41,8,2,3,0,2,8.075000e-01
42,4,2,1,1,5.000000e-01,8.075000e-01
