onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod	Offer_pmod
4.511379	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
4.511379	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
11.443579	2	cue_social	n/a	16	-8	n/a	n/a	n/a
11.443579	2	cue_social_low	n/a	16	-10	n/a	n/a	n/a
18.178082	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
18.178082	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
25.011612	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
25.011612	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
31.844685	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
31.844685	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
42.799873	2	cue_social	n/a	32	8	n/a	n/a	n/a
42.799873	2	cue_social_high	n/a	32	6	n/a	n/a	n/a
51.978010	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
51.978010	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
58.811350	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
58.811350	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
65.710350	2	cue_social	n/a	32	8	n/a	n/a	n/a
65.710350	2	cue_social_high	n/a	32	6	n/a	n/a	n/a
74.911224	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
74.911224	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
82.612850	2	cue_social	n/a	32	8	n/a	n/a	n/a
82.612850	2	cue_social_high	n/a	32	6	n/a	n/a	n/a
89.394570	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
89.394570	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
97.122826	2	cue_social	n/a	32	8	n/a	n/a	n/a
97.122826	2	cue_social_high	n/a	32	6	n/a	n/a	n/a
103.877780	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
103.877780	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
111.574980	2	cue_social	n/a	32	8	n/a	n/a	n/a
111.574980	2	cue_social_high	n/a	32	6	n/a	n/a	n/a
119.236560	2	cue_social	n/a	16	-8	n/a	n/a	n/a
119.236560	2	cue_social_low	n/a	16	-10	n/a	n/a	n/a
126.011090	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
126.011090	2	cue_nonsocial_high	n/a	32	8	n/a	n/a	n/a
133.661120	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
133.661120	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
141.368180	2	cue_social	n/a	16	-8	n/a	n/a	n/a
141.368180	2	cue_social_low	n/a	16	-10	n/a	n/a	n/a
148.144260	2	cue_nonsocial	n/a	16	-10	n/a	n/a	n/a
148.144260	2	cue_nonsocial_low	n/a	16	-8	n/a	n/a	n/a
154.977620	2	cue_nonsocial	n/a	32	6	n/a	n/a	n/a
