TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,2,8,1,1,5.000000e-01,2.422500e+00,1.0,0.0,4.0270314,1.0,2,6.7764125,low,2.7493813,0.2506186,7.2964916,9.277846,9.280985,11.283978,7.2569475,11.284362,13.700007
2,2,2,8,1,0,5.000000e-01,8.075000e-01,1.0,1.0,13.701881,1.0,2,16.093,low,2.3911183,0.6088816,16.612242,18.95258,18.9552,20.95791,7.2560277,20.95826,21.75952
3,3,2,4,2,1,5.000000e-01,8.075000e-01,1.0,2.0,21.883158,1.0,2,24.043003,low,2.1598463,0.8401536,24.56306,27.133516,27.13548,29.137028,7.253871,29.137356,29.940697
4,4,0,8,1,0,5.000000e-01,8.075000e-01,1.0,3.0,29.949152,1.0,0,32.04313,low,2.0939763,0.9060238,32.563183,35.199867,35.19998,37.201458,7.252303,37.20179,38.006893
5,5,2,4,3,0,3.500000e+00,4.037500e+00,1.0,4.0,38.025375,2.0,4,40.259525,high,2.2341485,0.7658515,40.78019,46.27463,46.276432,48.278236,10.252863,48.278584,52.31285
6,6,0,8,1,1,5.000000e-01,8.075000e-01,1.0,5.0,52.319405,1.0,0,54.42614,low,2.106738,0.893262,54.946198,57.569805,57.569916,59.571487,7.2520857,59.571827,60.377747
7,7,0,2,2,1,3.500000e+00,8.075000e-01,1.0,6.0,60.493797,1.0,0,62.609943,low,2.1161435,0.8838566,63.130215,68.74501,68.745125,70.7476,10.253798,70.74793,71.55089
8,8,4,2,2,0,2,8.882500e+00,1.0,7.0,71.66481,2.0,2,73.62655,low,1.961735,1.038265,74.14611,78.415924,78.422585,80.42544,8.760626,80.42577,89.29788
9,9,0,2,2,0,5.000000e-01,8.075000e-01,1.0,8.0,89.41155,1.0,0,91.44295,low,2.0313988,0.9686012,91.96228,94.66203,94.66214,96.663864,7.2523117,96.6642,97.46856
10,10,2,0,1,0,5.000000e-01,8.075000e-01,1.0,9.0,97.47433,1.0,2,99.77632,high,2.3019986,0.6980014,100.29622,102.724815,102.726814,104.72851,7.254183,104.72884,105.53199
11,11,2,8,2,1,5.000000e-01,2.422500e+00,1.0,10.0,105.65286,1.0,2,107.67642,low,2.0235622,0.9764378,108.195175,110.9033,110.90523,112.90786,7.2549996,112.908195,115.3254
12,12,4,8,1,0,2,8.075000e-01,1.0,11.0,115.32984,1.0,4,117.47632,low,2.1464765,0.8535235,117.99584,122.08054,122.08256,124.084946,8.755103,124.085335,124.888336
