Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,0,3,0,5.000000e-01,8.075000e-01
2,8,2,2,0,3.500000e+00,2.422500e+00
3,8,0,2,0,2,8.075000e-01
4,2,0,1,0,5.000000e-01,8.075000e-01
5,2,4,1,0,5.000000e-01,8.075000e-01
6,2,8,2,0,2,8.075000e-01
7,0,4,1,0,3.500000e+00,2.422500e+00
8,4,0,1,1,5.000000e-01,2.422500e+00
9,2,8,1,0,2,8.075000e-01
10,8,2,3,1,2,4.037500e+00
11,4,8,2,1,3.500000e+00,8.075000e-01
12,2,8,3,0,2,2.422500e+00
13,4,2,2,1,5.000000e-01,8.075000e-01
14,8,2,3,0,5.000000e-01,5.652500e+00
15,8,2,1,0,5.000000e-01,2.422500e+00
16,8,0,3,1,2,8.075000e-01
17,2,0,2,0,2,4.037500e+00
18,2,0,2,1,2,8.075000e-01
19,2,8,3,1,2,8.075000e-01
20,2,4,2,0,5.000000e-01,8.075000e-01
21,8,2,1,1,5.000000e-01,8.075000e-01
22,8,0,1,1,5.000000e-01,2.422500e+00
23,4,8,1,1,2,4.037500e+00
24,2,4,3,0,2,2.422500e+00
25,4,8,2,0,5.000000e-01,4.037500e+00
26,4,8,3,1,5.000000e-01,7.267500e+00
27,8,0,3,0,2,8.075000e-01
28,0,8,1,0,5.000000e-01,5.652500e+00
29,4,2,3,1,3.500000e+00,4.037500e+00
30,0,2,3,1,5.000000e-01,8.075000e-01
31,0,2,3,0,5.000000e-01,8.075000e-01
32,0,2,1,1,5.000000e-01,2.422500e+00
33,2,8,2,1,2,8.075000e-01
34,8,4,3,0,5.000000e-01,8.075000e-01
35,0,8,2,1,5.000000e-01,2.422500e+00
36,2,4,1,1,5.000000e-01,8.075000e-01
37,8,4,1,0,2,8.075000e-01
38,8,2,2,1,5.000000e-01,7.267500e+00
39,4,0,2,0,2,2.422500e+00
40,8,2,1,1,5.000000e-01,8.882500e+00
41,4,0,2,1,5.000000e-01,2.422500e+00
42,0,4,3,1,5.000000e-01,8.075000e-01
