onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.62793629989028	3.00119850016199	decision	2.533411500044167	left	F	FF017.jpg	FF018.jpg
4.17799329990521	1.00007389998063	loss	n/a	n/a	n/a	FF017.jpg	FF018.jpg
11.1280537999701	3.00183660001494	decision	2.0326386999804527	right	F	FF035.jpg	FF036.jpg
14.6779737998731	1.01653740019538	win	n/a	n/a	n/a	FF035.jpg	FF036.jpg
21.644584099995	3.00089369993657	decision	2.7833298000041395	right	F	FF021.jpg	FF022.jpg
25.1945104000624	1.00013209995814	loss	n/a	n/a	n/a	FF021.jpg	FF022.jpg
32.1445333999582	3.0023874999024	decision	2.5328856001142412	left	M	MF025.jpg	MF026.jpg
35.6944913999178	1.01676560007036	loss	n/a	n/a	n/a	MF025.jpg	MF026.jpg
38.4611944998614	3.03586320020258	decision-missed	n/a	n/a	M	MF027.jpg	MF028.jpg
42.0445077999029	1.01654079998843	loss	n/a	n/a	n/a	MF027.jpg	MF028.jpg
44.8112369000446	3.00134369987063	decision	2.2827180000022054	right	M	MF023.jpg	MF024.jpg
48.3613352000248	1.01663589989766	win	n/a	n/a	n/a	MF023.jpg	MF024.jpg
51.1278496999294	3.00111300009303	decision	2.5335864999797195	right	F	FF037.jpg	FF038.jpg
54.6777884999756	1.01669429987669	win	n/a	n/a	n/a	FF037.jpg	FF038.jpg
59.5444076999556	3.00091940001585	decision	2.7832404000218958	right	M	MF011.jpg	MF012.jpg
63.0944809999783	1.00007990002632	loss	n/a	n/a	n/a	MF011.jpg	MF012.jpg
67.9445557999425	3.00114429998212	decision	2.7825963001232594	left	F	FF009.jpg	FF010.jpg
71.4944239000324	1.0167397998739	win	n/a	n/a	n/a	FF009.jpg	FF010.jpg
74.2612375000026	3.00111839990132	decision	2.7825946998782456	right	F	FF027.jpg	FF028.jpg
77.8111876999028	1.00013980013318	win	n/a	n/a	n/a	FF027.jpg	FF028.jpg
