onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.6013748999685049	3.000828400021419	decision	2.035339900001418	left	S	SD001.jpg	SD002.jpg
4.155072399997152	1.0010338999563828	win	n/a	n/a	n/a	SD001.jpg	SD002.jpg
11.078846299962606	3.0012798000243492	decision	2.535318400012329	right	S	SD003.jpg	SD004.jpg
14.632536899996921	1.0011128999758512	loss	n/a	n/a	n/a	SD003.jpg	SD004.jpg
17.352022399951238	3.0023802000214346	decision	1.7839569000061601	left	S	SD005.jpg	SD006.jpg
20.905454899999313	1.0010831999825314	win	n/a	n/a	n/a	SD005.jpg	SD006.jpg
23.625006199989002	3.0023639000137337	decision	2.5349806000012904	left	D	DD001.jpg	DD002.jpg
27.178386999992654	1.0009275999618694	win	n/a	n/a	n/a	DD001.jpg	DD002.jpg
31.999597699963488	3.03580419998616	decision-missed	n/a	n/a	D	DD003.jpg	DD004.jpg
35.58695969998371	1.0009354999638163	loss	n/a	n/a	n/a	DD003.jpg	DD004.jpg
42.49364760000026	3.00071619998198	decision	2.0342863999539986	left	S	SD007.jpg	SD008.jpg
46.047131999977864	1.0013670999906026	loss	n/a	n/a	n/a	SD007.jpg	SD008.jpg
50.88577999995323	3.00128590001259	decision	1.283249700034503	left	S	SD009.jpg	SD010.jpg
54.43899049999891	1.0008839999791235	win	n/a	n/a	n/a	SD009.jpg	SD010.jpg
59.27763779996894	3.0013529999996535	decision	1.2833209999953397	left	D	DD005.jpg	DD006.jpg
62.830949099967256	1.0009359000250697	loss	n/a	n/a	n/a	DD005.jpg	DD006.jpg
65.56700349994935	3.0016929000266828	decision	2.033984200039413	left	D	DD007.jpg	DD008.jpg
69.12043289997382	1.001265799975954	win	n/a	n/a	n/a	DD007.jpg	DD008.jpg
71.83995299995877	3.035771500028204	decision-missed	n/a	n/a	D	DD009.jpg	DD010.jpg
75.42691319994628	1.0009644000092521	win	n/a	n/a	n/a	DD009.jpg	DD010.jpg
78.14674329996342	3.0021884000161663	decision	1.282884299987927	left	D	DD011.jpg	DD012.jpg
81.69988669996383	1.001147500006482	loss	n/a	n/a	n/a	DD011.jpg	DD012.jpg
86.53833969996776	3.0016681000124663	decision	1.2833285999950022	right	S	SD011.jpg	SD012.jpg
90.09182089997921	1.0010301999864168	loss	n/a	n/a	n/a	SD011.jpg	SD012.jpg
92.81134189997101	3.0007263000006787	decision	1.2832942000241019	left	S	SD013.jpg	SD014.jpg
96.36482499999693	1.0011369999847375	win	n/a	n/a	n/a	SD013.jpg	SD014.jpg
103.28877829998964	3.001213099982124	decision	1.2831634999602102	left	S	SD015.jpg	SD016.jpg
106.84186999994563	1.0010460000485182	win	n/a	n/a	n/a	SD015.jpg	SD016.jpg
109.56120929995086	3.0346069000079297	decision-missed	n/a	n/a	D	DD013.jpg	DD014.jpg
113.14840459998231	1.0010187000152655	win	n/a	n/a	n/a	DD013.jpg	DD014.jpg
120.07201379997423	3.035367499978747	decision-missed	n/a	n/a	S	SD017.jpg	SD018.jpg
123.65885749994777	1.0008557000546716	win	n/a	n/a	n/a	SD017.jpg	SD018.jpg
128.49690919998102	3.0010802000178955	decision	1.2839141999720596	left	D	DD015.jpg	DD016.jpg
132.05072439997457	1.001042200019583	win	n/a	n/a	n/a	DD015.jpg	DD016.jpg
136.9057107999688	3.0381497999769635	decision-missed	n/a	n/a	S	SD019.jpg	SD020.jpg
140.4925825999817	1.0007251999923028	win	n/a	n/a	n/a	SD019.jpg	SD020.jpg
145.31378959998256	3.0016604000120424	decision	1.2832402000203729	right	D	DD017.jpg	DD018.jpg
148.86767639999744	1.0010921999928541	win	n/a	n/a	n/a	DD017.jpg	DD018.jpg
