TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,6,2,3,8.075000e-01,1.615000e+00,1.0,0.0,2.6000052e-06,0.002243,4.019894,1.0,4.339538,0.3196437,4.4400277,3.9953563,8.4371805,2.0,8.437324,9.044262,5.0243673,9.044449,9.8543415
2,2,1,1,1,2.422500e+00,2.422500e+00,1.0,1.0,--,--,9.859677,2.0,10.072933,0.2132561,10.173321,4.909244,15.086186,1.0,15.0863,15.69195,5.832272,15.692095,18.117216
3,3,8,3,2,8.075000e-01,8.075000e-01,1.0,2.0,--,--,18.125065,2.0,18.33935,0.2142864,18.439667,3.2932136,21.73608,5.0,21.73619,22.34257,4.2175055,22.342714,23.152172
4,4,4,2,1,4.037500e+00,1.615000e+00,1.0,3.0,--,--,23.165731,2.0,23.289577,0.1238471,23.389925,4.191153,27.583607,1.0,27.583721,28.188278,5.0225477,28.188433,32.228157
5,5,2,1,2,2.422500e+00,8.075000e-01,1.0,4.0,--,--,32.231083,2.0,32.339405,0.1083219,32.439728,3.399178,35.841183,5.0,35.841297,36.44636,4.2152786,36.446503,38.871174
6,6,7,3,1,2.422500e+00,8.075000e-01,1.0,5.0,--,--,38.878555,--,--,--,--,--,--,--,--,--,--,--,--
7,7,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,6,2,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,6,2,3,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,1,1,1,5.652500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,4,2,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,4,2,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,3,1,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,3,1,3,7.267500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,9,3,3,5.652500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,7,3,1,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,7,3,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,5,2,2,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,4,2,1,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,1,1,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,7,3,1,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,4,2,1,7.267500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,7,3,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,1,1,1,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,3,1,3,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,1,1,8.882500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,2,1,2,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,7,3,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,6,2,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,3,1,3,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,6,2,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,9,3,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,5,2,2,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,4,2,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,9,3,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,7,3,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,4,2,1,5.652500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,3,1,3,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,6,2,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,4,2,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,7,3,1,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,8,3,2,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,1,1,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,9,3,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,9,3,3,5.652500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
