instrText,stimDoor,stimDoorLure,stimFace,stimFaceLure,Instructions.thisRepN,Instructions.thisTrialN,Instructions.thisN,Instructions.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Func,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,Stim,Lure,Participant*,date,expName,psychopyVersion,frameRate,
"Thank you for participating in our study!\n\n In the earlier picture task, you guessed which doors contained a prize, and which peers liked you. \n\n You then saw positive or negative feedback (green up arrow or red down arrow) from the door or peer you selected.\n\n The green up arrow indicated that the door contained a prize, or that the peer liked you. \n\n The red down arrow indicated that the door contained a loss, or that the peer disliked you. \n\n  Please press the spacebar to continue.",,,,,0,0,0,0,,,,,instrFunc,space,"Thank you for participating in our study!\n\n In the earlier picture task, you guessed which doors contained a prize, and which peers liked you. \n\n You then saw positive or negative feedback (green up arrow or red down arrow) from the door or peer you selected.\n\n The green up arrow indicated that the door contained a prize, or that the peer liked you. \n\n The red down arrow indicated that the door contained a loss, or that the peer disliked you. \n\n  Please press the spacebar to continue.",19.73942890000012,17.53657750000002,37.48911315999976,2022-04-12 14:21:12.126188,2022-04-12 14:21:32.071338,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"You will now see a series of doors and peers, some of which you saw during the earlier picture task, and some which you have never seen before.\n\n For doors/peers that you remember getting feedback from, your job is to RECALL whether that door or peer gave you positive or negative feedback. \n\n Press '1' to indicate that you recall positive feedback. \n\n Press '2' to indicate that you recall negative feedback.\n\n You will see a green and red circle under the word 'RECALL' on the left side of the screen to remind you what to press. \n\n Press the spacebar to continue.",,,,,0,1,1,1,,,,,instrFunc,space,"You will now see a series of doors and peers, some of which you saw during the earlier picture task, and some which you have never seen before.\n\n For doors/peers that you remember getting feedback from, your job is to RECALL whether that door or peer gave you positive or negative feedback. \n\n Press '1' to indicate that you recall positive feedback. \n\n Press '2' to indicate that you recall negative feedback.\n\n You will see a green and red circle under the word 'RECALL' on the left side of the screen to remind you what to press. \n\n Press the spacebar to continue.",27.187073100000134,37.43248659999995,64.78328292999981,2022-04-12 14:21:32.073333,2022-04-12 14:21:59.414515,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"For doors/peers that you don't remember getting feedback from, your job is to PREDICT whether you think that door or peer WOULD HAVE given you positive or negative feedback. \n\n Press '9' if you predict that you would have received positive feedback.\n\n Press '0' if you predict that you would have received negative feedback. \n\n You will see a green and red circle under the word 'PREDICT' on the right side of the screen to remind you what to press. \n\n Please press the spacebar to continue.",,,,,0,2,2,2,,,,,instrFunc,space,"For doors/peers that you don't remember getting feedback from, your job is to PREDICT whether you think that door or peer WOULD HAVE given you positive or negative feedback. \n\n Press '9' if you predict that you would have received positive feedback.\n\n Press '0' if you predict that you would have received negative feedback. \n\n You will see a green and red circle under the word 'PREDICT' on the right side of the screen to remind you what to press. \n\n Please press the spacebar to continue.",23.23178359999997,64.75129249999986,88.12241322999989,2022-04-12 14:21:59.416511,2022-04-12 14:22:22.777440,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press. \n\n On the next screen we will show you what those prompts look like, so that you know exactly what to expect. \n\n  You will start with either doors or peers, and then switch halfway through. \n\n Please press the spacebar to continue.",,,,,0,3,3,3,,,,,instrFunc,space,"This task is self-paced, and the prompts will always stay on the screen so that you know which buttons to press. \n\n On the next screen we will show you what those prompts look like, so that you know exactly what to expect. \n\n  You will start with either doors or peers, and then switch halfway through. \n\n Please press the spacebar to continue.",12.87714979999987,88.06938109999987,101.03366312999992,2022-04-12 14:22:22.779435,2022-04-12 14:22:35.733462,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,,,,,,,,,,,,,imgtextFunc,space,"Here is what the screen will look like while you go through all of the doors and peers.

Please let the experimenter know if you have any questions.










Remember to keep your hands on the keyboard at all times.

 Whenever you're ready, press the spacebar to start the task.",9.633323699999892,101.4121502999999,111.49676085999977,2022-04-12 14:22:35.760388,2022-04-12 14:22:45.842167,,,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,DD015.jpg,0,FF015.jpg,0,,,,,0,0,0,14,imgFunc,1,NA,4.583918299999823,111.41489879999995,116.2282773999998,2022-04-12 14:22:45.988773,2022-04-12 14:22:50.787815,FF015.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_SD507.jpg,1,L_MF507.jpg,1,,,,,0,1,1,106,imgFunc,2,NA,4.597124500000064,116.21907279999982,121.00664166000001,2022-04-12 14:22:50.813746,2022-04-12 14:22:55.600822,L_MF507.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD518.jpg,1,L_FF518.jpg,1,,,,,0,2,2,57,imgFunc,2,NA,10.167713999999933,121.05383579999989,131.4450370899997,2022-04-12 14:22:55.630746,2022-04-12 14:23:06.008709,L_FF518.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,SD033.jpg,0,MF033.jpg,0,,,,,0,3,3,92,imgFunc,2,NA,16.532225199999857,131.46309509999992,148.20136795999997,2022-04-12 14:23:06.037632,2022-04-12 14:23:22.777438,MF033.jpg,0,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
,L_DD509.jpg,1,L_FF509.jpg,1,,,,,0,4,4,48,imgFunc,2,NA,1.5294649999998455,148.26282189999984,150.03918788999954,2022-04-12 14:23:22.810362,2022-04-12 14:23:24.575582,L_FF509.jpg,1,12007,2022_Apr_12_1421,Recall,2021.2.3,59.89261254568393,
