TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,32,2.98,1,3,0,1.0,0.0,4.5861483,5.494962,5.510933,5.51108,6.5108924,6.511057,2.0,1.9836594,8.494717,10.279907,3.769469,10.280674,13.26259
2,2,3,16,1.365,1,8,0,1.0,1.0,13.841897,14.761006,14.778795,14.778923,15.778941,15.779083,1.0,1.2153676,16.994452,19.546902,3.7683516,19.547556,20.913584
3,3,3,16,0.5575,1,2,0,1.0,2.0,21.494446,22.411768,22.427505,22.42764,23.427921,23.42806,2.0,1.1004652,24.528524,27.195335,3.767802,27.19598,27.755735
4,4,2,32,1.365,1,0,16,1.0,3.0,28.255873,29.24408,29.261719,29.261793,30.261911,30.262053,2.0,1.7831379,32.04519,34.02889,3.7673755,34.02955,35.396786
5,5,3,16,1.365,1,0,2,1.0,4.0,35.96921,36.894062,36.911583,36.911655,37.91255,37.912693,1.0,1.2996722,39.212368,41.67844,3.7662842,41.679085,43.046013
6,6,2,16,4.595,1,0,2,1.0,5.0,43.555264,44.544086,44.56207,44.562202,45.561893,45.562042,1.0,1.2999057,46.861946,49.328564,3.7670486,49.32921,53.92529
7,7,2,32,4.595,1,0,2,1.0,6.0,54.421967,55.410778,55.428223,55.428303,56.42888,56.429016,1.0,1.6826614,58.11168,60.19586,3.767375,60.196495,64.79283
8,8,3,32,2.98,1,0,2,1.0,7.0,65.380905,66.27818,66.294846,66.29496,67.29587,67.296005,1.0,1.6994056,68.99541,71.06186,3.7663808,71.0625,74.04392
9,9,3,16,0.5575,1,1,0,1.0,8.0,74.66127,75.544174,75.561935,75.562065,76.56239,76.56253,2.0,1.5825582,78.14509,80.32988,3.7678668,80.3305,80.89
10,10,2,32,0.5575,1,8,0,1.0,9.0,81.388725,82.37732,82.394745,82.39486,83.39451,83.39466,1.0,1.7661642,85.16082,87.161804,3.7677138,87.16249,87.72225
11,11,2,32,0.5575,1,3,0,1.0,10.0,88.222015,89.21069,89.22814,89.22826,90.22891,90.22906,2.0,1.14933,91.37839,93.995865,3.7673385,93.9965,94.55552
12,12,2,32,2.98,1,3,0,1.0,11.0,95.05521,96.04391,96.06143,96.06151,97.06233,97.06247,2.0,1.2825551,98.345024,100.829956,3.7680137,100.830605,103.81264
13,13,2,16,0.5575,1,8,0,1.0,12.0,104.32193,105.31063,105.328255,105.32832,106.327805,106.32795,1.0,1.2005675,107.52852,110.09383,3.76643,110.09448,110.65359
14,14,2,32,2.98,1,8,0,1.0,13.0,111.15521,112.143875,112.16152,112.1616,113.161125,113.16126,1.0,1.4337212,114.594986,116.92879,3.768051,116.929436,119.91049
