TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,8,2,2,1,5.000000e-01,8.075000e-01,1.0,0.0,4.1356187,1.0,8,7.061397,high,2.9257786,0.0742213,7.580648,9.385689,9.389,11.391164,7.255545,11.391555,12.193059
2,2,4,8,1,1,2,7.267500e+00,1.0,1.0,12.204137,2.0,8,14.311124,high,2.1069875,0.8930126,14.832462,18.954054,18.956121,20.9584,8.754265,20.958736,28.222868
3,3,4,2,3,0,5.000000e-01,8.075000e-01,1.0,2.0,28.24085,1.0,4,29.895061,high,1.6542104,1.3457896,30.414667,33.49111,33.493862,35.495853,7.2550035,35.496193,36.29857
4,4,4,2,1,1,5.000000e-01,8.075000e-01,1.0,3.0,36.30154,1.0,4,38.41095,high,2.109409,0.8905908,38.931232,41.551876,41.553898,43.555546,7.254004,43.555885,44.358974
5,5,8,4,3,1,5.000000e-01,2.422500e+00,1.0,4.0,44.37712,1.0,8,45.59564,high,1.2185174,1.7814826,46.11523,49.6284,49.630238,51.633152,7.256029,51.633488,54.05006
6,6,4,8,1,0,5.000000e-01,5.652500e+00,1.0,5.0,54.05596,1.0,4,55.511406,low,1.4554431,1.5445569,56.032093,59.306946,59.309082,61.311337,7.255375,61.311672,66.958855
7,7,8,2,3,0,5.000000e-01,8.075000e-01,1.0,6.0,66.97696,1.0,8,68.495026,high,1.5180709,1.4819291,69.01382,72.22764,72.229416,74.231865,7.2549124,74.2322,75.03499
8,8,0,8,3,1,5.000000e-01,8.075000e-01,1.0,7.0,75.05261,2.0,8,76.67806,high,1.625452,1.374548,77.19827,80.302986,80.305,82.30795,7.2553415,82.30829,83.11104
9,9,2,4,2,1,2,8.075000e-01,1.0,8.0,83.22732,2.0,4,84.7449,high,1.5175872,1.4824128,85.26456,89.97768,89.97961,91.982956,8.755642,91.98329,92.78546
10,10,8,2,1,1,3.500000e+00,8.075000e-01,1.0,9.0,92.794395,2.0,2,94.27797,low,1.4835715,1.5164285,94.79729,101.044365,101.04634,103.04894,10.254548,103.04928,103.852005
11,11,8,2,2,0,2,8.075000e-01,1.0,10.0,103.96423,1.0,8,105.69533,high,1.7310946,1.2689054,106.214165,110.71483,110.716644,112.71999,8.755759,112.72033,113.52257
12,12,8,2,2,1,5.000000e-01,8.075000e-01,1.0,11.0,113.63594,2.0,2,115.11175,low,1.4758089,1.5241911,115.635124,118.88711,118.88904,120.891815,7.255874,120.89216,121.69395
13,13,8,2,3,0,2,4.037500e+00,1.0,12.0,121.70962,1.0,8,122.96179,high,1.2521744,1.7478256,123.48032,128.46008,128.46184,130.46468,8.7550535,130.46501,134.49796
14,14,8,2,1,0,5.000000e-01,2.422500e+00,1.0,13.0,134.50171,2.0,2,135.89528,low,1.393566,1.606434,136.41429,139.75119,139.75313,141.75546,7.2537556,141.7558,144.17407
15,15,4,8,2,1,5.000000e-01,5.652500e+00,1.0,14.0,144.29553,2.0,8,145.87836,high,1.5828284,1.4171716,146.39766,149.54599,149.54796,151.5496,7.25407,151.54994,157.19806
16,16,0,2,1,1,2,2.422500e+00,1.0,15.0,157.20389,2.0,2,158.94502,high,1.7411298,1.2588702,159.46451,163.95456,163.95657,165.95895,8.75506,165.95927,168.3764
17,17,0,8,1,1,2,8.075000e-01,1.0,16.0,168.37988,2.0,8,169.8113,high,1.4314008,1.5685992,170.33037,175.13145,175.1318,177.1349,8.755011,177.13524,177.93796
18,18,4,0,3,0,5.000000e-01,8.075000e-01,1.0,17.0,177.95616,1.0,4,179.54443,high,1.5882633,1.4117367,180.06424,183.20699,183.20879,185.2116,7.2554226,185.21193,186.01396
19,19,0,2,3,0,5.000000e-01,8.075000e-01,1.0,18.0,186.03131,2.0,2,187.42763,high,1.3963124,1.6036876,187.94862,191.28183,191.2822,193.28624,7.25492,193.28658,194.08879
20,20,2,0,2,0,5.000000e-01,2.422500e+00,1.0,19.0,194.20445,1.0,2,195.62798,high,1.4235318,1.5764682,196.1469,199.45471,199.4565,201.4593,7.2548513,201.45964,203.8776
21,21,2,0,1,0,3.500000e+00,8.075000e-01,1.0,20.0,203.88115,1.0,2,205.4611,high,1.5799689,1.4200311,205.98195,212.13219,212.13417,214.13594,10.254801,214.13628,214.93893
22,22,4,0,1,0,2,4.037500e+00,1.0,21.0,214.94487,1.0,4,216.26106,high,1.3162051,1.6837949,216.7819,221.69495,221.6953,223.69751,8.752651,223.69786,227.732
23,23,2,4,3,1,5.000000e-01,2.422500e+00,1.0,22.0,227.75064,2.0,4,229.36084,high,1.61021,1.38979,229.88127,233.00119,233.00305,235.00479,7.254155,235.00513,237.4234
24,24,4,2,1,0,2,8.075000e-01,1.0,23.0,237.42934,1.0,4,239.31091,high,1.8815771,1.1184229,239.83092,244.18002,244.18196,246.184,8.754667,246.18434,246.98793
25,25,8,2,1,0,2,2.422500e+00,1.0,24.0,246.99113,1.0,8,249.09438,high,2.103243,0.8967569,249.6136,253.74191,253.74226,255.74457,8.753433,255.7449,258.16397
26,26,8,0,3,0,5.000000e-01,2.422500e+00,1.0,25.0,258.1811,1.0,8,259.67755,high,1.4964733,1.5035267,260.19812,263.4309,263.4327,265.4349,7.2538357,265.43527,267.85486
27,27,8,2,1,1,5.000000e-01,8.882500e+00,1.0,26.0,267.8592,2.0,2,269.5109,low,1.6516957,1.3483043,270.03122,273.10965,273.1117,275.11365,7.2544494,275.11398,283.99207
28,28,8,0,2,1,2,8.075000e-01,1.0,27.0,284.10718,1.0,8,286.07764,high,1.9704674,1.0295326,286.5962,290.8576,290.86203,292.86493,8.757745,292.86526,293.66553
29,29,0,4,2,0,3.500000e+00,7.267500e+00,1.0,28.0,293.77972,2.0,4,295.34445,high,1.5647435,1.4352565,295.86414,302.0305,302.0323,304.03497,10.255253,304.0353,311.2976
30,30,0,4,2,1,5.000000e-01,8.075000e-01,1.0,29.0,311.41006,2.0,4,312.82755,high,1.4174858,1.5825142,313.3466,316.66092,316.6628,318.6649,7.2548294,318.66522,319.46793
31,31,0,2,2,1,5.000000e-01,2.422500e+00,1.0,30.0,319.58066,2.0,2,320.94464,high,1.3639888,1.6360112,321.47147,324.8311,324.83142,326.8338,7.253164,326.83414,329.25378
32,32,0,4,1,1,5.000000e-01,8.075000e-01,1.0,31.0,329.2591,2.0,4,330.79346,high,1.5343589,1.4656411,331.31415,334.50955,334.51154,336.513,7.2539296,336.51337,337.31668
33,33,4,8,3,0,5.000000e-01,8.075000e-01,1.0,32.0,337.33563,2.0,8,338.91122,high,1.5755824,1.4244176,339.43118,342.58603,342.58777,344.59033,7.2546897,344.59067,345.3929
34,34,2,8,2,0,2,2.422500e+00,1.0,33.0,345.5081,1.0,2,346.9774,low,1.4692725,1.5307275,347.4962,352.259,352.26077,354.26346,8.755357,354.2638,356.68097
35,35,8,0,2,0,3.500000e+00,4.037500e+00,1.0,34.0,356.79413,1.0,8,358.34335,high,1.549234,1.450766,358.86453,365.04474,365.04507,367.048,10.253869,367.0483,371.0817
36,36,4,0,3,1,2,8.075000e-01,1.0,35.0,371.09918,2.0,0,372.71124,low,1.6120524,1.3879476,373.2363,377.84958,377.8497,379.85098,8.751803,379.85132,380.65686
37,37,8,2,3,1,5.000000e-01,2.422500e+00,1.0,36.0,380.67374,2.0,2,382.694,low,2.020236,0.9797639,383.2145,385.92468,385.92648,387.92902,7.255254,387.92932,390.34662
38,38,0,2,3,1,2,4.037500e+00,1.0,37.0,390.36234,2.0,2,392.07773,high,1.7154047,1.2845953,392.59622,397.11307,397.11343,399.11584,8.753513,399.11618,403.15057
39,39,2,4,2,0,2,8.075000e-01,1.0,38.0,403.267,2.0,4,404.92773,high,1.6607383,1.3392617,405.4503,410.0179,410.01968,412.02206,8.755062,412.02237,412.82495
40,40,8,0,1,0,5.000000e-01,4.037500e+00,1.0,39.0,412.83115,2.0,0,414.79352,low,1.9623781,1.0376219,415.31467,418.08075,418.08087,420.08292,7.2517896,420.08325,424.11865
41,41,8,2,3,1,5.000000e-01,2.422500e+00,1.0,40.0,424.13596,1.0,8,425.47717,high,1.3412253,1.6587747,425.99753,429.3865,429.3883,431.3909,7.254929,431.39124,433.80884
42,42,4,8,2,0,2,8.075000e-01,1.0,41.0,433.92578,1.0,4,435.29398,low,1.3682148,1.6317852,435.81335,440.6769,440.6787,442.68137,8.755591,442.68167,443.48395
