?TrialNumber	Trialn	TrialType	Partner	Feedback	ITI	ISI	ran	order	studyStart	InitFixOnset	decision_onset	resp	resp_onset	rt	ISI_onset	isi_for_trial	ISI_offset	outcome_val	outcome_onset	outcome_offset	trialDuration	ITIonset	ITIoffset	final_fix_offset
1	1	6	2	3	8.08E-01	1.62E+00	1	0	3.00E-06	0.0100577	4.026265	1	4.758481	0.7322156	4.8588676	3.5827844	8.443196	2	8.443341	9.051043	5.0247774	9.05123	9.860875	--
2	2	1	1	1	2.42E+00	2.42E+00	1	1	--	--	9.866282	1	10.492164	0.6258817	10.592525	4.4966183	15.090659	8	15.090777	15.697024	5.830742	15.697169	18.121897	--
3	3	8	3	2	8.08E-01	8.08E-01	1	2	--	--	18.125233	1	18.542591	0.4173569	18.64293	3.0901432	21.73589	5	21.736008	22.342049	4.216815	22.342196	23.151892	--
4	4	4	2	1	4.04E+00	1.62E+00	1	3	--	--	23.16547	2	23.591743	0.4262736	23.692066	3.8887265	27.582893	2	27.583015	28.187983	5.022512	28.188128	32.227905	--
5	5	2	1	2	2.42E+00	8.08E-01	1	4	--	--	32.230827	2	32.8583	0.6274721	32.958633	2.880028	35.840466	5	35.84058	36.44511	4.2142825	36.445255	38.8697	--
6	6	7	3	1	2.42E+00	8.08E-01	1	5	--	--	38.872086	2	39.39289	0.5208065	39.493233	2.9866934	42.481884	4	42.482002	43.08703	4.2149425	43.087173	45.512306	--
7	7	9	3	3	8.08E-01	2.42E+00	1	6	--	--	45.513615	2	46.041553	0.5279378	46.1419	4.594562	50.73789	8	50.738007	51.342594	5.8289804	51.34274	52.15193	--
8	8	6	2	3	8.08E-01	1.62E+00	1	7	--	--	52.164207	2	52.59201	0.4278028	52.69242	3.8871973	56.5828	8	56.58292	57.187138	5.022929	57.18728	57.996902	--
9	9	6	2	3	4.04E+00	1.62E+00	1	8	--	--	58.008152	1	58.526722	0.5185709	58.627052	3.7964292	62.424854	4	62.424973	63.02866	5.0205092	63.028805	67.06891	--
10	10	1	1	1	5.65E+00	1.62E+00	1	9	--	--	67.07183	1	67.69353	0.6216952	67.793884	3.6933048	71.48966	6	71.48978	72.09606	5.0242295	72.096275	77.7509	--
11	11	4	2	1	2.42E+00	8.08E-01	1	10	--	--	77.762	1	78.19142	0.4294238	78.291756	3.0780761	81.37311	9	81.37323	81.97802	4.216019	81.978165	84.40258	--
12	12	3	1	3	8.08E-01	1.62E+00	1	11	--	--	84.406075	1	84.9247	0.518618	85.02503	3.796382	88.8239	2	88.82401	89.42885	5.0227723	89.42899	90.238304	--
13	13	4	2	1	8.08E-01	8.08E-01	1	12	--	--	90.24923	2	90.87506	0.6258317	90.9754	2.8816683	93.8589	2	93.859024	94.46274	4.2135077	94.46288	95.27234	--
14	14	3	1	3	8.08E-01	8.08E-01	1	13	--	--	95.27519	2	95.908165	0.6329743	96.0085	2.8745258	98.88566	8	98.88577	99.491035	4.2158413	99.49118	100.30054	--
15	15	3	1	3	7.27E+00	2.42E+00	1	14	--	--	100.30232	2	101.02557	0.7232471	101.125916	4.399253	105.52692	7	105.52704	106.13205	5.8297267	106.132195	113.40161	--
16	16	9	3	3	5.65E+00	2.42E+00	1	15	--	--	113.403885	2	113.941605	0.5377196	114.04194	4.58478	118.62797	6	118.62809	119.232155	5.828271	119.2323	124.886894	--
17	17	7	3	1	2.42E+00	1.62E+00	1	16	--	--	124.88818	1	125.308525	0.420335	125.40885	3.894665	129.30583	9	129.30595	129.91064	5.022454	129.9108	132.33528	--
18	18	7	3	1	8.08E-01	1.62E+00	1	17	--	--	132.33661	1	132.75815	0.4215473	132.85846	3.8934526	136.75406	8	136.75418	137.36395	5.0273438	137.36409	138.17351	--
19	19	5	2	2	2.42E+00	2.42E+00	1	18	--	--	138.18454	1	138.70833	0.5237955	138.80865	4.5987043	143.4093	5	143.40942	144.01413	5.8295965	144.01428	146.4389	--
20	20	1	1	1	8.08E-01	8.08E-01	1	19	--	--	146.44182	1	146.97493	0.5331147	147.07526	2.9743853	150.05191	6	150.05202	150.65663	4.2148204	150.65678	151.4669	--
21	21	6	2	3	8.08E-01	2.42E+00	1	20	--	--	151.4781	2	152.00827	0.5301646	152.1086	4.592335	156.70291	6	156.70303	157.30815	5.8300457	157.30829	158.1179	--
22	22	4	2	1	4.04E+00	2.42E+00	1	21	--	--	158.12811	2	158.65807	0.5299439	158.75844	4.592556	163.3539	2	163.35402	163.95903	5.8309164	163.95918	167.99892	--
23	23	6	2	3	8.08E-01	2.42E+00	1	22	--	--	168.00914	1	168.42542	0.4162777	168.52574	4.7062225	173.23491	1	173.23503	173.84004	5.830896	173.8402	174.6499	--
24	24	1	1	1	2.42E+00	8.08E-01	1	23	--	--	174.65274	1	174.97482	0.3220942	175.07516	3.1854057	178.2628	9	178.26291	178.86803	4.2152934	178.86818	181.29291	--
25	25	7	3	1	2.42E+00	2.42E+00	1	24	--	--	181.29514	1	181.72475	0.4296198	181.82507	4.69288	186.51952	8	186.51964	187.1242	5.829082	187.12436	189.5489	--
26	26	3	1	3	8.08E-01	1.62E+00	1	25	--	--	189.55164	1	190.07472	0.5230811	190.17505	3.791919	193.96793	4	193.96803	194.57301	5.0213776	194.57317	195.38394	--
27	27	4	2	1	7.27E+00	2.42E+00	1	26	--	--	195.39493	2	196.02452	0.6296004	196.12488	4.4928994	200.61893	2	200.61905	201.22371	5.8287945	201.22386	208.49332	--
28	28	7	3	1	8.08E-01	1.62E+00	1	27	--	--	208.50493	2	209.04128	0.5363417	209.14163	3.7786584	212.92192	3	212.92203	213.52702	5.022096	213.52716	214.33658	--
29	29	1	1	1	4.04E+00	1.62E+00	1	28	--	--	214.33965	2	215.07466	0.7350118	215.17502	3.5799882	218.75691	1	218.75702	219.36166	5.0220165	219.36182	223.40106	--
30	30	3	1	3	4.04E+00	1.62E+00	1	29	--	--	223.40279	2	223.82465	0.4218583	223.92499	3.8931417	227.82054	9	227.82065	228.42607	5.0232778	228.42621	232.46611	--
31	31	1	1	1	8.88E+00	2.42E+00	1	30	--	--	232.46786	2	233.19153	0.7236654	233.29187	4.3988347	237.69295	4	237.69305	238.29784	5.8299756	238.29799	247.18208	--
32	32	2	1	2	8.08E-01	1.62E+00	1	31	--	--	247.18387	2	247.7078	0.5239157	247.8081	3.7910843	251.6019	5	251.60202	252.2067	5.022827	252.20685	253.0163	--
33	33	7	3	1	8.08E-01	8.08E-01	1	32	--	--	253.01878	2	253.95802	0.9392441	254.05838	2.568256	256.6299	4	256.63007	257.23602	4.217247	257.23618	258.04556	--
34	34	6	2	3	2.42E+00	8.08E-01	1	33	--	--	258.05737	1	258.69113	0.6337715	258.79147	2.8737285	261.66693	4	261.66702	262.27203	4.2146583	262.2722	264.69656	--
35	35	3	1	3	2.42E+00	2.42E+00	1	34	--	--	264.69943	1	265.32425	0.6248243	265.4246	4.497676	269.92337	3	269.9235	270.52704	5.8276	270.52716	272.9516	--
36	36	1	1	1	8.08E-01	8.08E-01	1	35	--	--	272.95334	2	273.47452	0.5211654	273.57486	2.9863346	276.5629	2	276.56302	277.16803	4.214675	277.16815	277.97794	--
37	37	6	2	3	2.42E+00	1.62E+00	1	36	--	--	277.98892	2	278.50766	0.5187305	278.60797	3.7962694	282.40656	7	282.40665	283.01187	5.022941	283.012	285.43594	--
38	38	9	3	3	8.08E-01	8.08E-01	1	37	--	--	285.4382	2	285.9578	0.5196029	286.05814	2.9878972	289.04788	6	289.04797	289.65158	4.2133865	289.65173	290.46194	--
39	39	5	2	2	8.08E-01	8.08E-01	1	38	--	--	290.47266	1	291.10776	0.6350806	291.20807	2.8724194	294.08292	5	294.08304	294.68796	4.2152987	294.6881	295.49808	--
40	40	4	2	1	8.08E-01	2.42E+00	1	39	--	--	295.5082	1	295.94128	0.4330482	296.0416	4.6894517	300.73306	9	300.7332	301.33792	5.8297014	301.33807	302.14792	--
