﻿TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,2.42E+00,8.08E-01,1,0,2.74E-06,0.009876724,4.0370297,1,5.5929465,1.5559169,5.6934657,1.9515831,7.6617255,9,7.661888,8.276557,4.239527,8.276792,10.714785,--
2,2,4,2,1,8.08E-01,2.42E+00,1,1,--,--,10.741906,0,13.556307,2.8144004,13.656919,2.3080995,15.981233,999,15.981366,16.59106,5.849155,16.59127,17.414604,--
3,3,1,1,1,2.42E+00,8.08E-01,1,2,--,--,17.422407,0,20.238113,2.8157072,20.338556,0.69179267,21.048494,999,21.048637,21.655924,4.233518,21.65614,24.095198,--
4,4,7,3,1,8.08E-01,1.62E+00,1,3,--,--,24.101833,0,26.80402,2.7021854,26.904469,1.6128145,28.534344,999,28.534529,29.153086,5.0512514,29.153292,29.97732,--
5,5,4,2,1,8.08E-01,1.62E+00,1,4,--,--,30.002659,0,32.81904,2.8163795,32.919518,1.4986205,34.43561,999,34.435745,35.052174,5.0495157,35.052425,35.875988,--
6,6,8,3,2,8.08E-01,8.08E-01,1,5,--,--,35.88038,0,38.58301,2.7026343,38.683514,0.8048657,39.503826,999,39.503967,40.116577,4.2361984,40.116795,40.941124,--
7,7,1,1,1,4.04E+00,8.08E-01,1,6,--,--,40.94563,0,43.648357,2.70273,43.7488,0.80477,44.569836,999,44.569977,45.182655,4.2370253,45.182858,49.236546,--
8,8,3,1,3,4.04E+00,8.08E-01,1,7,--,--,49.242065,0,52.04846,2.8063948,52.148952,0.7011052,52.86498,999,52.865158,53.48063,4.2385645,53.480827,57.533928,--
9,9,7,3,1,2.42E+00,1.62E+00,1,8,--,--,57.537426,0,60.34438,2.8069518,60.444847,1.5080482,61.970184,999,61.97032,62.577858,5.0404315,62.578068,65.01794,--
10,10,1,1,1,2.42E+00,2.42E+00,1,9,--,--,65.022354,0,67.72647,2.7041204,67.826935,2.4183795,70.26136,999,70.261505,70.87581,5.853456,70.876,73.31497,--
11,11,3,1,3,5.65E+00,8.08E-01,1,10,--,--,73.318054,0,76.12445,2.8064008,76.22497,0.7010992,76.94214,999,76.942276,77.55701,4.2389545,77.55721,83.22765,--
12,12,3,1,3,8.08E-01,1.62E+00,1,11,--,--,83.23055,0,86.03768,2.8071327,86.13811,1.5078673,87.663284,999,87.66341,88.27202,5.0414658,88.27222,89.09573,--
13,13,4,2,1,8.08E-01,1.62E+00,1,12,--,--,89.11544,0,91.81991,2.7044713,91.92036,1.6105286,93.54809,999,93.548225,94.15455,5.0391088,94.154755,94.975784,--
14,14,3,1,3,8.08E-01,8.08E-01,1,13,--,--,94.98335,0,97.684654,2.7013016,97.785164,0.8061984,98.608574,999,98.60871,99.2178,4.2344456,99.21801,100.04134,--
15,15,8,3,2,2.42E+00,1.62E+00,1,14,--,--,100.04499,0,102.84991,2.8049188,102.95035,1.5100812,104.478165,999,104.4783,105.09899,5.054005,105.0992,107.538704,--
16,16,9,3,3,8.08E-01,8.08E-01,1,15,--,--,107.541115,0,110.34748,2.8063693,110.44799,0.7011308,111.166084,999,111.16625,111.78188,4.240772,111.782104,112.60646,--
17,17,9,3,3,2.42E+00,1.62E+00,1,16,--,--,112.60867,0,115.4128,2.8041303,115.513275,1.5108697,117.04127,999,117.04141,117.64666,5.0379877,117.64697,120.08542,--
18,18,1,1,1,4.04E+00,8.08E-01,1,17,--,--,120.089775,0,122.89447,2.8046987,122.9949,0.7028013,123.715454,999,123.7156,124.327934,4.2381644,124.32814,128.38284,--
19,19,4,2,1,8.08E-01,2.42E+00,1,18,--,--,128.40128,0,131.20886,2.8075793,131.3094,2.3149207,133.64137,999,133.6415,134.25969,5.8584146,134.26003,135.08275,--
