TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,2.422500e+00,8.075000e-01,1.0,0.0,2.6590424e-06,0.014217409,4.0284443,2.0,4.465216,0.43677214,3.0,6.5459666,7.5658965,3.5374525,7.566152,9.997782
2,2,4,2,1,8.075000e-01,2.422500e+00,1.0,1.0,--,--,10.033564,2.0,10.552548,0.51898426,3.0,12.547089,13.564496,3.5309317,13.564757,14.381183
3,3,1,1,1,2.422500e+00,8.075000e-01,1.0,2.0,--,--,14.39671,0.0,999.0,999.0,999.0,16.898323,17.91534,3.5186307,17.915545,20.348011
4,4,7,3,1,8.075000e-01,1.615000e+00,1.0,3.0,--,--,20.360573,0.0,999.0,999.0,999.0,22.866112,23.882,3.5214267,23.88221,24.698456
5,5,4,2,1,8.075000e-01,1.615000e+00,1.0,4.0,--,--,24.736,2.0,25.268337,0.5323381,4.0,27.250761,28.265848,3.529848,28.26606,29.082958
6,6,8,3,2,8.075000e-01,8.075000e-01,1.0,5.0,--,--,29.095318,0.0,999.0,999.0,999.0,31.599802,32.614826,3.519508,32.615097,33.430294
7,7,1,1,1,4.037500e+00,8.075000e-01,1.0,6.0,--,--,33.437443,2.0,33.718918,0.2814737,3.0,35.950207,36.96529,3.5278451,36.965527,41.013504
8,8,3,1,3,4.037500e+00,8.075000e-01,1.0,7.0,--,--,41.019424,2.0,41.615578,0.59615195,9.0,43.534893,44.548237,3.5288098,44.548595,48.596897
9,9,7,3,1,2.422500e+00,1.615000e+00,1.0,8.0,--,--,48.602936,2.0,49.032665,0.42972714,3.0,51.117573,52.13042,3.527483,52.130634,54.565773
10,10,1,1,1,2.422500e+00,2.422500e+00,1.0,9.0,--,--,54.57623,2.0,55.268383,0.6921531,2.0,57.090984,58.11558,3.539353,58.1158,60.547985
11,11,3,1,3,5.652500e+00,8.075000e-01,1.0,10.0,--,--,60.558693,1.0,62.81837,2.2596774,3.0,63.072697,64.08125,3.522557,64.08147,69.7476
12,12,3,1,3,8.075000e-01,1.615000e+00,1.0,11.0,--,--,69.75602,2.0,70.40243,0.6464115,9.0,72.26859,73.28065,3.5246322,73.28086,74.097275
13,13,4,2,1,8.075000e-01,1.615000e+00,1.0,12.0,--,--,74.14033,2.0,74.782745,0.64241546,4.0,76.65601,77.68115,3.5408218,77.68135,78.49676
14,14,3,1,3,8.075000e-01,8.075000e-01,1.0,13.0,--,--,78.50756,1.0,79.24935,0.7417884,3.0,81.02223,82.03084,3.5232742,82.03114,82.84808
15,15,8,3,2,2.422500e+00,1.615000e+00,1.0,14.0,--,--,82.85678,2.0,83.668594,0.8118112,5.0,85.3711,86.397285,3.5405014,86.39754,88.83031
16,16,9,3,3,8.075000e-01,8.075000e-01,1.0,15.0,--,--,88.83586,2.0,89.34659,0.5107317,9.0,91.35358,92.36436,3.5284956,92.364586,93.180336
17,17,9,3,3,2.422500e+00,1.615000e+00,1.0,16.0,--,--,93.18508,2.0,95.30013,2.115053,8.0,95.70029,96.71429,3.5292025,96.714615,99.14643
18,18,1,1,1,4.037500e+00,8.075000e-01,1.0,17.0,--,--,99.15925,2.0,99.65022,0.49097294,2.0,101.672554,102.69734,3.5380952,102.697556,106.74683
19,19,4,2,1,8.075000e-01,2.422500e+00,1.0,18.0,--,--,106.782005,2.0,108.86332,2.0813134,2.0,109.29998,110.31409,3.53208,110.31429,111.13032
20,20,7,3,1,7.267500e+00,2.422500e+00,1.0,19.0,--,--,111.13851,0.0,999.0,999.0,999.0,113.65009,114.665184,3.5266657,114.66545,121.94588
21,21,6,2,3,5.652500e+00,1.615000e+00,1.0,20.0,--,--,121.97101,2.0,122.515465,0.5444596,7.0,124.485916,125.49728,3.526274,125.49754,131.16255
22,22,9,3,3,8.075000e-01,8.075000e-01,1.0,21.0,--,--,131.17773,2.0,131.83212,0.6543778,9.0,133.69328,134.71323,3.53549,134.71344,135.5289
23,23,6,2,3,8.075000e-01,2.422500e+00,1.0,22.0,--,--,135.56276,2.0,136.1163,0.5535382,6.0,138.07661,139.09691,3.5341434,139.09714,139.91206
24,24,9,3,3,8.075000e-01,2.422500e+00,1.0,23.0,--,--,139.92067,2.0,140.36754,0.44686428,9.0,142.4336,143.44624,3.5255637,143.44644,144.26288
25,25,9,3,3,2.422500e+00,1.615000e+00,1.0,24.0,--,--,144.26913,2.0,145.84921,1.580075,7.0,146.81345,147.8303,3.5611613,147.83057,150.26271
26,26,4,2,1,2.422500e+00,8.075000e-01,1.0,25.0,--,--,150.2863,1.0,150.84822,0.5619157,6.0,152.80257,153.81364,3.527341,153.81387,156.24637
27,27,6,2,3,8.882500e+00,1.615000e+00,1.0,26.0,--,--,156.28622,1.0,156.85219,0.56595993,3.0,158.79749,159.81285,3.5266376,159.81306,168.69688
28,28,9,3,3,5.652500e+00,2.422500e+00,1.0,27.0,--,--,168.71323,0.0,999.0,999.0,999.0,171.2141,172.23276,3.5195234,172.23296,177.8958
29,29,2,1,2,8.075000e-01,8.075000e-01,1.0,28.0,--,--,177.9071,2.0,180.34969,2.4425821,5.0,180.42024,181.42982,3.5227213,181.43005,182.24548
30,30,9,3,3,8.075000e-01,2.422500e+00,1.0,29.0,--,--,182.25499,0.0,999.0,999.0,999.0,184.76443,185.78008,3.525083,185.78029,186.59514
31,31,2,1,2,8.075000e-01,1.615000e+00,1.0,30.0,--,--,186.60149,1.0,187.08006,0.47856325,5.0,189.11777,190.13002,3.5285213,190.13022,190.94545
32,32,3,1,3,8.075000e-01,2.422500e+00,1.0,31.0,--,--,190.95007,1.0,191.89824,0.9481762,1.0,193.46504,194.47952,3.5294492,194.47974,195.29521
33,33,5,2,2,8.075000e-01,8.075000e-01,1.0,32.0,--,--,195.31879,2.0,196.68149,1.362704,5.0,197.83405,198.84541,3.5266216,198.84563,199.66365
34,34,6,2,3,2.422500e+00,1.615000e+00,1.0,33.0,--,--,199.69548,2.0,200.7665,1.0710176,6.0,202.21039,203.22977,3.5342956,203.22998,205.66344
35,35,1,1,1,8.075000e-01,1.615000e+00,1.0,34.0,--,--,205.67542,1.0,206.26332,0.58791155,8.0,208.19235,209.21317,3.5377543,209.21347,210.0284
36,36,1,1,1,8.075000e-01,2.422500e+00,1.0,35.0,--,--,210.03612,1.0,210.8329,0.79678124,7.0,212.54968,213.56267,3.5265448,213.56296,214.37845
37,37,9,3,3,8.075000e-01,2.422500e+00,1.0,36.0,--,--,214.38727,1.0,214.78267,0.39540204,4.0,216.90173,217.91235,3.5250976,217.91257,218.72758
38,38,3,1,3,4.037500e+00,1.615000e+00,1.0,37.0,--,--,218.7324,0.0,999.0,999.0,999.0,221.247,222.26268,3.5302677,222.2629,226.3111
39,39,5,2,2,2.422500e+00,2.422500e+00,1.0,38.0,--,--,226.33963,2.0,227.38184,1.0422024,5.0,228.85512,229.88002,3.5403821,229.88023,232.3117
40,40,6,2,3,2.422500e+00,8.075000e-01,1.0,39.0,--,--,232.3488,1.0,232.64928,0.30046576,3.0,234.86282,235.87889,3.5300906,235.8791,238.31145
41,41,3,1,3,8.075000e-01,8.075000e-01,1.0,40.0,--,--,238.32661,2.0,238.94864,0.6220137,8.0,240.84125,241.86127,3.5346508,241.86148,242.67828
42,42,4,2,1,8.075000e-01,8.075000e-01,1.0,41.0,--,--,242.71678,1.0,243.31357,0.5967919,9.0,245.23218,246.24565,3.5288782,246.24586,247.0609
43,43,3,1,3,8.075000e-01,2.422500e+00,1.0,42.0,--,--,247.07524,0.0,999.0,999.0,999.0,249.5778,250.59543,3.5201855,250.59564,251.4112
44,44,7,3,1,5.652500e+00,1.615000e+00,1.0,43.0,--,--,251.41655,1.0,252.16414,0.74759835,6.0,253.93042,254.94516,3.5286074,254.94536,260.6114
45,45,4,2,1,7.267500e+00,2.422500e+00,1.0,44.0,--,--,260.6393,0.0,999.0,999.0,999.0,263.1465,264.16263,3.5233192,264.16293,271.44507
46,46,7,3,1,8.075000e-01,2.422500e+00,1.0,45.0,--,--,271.45404,1.0,271.99606,0.542025,7.0,273.96954,274.97833,3.5242965,274.97855,275.79456
47,47,7,3,1,8.075000e-01,2.422500e+00,1.0,46.0,--,--,275.80148,0.0,999.0,999.0,999.0,278.31232,279.32843,3.5269399,279.3286,280.144
48,48,4,2,1,4.037500e+00,8.075000e-01,1.0,47.0,--,--,280.17682,2.0,280.69427,0.517449,4.0,282.69342,283.71082,3.5339856,283.71112,287.76276
49,49,7,3,1,8.075000e-01,1.615000e+00,1.0,48.0,--,--,287.7699,1.0,288.26758,0.49769363,7.0,290.28336,291.29437,3.5244696,291.29465,292.11118
50,50,7,3,1,8.075000e-01,8.075000e-01,1.0,49.0,--,--,292.11768,0.0,999.0,999.0,999.0,294.62973,295.64438,3.5267184,295.6446,296.46112
51,51,6,2,3,2.422500e+00,1.615000e+00,1.0,50.0,--,--,296.48785,1.0,296.8482,0.36034253,3.0,299.00116,300.01212,3.5242612,300.01242,302.44373
52,52,1,1,1,4.037500e+00,1.615000e+00,1.0,51.0,--,--,302.45554,1.0,303.9627,1.5071791,8.0,304.9709,305.994,3.5384567,305.9943,310.04376
53,53,6,2,3,2.422500e+00,2.422500e+00,1.0,52.0,--,--,310.07248,2.0,310.5439,0.4714387,7.0,312.5892,313.61124,3.5387714,313.61145,316.04678
54,54,6,2,3,4.037500e+00,2.422500e+00,1.0,53.0,--,--,316.07715,2.0,316.7173,0.64011234,9.0,318.59177,319.6106,3.5334423,319.6109,323.66037
