onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.5955010000616312	3.001198299229145	decision	1.7824993999674916	left	D	DD017.jpg	DD018.jpg
4.145757899619639	1.0162223996594548	loss	n/a	n/a	n/a	DD017.jpg	DD018.jpg
11.112105299718678	3.0005561001598835	decision	2.5327808000147343	right	D	DD035.jpg	DD036.jpg
14.66198919992894	1.0004768995568156	win	n/a	n/a	n/a	DD035.jpg	DD036.jpg
21.57899759989232	3.0019523994997144	decision	2.2837362000718713	left	D	DD021.jpg	DD022.jpg
25.128638399764895	1.0166801996529102	loss	n/a	n/a	n/a	DD021.jpg	DD022.jpg
32.06192519981414	3.0014843000099063	decision	2.5325755001977086	right	S	SD025.jpg	SD026.jpg
35.61201809998602	1.0167780993506312	loss	n/a	n/a	n/a	SD025.jpg	SD026.jpg
38.34570199996233	3.0012415992096066	decision	1.532188099808991	left	S	SD027.jpg	SD028.jpg
41.89534970000386	1.0166425993666053	loss	n/a	n/a	n/a	SD027.jpg	SD028.jpg
44.629027999937534	3.001584899611771	decision	1.2823077999055386	right	S	SD023.jpg	SD024.jpg
48.17860429920256	1.0001968005672097	win	n/a	n/a	n/a	SD023.jpg	SD024.jpg
50.89526259992272	3.0015880996361375	decision	1.2836739998310804	left	D	DD037.jpg	DD038.jpg
54.44529339950532	1.0002993997186422	win	n/a	n/a	n/a	DD037.jpg	DD038.jpg
59.27892929967493	3.002106700092554	decision	1.2829780001193285	right	S	SD011.jpg	SD012.jpg
62.82857530005276	1.0166537994518876	loss	n/a	n/a	n/a	SD011.jpg	SD012.jpg
67.66201729979366	3.0009218994528055	decision	1.2833038996905088	left	D	DD009.jpg	DD010.jpg
71.21187699958682	1.0165485003963113	win	n/a	n/a	n/a	DD009.jpg	DD010.jpg
73.94532319996506	3.001620799303055	decision	1.5333658996969461	left	D	DD027.jpg	DD028.jpg
77.49525459948927	1.0165073005482554	win	n/a	n/a	n/a	DD027.jpg	DD028.jpg
82.34528419934213	3.0015602000057697	decision	1.2826832002028823	right	D	DD015.jpg	DD016.jpg
85.89548509940505	1.0162733001634479	loss	n/a	n/a	n/a	DD015.jpg	DD016.jpg
92.82848409935832	3.0014132000505924	decision	1.2825421998277307	left	S	SD029.jpg	SD030.jpg
96.37852369993925	1.016640999354422	loss	n/a	n/a	n/a	SD029.jpg	SD030.jpg
101.21214419975877	3.00133700016886	decision	1.7828099997714162	right	S	SD015.jpg	SD016.jpg
104.76178169995546	1.0000926991924644	win	n/a	n/a	n/a	SD015.jpg	SD016.jpg
111.67857009917498	3.001212500035763	decision	1.282378800213337	right	S	SD007.jpg	SD008.jpg
115.22845060005784	1.0000886991620064	win	n/a	n/a	n/a	SD007.jpg	SD008.jpg
120.04508950002491	3.001846699975431	decision	1.0327140996232629	left	S	SD017.jpg	SD018.jpg
123.59508170001209	1.01657659932971	win	n/a	n/a	n/a	SD017.jpg	SD018.jpg
126.3284559994936	3.0011266004294157	decision	1.2824098002165556	left	D	DD033.jpg	DD034.jpg
129.87873899936676	1.0163146005943418	win	n/a	n/a	n/a	DD033.jpg	DD034.jpg
132.6285610999912	3.001436099410057	decision	1.282350099645555	right	D	DD007.jpg	DD008.jpg
136.1783849997446	1.0166453002020717	loss	n/a	n/a	n/a	DD007.jpg	DD008.jpg
138.9119297992438	3.000793999992311	decision	1.2830052003264427	left	D	DD023.jpg	DD024.jpg
142.46160609927028	1.0000213999301195	loss	n/a	n/a	n/a	DD023.jpg	DD024.jpg
155.6950270999223	3.0018214993178844	decision	1.2827822994440794	right	S	SD009.jpg	SD010.jpg
159.2449850998819	1.0165538992732763	loss	n/a	n/a	n/a	SD009.jpg	SD010.jpg
164.078404199332	3.00099019985646	decision	1.0334085002541542	left	D	DD001.jpg	DD002.jpg
167.62846819963306	1.016800000332296	win	n/a	n/a	n/a	DD001.jpg	DD002.jpg
170.39531379938126	3.001896600238979	decision	1.0323304003104568	left	S	SD019.jpg	SD020.jpg
173.9449288994074	1.0165536999702454	loss	n/a	n/a	n/a	SD019.jpg	SD020.jpg
180.89516249950975	3.001789200119674	decision	1.0329382000491023	right	D	DD031.jpg	DD032.jpg
184.44499679934233	1.0164637006819248	loss	n/a	n/a	n/a	DD031.jpg	DD032.jpg
189.27820119913667	3.0011398000642657	decision	1.5326108001172543	right	S	SD005.jpg	SD006.jpg
192.82813499961048	1.000017499551177	win	n/a	n/a	n/a	SD005.jpg	SD006.jpg
195.57865339983255	3.000107099302113	decision	1.2822578996419907	left	D	DD019.jpg	DD020.jpg
199.12811309937388	1.0010200003162026	win	n/a	n/a	n/a	DD019.jpg	DD020.jpg
206.0449089994654	3.0019722003489733	decision	1.2826030999422073	right	S	SD013.jpg	SD014.jpg
209.5948356995359	1.0165788000449538	loss	n/a	n/a	n/a	SD013.jpg	SD014.jpg
216.5282371994108	3.001545799896121	decision	1.2824609000235796	left	S	SD031.jpg	SD032.jpg
220.07841609977186	1.0162428002804518	loss	n/a	n/a	n/a	SD031.jpg	SD032.jpg
224.91141319926828	3.001341599971056	decision	1.0338464006781578	right	D	DD039.jpg	DD040.jpg
228.46131599973887	1.0000529997050762	loss	n/a	n/a	n/a	DD039.jpg	DD040.jpg
231.19483139924705	3.000518500804901	decision	1.2830813005566597	left	D	DD005.jpg	DD006.jpg
234.74469299986959	1.0166875999420881	loss	n/a	n/a	n/a	DD005.jpg	DD006.jpg
241.67809939943254	3.0012739999219775	decision	1.0335758002474904	right	S	SD037.jpg	SD038.jpg
245.22793949954212	1.000079999677837	loss	n/a	n/a	n/a	SD037.jpg	SD038.jpg
247.9451177995652	3.001610499806702	decision	1.532723999582231	left	S	SD039.jpg	SD040.jpg
251.49458969943225	1.0167939998209476	win	n/a	n/a	n/a	SD039.jpg	SD040.jpg
254.228072299622	3.00116360001266	decision	1.28269449993968	right	S	SD033.jpg	SD034.jpg
257.7779037998989	1.00006889924407	loss	n/a	n/a	n/a	SD033.jpg	SD034.jpg
260.49511949997395	3.0017198994755745	decision	1.2829887997359037	left	D	DD013.jpg	DD014.jpg
264.0445395996794	1.0000753998756409	win	n/a	n/a	n/a	DD013.jpg	DD014.jpg
268.86135899927467	3.001084200106561	decision	1.5323886005207896	left	S	SD001.jpg	SD002.jpg
272.41121759917587	1.000038200058043	win	n/a	n/a	n/a	SD001.jpg	SD002.jpg
275.1279927995056	3.0015471996739507	decision	1.0328622004017234	left	D	DD003.jpg	DD004.jpg
278.67822969984263	1.0164088997989893	win	n/a	n/a	n/a	DD003.jpg	DD004.jpg
283.5111210998148	3.001056899316609	decision	1.7833669995889068	right	S	SD003.jpg	SD004.jpg
287.0612220996991	1.0000090999528766	win	n/a	n/a	n/a	SD003.jpg	SD004.jpg
293.9778344994411	3.001642200164497	decision	1.5329339001327753	right	D	DD025.jpg	DD026.jpg
297.5281670000404	1.0162506997585297	win	n/a	n/a	n/a	DD025.jpg	DD026.jpg
304.4779043998569	3.001782899722457	decision	1.032532699406147	left	S	SD035.jpg	SD036.jpg
308.0278126997873	1.0167212998494506	win	n/a	n/a	n/a	SD035.jpg	SD036.jpg
310.76161329913884	3.0007471004500985	decision	1.7830895008519292	right	D	DD011.jpg	DD012.jpg
314.31118219997734	1.0164990993216634	loss	n/a	n/a	n/a	DD011.jpg	DD012.jpg
317.0448391996324	3.0013520000502467	decision	1.2827027002349496	left	S	SD021.jpg	SD022.jpg
320.594473099336	1.0165320998057723	win	n/a	n/a	n/a	SD021.jpg	SD022.jpg
325.42785459943116	3.0008060997352004	decision	1.2843754002824426	right	D	DD029.jpg	DD030.jpg
328.9778504995629	1.0167466001585126	loss	n/a	n/a	n/a	DD029.jpg	DD030.jpg
