TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,5,2,2,2.422500e+00,1.615000e+00,1.0,0.0,2.5999616e-06,0.0093033,4.0270295,0.0,6.8105755,2.7835462,6.9110727,1.5314537,8.444481,999.0,8.444632,9.05117,5.0241413,9.051364,11.475704,--
2,2,3,1,3,8.075000e-01,1.615000e+00,1.0,1.0,--,--,11.483661,1.0,12.313233,0.8295722,12.413622,3.4854279,15.901633,4.0,15.901757,16.510012,5.0263505,16.51016,17.320381,--
3,3,9,3,3,8.075000e-01,2.422500e+00,1.0,2.0,--,--,17.340347,2.0,18.4804,1.1400523,18.580748,3.9824476,22.565563,7.0,22.565681,23.171484,5.8311367,23.171637,23.981775,--
4,4,3,1,3,7.267500e+00,2.422500e+00,1.0,3.0,--,--,23.984936,1.0,25.229933,1.2449974,25.330324,3.8775027,29.210106,3.0,29.210236,29.815239,5.830303,29.815393,37.08481,--
5,5,4,2,1,8.075000e-01,1.615000e+00,1.0,4.0,--,--,37.097836,2.0,38.0467,0.9488654,38.147106,3.3661346,41.51557,3.0,41.51569,42.12158,5.023744,42.121735,42.931145,--
6,6,3,1,3,4.037500e+00,2.422500e+00,1.0,5.0,--,--,42.93415,1.0,43.98027,1.0461195,44.080692,4.0763807,48.159607,2.0,48.159737,48.765728,5.83158,48.765884,52.805264,--
7,7,7,3,1,2.422500e+00,8.075000e-01,1.0,6.0,--,--,52.81093,2.0,53.64665,0.8357188,53.747086,2.6717813,56.421734,2.0,56.421852,57.026997,4.2160687,57.027157,59.451393,--
8,8,3,1,3,8.075000e-01,1.615000e+00,1.0,7.0,--,--,59.454273,1.0,60.079914,0.6256401,60.180313,3.68936,63.872025,3.0,63.87215,64.476944,5.0226684,64.47709,65.28829,--
9,9,1,1,1,8.075000e-01,8.075000e-01,1.0,8.0,--,--,65.29016,2.0,66.52979,1.239634,66.63015,2.267866,68.9,2.0,68.90013,69.50542,4.2152605,69.50556,70.3154,--
10,10,7,3,1,5.652500e+00,1.615000e+00,1.0,9.0,--,--,70.320786,2.0,71.16336,0.8425743,71.26376,3.4724257,74.73849,2.0,74.73861,75.34328,5.0224957,75.34343,80.99798,--
11,11,8,3,2,2.422500e+00,8.075000e-01,1.0,10.0,--,--,81.00224,1.0,81.830345,0.8281016,81.93075,2.6793983,84.61265,5.0,84.61276,85.21907,4.2168307,85.21923,87.64434,--
12,12,4,2,1,2.422500e+00,2.422500e+00,1.0,11.0,--,--,87.655914,2.0,88.396736,0.7408227,88.49711,4.381677,92.87993,4.0,92.88006,93.485016,5.829101,93.48517,95.90995,--
13,13,7,3,1,4.037500e+00,8.075000e-01,1.0,12.0,--,--,95.91565,2.0,96.96348,1.0478326,97.06388,2.4596674,99.52586,4.0,99.52598,100.12985,4.2142086,100.130646,104.17061,--
14,14,6,2,3,8.075000e-01,1.615000e+00,1.0,13.0,--,--,104.18206,1.0,104.9131,0.73104,105.01351,3.58396,108.59949,1.0,108.599594,109.204994,5.022933,109.20515,110.01498,--
15,15,7,3,1,8.075000e-01,8.075000e-01,1.0,14.0,--,--,110.02094,2.0,111.06342,1.0424812,111.16383,2.4650187,113.63169,3.0,113.63181,114.23723,4.2162914,114.23739,115.04758,--
16,16,6,2,3,2.422500e+00,8.075000e-01,1.0,15.0,--,--,115.059235,2.0,115.896706,0.8374699,115.99711,2.67003,118.669655,6.0,118.66977,119.27589,4.2166543,119.276054,121.70094,--
17,17,9,3,3,8.075000e-01,8.075000e-01,1.0,16.0,--,--,121.706505,2.0,122.44678,0.7402713,122.547165,2.7672286,125.316795,9.0,125.316925,125.9215,4.214998,125.92166,126.73182,--
18,18,1,1,1,2.422500e+00,1.615000e+00,1.0,17.0,--,--,126.73476,1.0,127.680336,0.9455784,127.780754,3.3694215,131.15286,7.0,131.153,131.75806,5.0233035,131.75821,134.18307,--
19,19,3,1,3,2.422500e+00,2.422500e+00,1.0,18.0,--,--,134.18501,2.0,134.71318,0.5281734,134.81358,4.5943265,139.41078,9.0,139.4109,140.01587,5.830859,140.01602,142.44077,--
20,20,9,3,3,8.075000e-01,2.422500e+00,1.0,19.0,--,--,142.44595,2.0,143.08005,0.6340848,143.18047,4.4884152,147.67133,7.0,147.67145,148.27608,5.8301234,148.27625,149.08633,--
21,21,8,3,2,8.075000e-01,2.422500e+00,1.0,20.0,--,--,149.09064,2.0,149.92996,0.8393261,150.03038,4.283174,154.31706,5.0,154.3172,154.9218,5.831156,154.92195,155.73114,--
22,22,9,3,3,2.422500e+00,2.422500e+00,1.0,21.0,--,--,155.73569,2.0,156.36304,0.6273636,156.46338,4.4951363,160.96158,8.0,160.9617,161.56712,5.8314376,161.56726,163.99173,--
23,23,5,2,2,8.075000e-01,1.615000e+00,1.0,22.0,--,--,164.00381,1.0,164.6298,0.6259909,164.73026,3.6890092,168.42209,5.0,168.42221,169.02701,5.023188,169.02716,169.83649,--
24,24,7,3,1,4.037500e+00,2.422500e+00,1.0,23.0,--,--,169.84218,2.0,170.4802,0.6380149,170.58057,4.484485,175.06766,3.0,175.06778,175.67403,5.8318515,175.67418,179.71382,--
25,25,6,2,3,8.075000e-01,8.075000e-01,1.0,24.0,--,--,179.72522,1.0,180.56322,0.8380112,180.66356,2.669489,183.33595,3.0,183.33607,183.94107,4.2158623,183.94122,184.75067,--
26,26,3,1,3,5.652500e+00,1.615000e+00,1.0,25.0,--,--,184.75368,1.0,185.7964,1.0427214,185.8968,3.2722785,189.1716,2.0,189.17172,189.77534,5.021659,189.77548,195.43015,--
27,27,1,1,1,8.075000e-01,1.615000e+00,1.0,26.0,--,--,195.43195,1.0,196.47969,1.0477515,196.58003,3.2672484,199.84892,8.0,199.84904,200.45403,5.0220857,200.45418,201.26389,--
28,28,1,1,1,4.037500e+00,2.422500e+00,1.0,27.0,--,--,201.26575,1.0,202.61296,1.3472078,202.71333,3.7752922,206.49113,8.0,206.49126,207.09634,5.8305945,207.0965,211.13647,--
29,29,6,2,3,4.037500e+00,1.615000e+00,1.0,28.0,--,--,211.14839,2.0,211.97955,0.8311592,212.07999,3.4838407,215.5656,6.0,215.56572,216.17055,5.0221567,216.17072,220.21005,--
30,30,3,1,3,8.075000e-01,1.615000e+00,1.0,29.0,--,--,220.21326,1.0,221.14618,0.932918,221.24658,3.382082,224.6309,1.0,224.63101,225.23543,5.022166,225.23558,226.04498,--
31,31,1,1,1,8.075000e-01,8.075000e-01,1.0,30.0,--,--,226.04686,1.0,227.0801,1.0332322,227.1805,2.4742677,229.65701,9.0,229.65714,230.26122,4.2143574,230.26137,231.0709,--
32,32,4,2,1,4.037500e+00,1.615000e+00,1.0,31.0,--,--,231.08282,1.0,232.22972,1.146909,232.33014,3.168091,235.50021,9.0,235.50034,236.10512,5.0223026,236.10527,240.14525,--
