sub,,,,
10640,,,,
10647,,,,
10652,,,,
10668,,,,
10690,,,,
10716,,,,
10718,,,,
10720,,,,
10773,,,,
10774,,,,
10777,,,,
10781,,,,
10783,,,,
10794,,,,
10800,,,,
10801,,,,
10802,,,,
10804,,,,
10806,,,,
10807,,,,
10808,,,,
10812,,,,
10817,,,,
10827,,,,
10831,,,,
10834,,,,
10836,,,,
10838,,,,
10843,,,,
10849,,,,
10850,,,,
10854,,,,
10857,,,,
10858,,,,
10860,,,,
10862,,,,
10863,,,,
10866,,,,
10875,,,,
10881,,,,
10886,,,,
10887,,,,
10896,,,,
10897,,,,
10898,,,,
10908,,,,
10913,,,,
10918,,,,
10919,,,,
10924,,,,
10926,,,,
10928,,,,
10929,,,,
10930,,,,
10938,,,,
10940,,,,
10950,,,,
10951,,,,
10952,,,,
10953,,,,
10954,,,,
10956,,,,
10958,,,,
10961,,,,
10969,,,,
10974,,,,
10977,,,,
10983,,,,
10984,,,,
10998,,,,
11005,,,,
11007,,,,
11012,,,,
11016,,,,
11030,,,,
11031,,,,
11060,,,,
