TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,4,2,3,1,2,8.075000e-01,1.0,0.0,4.034462,1.0,4,5.947802,high,1.9133401,1.0866599,6.467188,10.784578,10.787797,12.790071,8.755609,12.790521,13.592903
2,2,8,2,1,1,2,8.075000e-01,1.0,1.0,13.599928,1.0,8,15.731671,high,2.1317434,0.8682565,16.250593,20.349913,20.35208,22.354548,8.754621,22.354933,23.15696
3,3,0,2,3,0,2,8.075000e-01,1.0,2.0,23.16458,2.0,2,25.264809,high,2.10023,0.89977,25.785215,29.914463,29.91706,31.919933,8.755354,31.92035,32.72258
4,4,2,0,2,1,2,8.075000e-01,1.0,3.0,32.840183,1.0,2,34.665035,high,1.8248512,1.1751488,35.183453,39.590588,39.592552,41.594337,8.754155,41.594727,42.397903
5,5,2,0,2,0,2,2.422500e+00,1.0,4.0,42.50883,1.0,2,44.481667,high,1.9728332,1.0271668,45.00018,49.25891,49.26061,51.26291,8.754078,51.263294,53.681583
6,6,4,2,2,1,5.000000e-01,4.037500e+00,1.0,5.0,53.791702,1.0,4,55.64799,high,1.8562888,1.1437112,56.1674,59.042908,59.044754,61.046623,7.2549243,61.04701,65.07993
7,7,0,2,1,1,5.000000e-01,8.075000e-01,1.0,6.0,65.08406,2.0,2,67.14773,high,2.0636675,0.9363325,67.66808,70.33458,70.336525,72.33884,7.2547774,72.339226,73.141464
8,8,0,4,1,1,5.000000e-01,2.422500e+00,1.0,7.0,73.14465,2.0,4,74.881454,high,1.7368028,1.2631972,75.40099,78.39548,78.39588,80.39891,7.2542543,80.39929,82.817795
9,9,8,0,3,0,5.000000e-01,8.075000e-01,1.0,8.0,82.82661,1.0,8,84.61437,high,1.7877635,1.2122365,85.13468,88.07783,88.079636,90.081505,7.2548933,90.08189,90.88495
10,10,2,8,3,1,3.500000e+00,8.075000e-01,1.0,9.0,90.8925,2.0,8,93.0808,high,2.1883056,0.8116945,93.60115,99.14251,99.14435,101.14689,10.254392,101.14728,101.950905
11,11,8,2,3,0,5.000000e-01,8.075000e-01,1.0,10.0,101.958435,1.0,8,103.56484,high,1.6064086,1.3935914,104.0842,107.20859,107.21032,109.213905,7.2554727,109.214294,110.01691
12,12,4,8,3,0,5.000000e-01,2.422500e+00,1.0,11.0,110.024445,2.0,8,112.2143,high,2.1898582,0.8101419,112.73504,115.27521,115.27561,117.27792,7.2534804,117.278305,119.6979
13,13,8,4,2,0,5.000000e-01,8.075000e-01,1.0,12.0,119.8082,1.0,8,121.61489,high,1.8066885,1.1933115,122.1336,125.058914,125.06063,127.062584,7.2543864,127.06297,127.866974
14,14,4,2,1,1,2,2.422500e+00,1.0,13.0,127.87285,1.0,4,129.6481,high,1.7752515,1.2247485,130.1686,134.62395,134.62625,136.6289,8.75606,136.62935,139.04561
15,15,8,2,2,0,5.000000e-01,8.075000e-01,1.0,14.0,139.16048,1.0,8,140.9645,high,1.8040173,1.1959827,141.48375,144.41095,144.41295,146.41492,7.254441,146.41536,147.21898
16,16,4,0,3,1,2,2.422500e+00,1.0,15.0,147.2281,1.0,4,148.99817,high,1.7700706,1.2299294,149.51701,153.97891,153.98083,155.98257,8.7544775,155.98297,158.40193
17,17,4,0,1,0,2,2.422500e+00,1.0,16.0,158.40485,1.0,4,160.2813,high,1.8764575,1.1235425,160.8002,165.15501,165.15695,167.15886,8.754014,167.15924,169.57755
18,18,8,2,3,1,5.000000e-01,2.422500e+00,1.0,17.0,169.58614,2.0,2,171.7307,low,2.144559,0.8554412,172.25105,174.83609,174.83794,176.83997,7.253835,176.84036,179.25992
19,19,0,8,3,1,5.000000e-01,7.267500e+00,1.0,18.0,179.26767,999.0,999,182.281,999,0.0,0.0,182.28421,184.51788,999.0,999.0,819.7323,186.52332,193.78564
20,20,2,0,3,1,5.000000e-01,8.075000e-01,1.0,19.0,193.79332,1.0,2,195.98042,high,2.1870902,0.8129099,196.50102,199.04384,199.04568,201.04793,7.254599,201.04831,201.85092
21,21,0,4,2,1,2,8.075000e-01,1.0,20.0,201.96216,2.0,4,203.98117,high,2.0190103,0.9809898,204.50104,208.71292,208.71478,210.71791,8.755753,210.71829,211.5206
