TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,4,2,1,8.075000e-01,1.615000e+00,1.0,0.0,3.0002557e-06,0.0098518,4.025129,1.0,4.659781,0.6346521,4.760264,3.680348,8.44307,7.0,8.443222,9.050782,5.0256534,9.05097,9.860588,--
2,2,6,2,3,8.075000e-01,1.615000e+00,1.0,1.0,--,--,9.871721,1.0,11.109876,1.2381549,11.210244,3.0768452,14.289139,1.0,14.289257,14.896199,5.024478,14.896345,15.705933,--
3,3,1,1,1,4.037500e+00,8.075000e-01,1.0,2.0,--,--,15.71155,1.0,16.143196,0.4316459,16.243595,3.075854,19.321802,8.0,19.32192,19.92796,4.216409,19.928108,23.967474,--
4,4,4,2,1,8.075000e-01,2.422500e+00,1.0,3.0,--,--,23.97982,1.0,24.293573,0.3137533,24.393963,4.808747,29.20471,7.0,29.204834,29.809832,5.830011,29.809986,30.619886,--
5,5,9,3,3,8.075000e-01,2.422500e+00,1.0,4.0,--,--,30.639189,1.0,31.059689,0.420501,31.160038,4.701999,35.86318,4.0,35.863297,36.468777,5.8295903,36.46893,37.27904,--
6,6,2,1,2,4.037500e+00,1.615000e+00,1.0,5.0,--,--,37.281982,1.0,37.709656,0.4276751,37.81002,3.8873248,41.698765,5.0,41.698883,42.304794,5.0228124,42.304943,46.344723,--
7,7,9,3,3,7.267500e+00,1.615000e+00,1.0,6.0,--,--,46.351826,1.0,46.67652,0.3246941,46.77693,3.990306,50.769566,1.0,50.769688,51.374992,5.023166,51.375145,58.64452,--
8,8,3,1,3,8.075000e-01,2.422500e+00,1.0,7.0,--,--,58.647594,1.0,59.176277,0.5286834,59.27668,4.5938168,63.872543,1.0,63.87266,64.47609,5.8284955,64.476234,65.28582,--
9,9,4,2,1,8.075000e-01,1.615000e+00,1.0,8.0,--,--,65.29717,1.0,65.92645,0.6292818,66.02683,3.6857183,69.71495,8.0,69.715065,70.31993,5.0227613,70.32008,71.12946,--
10,10,7,3,1,8.075000e-01,1.615000e+00,1.0,9.0,--,--,71.136696,1.0,71.65983,0.5231362,71.76023,3.791864,75.553856,7.0,75.55398,76.15761,5.0209126,76.15775,76.96784,--
11,11,1,1,1,8.075000e-01,2.422500e+00,1.0,10.0,--,--,76.97069,1.0,77.39273,0.42204762,77.49312,4.7004523,82.195694,9.0,82.19581,82.809906,5.839222,82.81006,83.61941,--
12,12,7,3,1,8.075000e-01,2.422500e+00,1.0,11.0,--,--,83.62684,1.0,84.04293,0.4160894,84.14331,4.7064104,88.85167,8.0,88.85179,89.455795,5.828953,89.45595,90.265785,--
13,13,3,1,3,8.075000e-01,8.075000e-01,1.0,12.0,--,--,90.26901,1.0,90.79282,0.5238178,90.893196,2.9836822,93.87874,1.0,93.87886,94.48338,4.2143774,94.483536,95.29293,--
14,14,9,3,3,8.075000e-01,8.075000e-01,1.0,13.0,--,--,95.30018,1.0,95.72635,0.4261669,95.82671,3.0813332,98.91081,4.0,98.910934,99.51617,4.215986,99.51632,100.32607,--
15,15,7,3,1,2.422500e+00,8.075000e-01,1.0,14.0,--,--,100.33213,1.0,100.75964,0.4275108,100.86,3.0799892,103.9424,6.0,103.94252,104.548004,4.2158756,104.54816,106.973274,--
16,16,3,1,3,8.075000e-01,2.422500e+00,1.0,15.0,--,--,106.97613,1.0,107.39313,0.4170016,107.493546,4.705498,112.20183,4.0,112.20194,112.806984,5.8308544,112.80714,113.61656,--
17,17,4,2,1,2.422500e+00,8.075000e-01,1.0,16.0,--,--,113.627686,1.0,114.1596,0.5319158,114.25997,2.9755843,117.23809,9.0,117.238205,117.84395,4.216263,117.8441,120.26834,--
18,18,9,3,3,2.422500e+00,2.422500e+00,1.0,17.0,--,--,120.27566,1.0,120.79526,0.5196013,120.89564,4.6028986,125.501205,3.0,125.50133,126.10705,5.8313932,126.1072,128.53186,--
19,19,4,2,1,2.422500e+00,2.422500e+00,1.0,18.0,--,--,128.54285,1.0,128.95995,0.4170997,129.06032,4.7054005,133.76794,7.0,133.76805,134.37253,5.829681,134.37268,136.79706,--
20,20,8,3,2,4.037500e+00,8.075000e-01,1.0,19.0,--,--,136.80452,1.0,137.22673,0.422209,137.3271,3.085291,140.41501,5.0,140.41513,141.01965,4.2151294,141.0198,145.05951,--
21,21,3,1,3,2.422500e+00,8.075000e-01,1.0,20.0,--,--,145.06236,1.0,145.4928,0.4304443,145.5932,3.0770557,148.67285,1.0,148.67296,149.27794,4.215586,149.27809,151.70276,--
22,22,6,2,3,8.075000e-01,8.075000e-01,1.0,21.0,--,--,151.71378,1.0,152.14305,0.4292802,152.24347,3.07822,155.3242,1.0,155.32433,155.92891,4.2151313,155.92906,156.7392,--
23,23,3,1,3,2.422500e+00,1.615000e+00,1.0,22.0,--,--,156.74216,1.0,157.26154,0.5193678,157.3619,3.7956321,161.15977,3.0,161.1599,161.76431,5.022149,161.76447,164.1889,--
24,24,1,1,1,4.037500e+00,1.615000e+00,1.0,23.0,--,--,164.19072,1.0,164.50923,0.3185083,164.60959,3.9964917,168.60767,7.0,168.60779,169.21259,5.0218573,169.21274,173.25198,--
25,25,1,1,1,8.075000e-01,2.422500e+00,1.0,24.0,--,--,173.25378,1.0,173.77603,0.5222384,173.87639,4.6002617,178.47801,8.0,178.47812,179.08203,5.828239,179.08218,179.89168,--
26,26,7,3,1,4.037500e+00,1.615000e+00,1.0,25.0,--,--,179.89891,1.0,180.4262,0.5272902,180.5266,3.7877097,184.31625,8.0,184.31639,184.92082,5.0219164,184.92097,188.96057,--
27,27,4,2,1,5.652500e+00,2.422500e+00,1.0,26.0,--,--,188.9717,1.0,189.70924,0.7375502,189.80966,4.3849497,194.19579,7.0,194.19589,194.80098,5.829287,194.80113,200.45572,--
28,28,1,1,1,8.075000e-01,8.075000e-01,1.0,27.0,--,--,200.45872,1.0,200.87604,0.4173219,200.97646,3.090178,204.06924,9.0,204.06935,204.67403,4.2152987,204.67418,205.4834,--
29,29,6,2,3,8.882500e+00,1.615000e+00,1.0,28.0,--,--,205.49461,1.0,206.02586,0.5312541,206.12624,3.783746,209.91177,3.0,209.9119,210.51689,5.0222797,210.51704,219.40189,--
30,30,7,3,1,2.422500e+00,8.075000e-01,1.0,29.0,--,--,219.40926,1.0,219.94246,0.5332026,220.04285,2.9742973,223.01927,9.0,223.0194,223.6239,4.2146354,223.62405,226.04822,--
31,31,3,1,3,8.075000e-01,8.075000e-01,1.0,30.0,--,--,226.0511,1.0,226.37608,0.3249882,226.47646,3.1825118,229.66064,2.0,229.66075,230.26697,4.2158723,230.26712,231.07703,--
32,32,9,3,3,8.075000e-01,8.075000e-01,1.0,31.0,--,--,231.08414,1.0,231.60928,0.5251458,231.70967,2.9823542,234.69437,3.0,234.69449,235.29799,4.2138567,235.29814,236.1078,--
33,33,1,1,1,8.075000e-01,8.075000e-01,1.0,32.0,--,--,236.11069,1.0,236.52704,0.4163477,236.62741,3.0911522,239.7213,6.0,239.72142,240.32672,4.216042,240.32687,241.13652,--
34,34,8,3,2,8.075000e-01,2.422500e+00,1.0,33.0,--,--,241.14368,1.0,241.67601,0.5323337,241.7764,4.590166,246.36984,5.0,246.36996,246.97444,5.830757,246.97458,247.78378,--
35,35,2,1,2,8.075000e-01,1.615000e+00,1.0,34.0,--,--,247.78671,1.0,248.20934,0.4226201,248.30974,3.89238,252.20456,5.0,252.20468,252.80873,5.0220246,252.80888,253.61865,--
36,36,9,3,3,8.075000e-01,2.422500e+00,1.0,35.0,--,--,253.62596,1.0,254.15932,0.5333551,254.2597,4.5891447,258.85226,4.0,258.8524,259.4578,5.831816,259.45795,260.2671,--
