TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,8.075000e-01,8.075000e-01,1.0,0.0,2.8000213e-06,0.0092875,4.0151367,1.0,5.0619917,1.0468549,5.162455,2.4606452,7.6257296,9.0,7.625876,8.23377,4.2186337,8.233962,9.043495
2,2,9,3,3,8.075000e-01,2.422500e+00,1.0,1.0,--,--,9.060831,1.0,9.580158,0.5193271,9.680556,4.603173,14.2860985,1.0,14.286214,14.8928385,5.8320074,14.893004,15.702767
3,3,9,3,3,4.037500e+00,2.422500e+00,1.0,2.0,--,--,15.705516,--,--,--,--,--,--,--,--,--,--,--,--
4,4,4,2,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,3,1,3,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,1,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,9,3,3,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,3,1,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,4,2,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,2,1,2,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,1,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,4,2,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,9,3,3,5.652500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,4,2,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,7,3,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,7,3,1,5.652500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,1,1,1,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,6,2,3,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,9,3,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,1,1,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,6,2,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,1,1,1,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,8,3,2,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,5,2,2,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,4,2,1,5.652500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,6,2,3,7.267500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3,1,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,7,3,1,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,6,2,3,5.652500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,9,3,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,2,1,2,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,6,2,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,9,3,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,7,3,1,7.267500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,7,3,1,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,4,2,1,4.037500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,7,3,1,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,7,3,1,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,6,2,3,8.075000e-01,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,6,2,3,2.422500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,9,3,3,2.422500e+00,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,5,2,2,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,7,3,1,8.882500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,4,2,1,4.037500e+00,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,3,1,3,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,8,3,2,2.422500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,4,2,1,4.037500e+00,2.422500e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,1,1,1,8.075000e-01,8.075000e-01,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,6,2,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,3,1,3,8.075000e-01,1.615000e+00,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
1,1,1,1,1,8.075000e-01,8.075000e-01,1.0,0.0,2.6000198e-06,0.0096959,4.015658,1.0,5.4714956,1.4558374,5.5719404,2.0516627,7.6247764,6.0,7.6249275,8.232368,4.2167106,8.232552,9.041798,--
2,2,9,3,3,8.075000e-01,2.422500e+00,1.0,1.0,--,--,9.048178,1.0,9.471069,0.4228911,9.5714655,4.699609,14.273267,3.0,14.273381,14.880626,5.8324475,14.880776,15.690262,--
3,3,9,3,3,4.037500e+00,2.422500e+00,1.0,2.0,--,--,15.693081,1.0,16.221315,0.5282341,16.321726,4.594266,20.919228,3.0,20.919344,21.522848,5.8297668,21.522997,25.562336,--
4,4,4,2,1,8.075000e-01,1.615000e+00,1.0,3.0,--,--,25.576519,2.0,25.904617,0.3280999,26.004953,3.9869,29.99346,4.0,29.99358,30.599705,5.023186,30.599855,31.409046,--
5,5,3,1,3,8.075000e-01,8.075000e-01,1.0,4.0,--,--,31.412926,2.0,31.938011,0.5250852,32.038364,2.9824147,35.022938,7.0,35.023056,35.6289,4.2159724,35.629047,36.4387,--
6,6,3,1,3,2.422500e+00,8.075000e-01,1.0,5.0,--,--,36.440514,2.0,36.871696,0.4311811,36.97203,3.076319,40.05059,6.0,40.050705,40.65463,4.2141123,40.65478,43.079006,--
7,7,9,3,3,4.037500e+00,8.075000e-01,1.0,6.0,--,--,43.083405,1.0,43.404434,0.3210288,43.504826,3.1864712,46.69326,2.0,46.693382,47.299007,4.2156024,47.29916,51.33882,--
8,8,3,1,3,8.075000e-01,2.422500e+00,1.0,7.0,--,--,51.342087,2.0,51.77111,0.4290241,51.87149,4.6934757,56.566353,6.0,56.56647,57.169937,5.8278513,57.170086,57.980263,--
9,9,4,2,1,8.075000e-01,1.615000e+00,1.0,8.0,--,--,57.991577,1.0,58.521236,0.5296586,58.621624,3.7853415,62.408916,7.0,62.40903,63.013763,5.0221863,63.01391,63.82355,--
10,10,2,1,2,8.075000e-01,2.422500e+00,1.0,9.0,--,--,63.82643,1.0,64.35443,0.5280016,64.454765,4.5944986,69.05114,5.0,69.051254,69.658,5.8315635,69.65814,70.46772,--
11,11,1,1,1,2.422500e+00,8.075000e-01,1.0,10.0,--,--,70.46952,1.0,70.78754,0.318014,70.887924,3.189486,74.07877,7.0,74.07889,74.68388,4.214359,74.684135,77.10837,--
12,12,4,2,1,8.075000e-01,1.615000e+00,1.0,11.0,--,--,77.11928,2.0,77.43766,0.3183826,77.53805,3.9966173,81.53676,1.0,81.53688,82.14191,5.022626,82.14205,82.95194,--
13,13,9,3,3,5.652500e+00,8.075000e-01,1.0,12.0,--,--,82.96592,2.0,83.38888,0.4229585,83.48925,3.0845416,86.57559,9.0,86.575714,87.18033,4.2144094,87.18047,92.83528,--
14,14,4,2,1,8.075000e-01,2.422500e+00,1.0,13.0,--,--,92.84641,2.0,93.17096,0.3245499,93.2713,4.7979503,98.07052,4.0,98.07064,98.6752,5.828792,98.67535,99.48485,--
15,15,7,3,1,8.075000e-01,2.422500e+00,1.0,14.0,--,--,99.48887,2.0,99.90587,0.4169963,100.00621,4.7055035,104.71371,4.0,104.71382,105.323875,5.835006,105.32402,106.13345,--
16,16,7,3,1,5.652500e+00,8.075000e-01,1.0,15.0,--,--,106.13665,1.0,106.55415,0.4175045,106.65452,3.0899954,109.74623,8.0,109.746346,110.350845,4.214201,110.35099,116.00541,--
17,17,1,1,1,2.422500e+00,1.615000e+00,1.0,16.0,--,--,116.00823,1.0,116.43754,0.4293054,116.53795,3.8856945,120.42559,8.0,120.425705,121.02917,5.0209346,121.02931,123.45379,--
18,18,6,2,3,2.422500e+00,2.422500e+00,1.0,17.0,--,--,123.464584,2.0,124.08742,0.6228342,124.18775,4.4996657,128.68942,9.0,128.68954,129.2939,5.829308,129.29404,131.71893,--
19,19,9,3,3,8.075000e-01,2.422500e+00,1.0,18.0,--,--,131.72319,2.0,132.35445,0.631252,132.4548,4.491248,136.94833,8.0,136.94846,137.55183,5.828642,137.55199,138.36177,--
20,20,3,1,3,8.075000e-01,1.615000e+00,1.0,19.0,--,--,138.36462,2.0,138.78749,0.4228578,138.88783,3.8921423,142.78185,9.0,142.78197,143.38686,5.022225,143.387,144.19638,--
21,21,1,1,1,8.075000e-01,8.075000e-01,1.0,20.0,--,--,144.19812,1.0,145.03792,0.8397968,145.13832,2.6677032,147.80771,6.0,147.80783,148.41243,4.214308,148.41258,149.22171,--
22,22,1,1,1,8.075000e-01,8.075000e-01,1.0,21.0,--,--,149.22346,1.0,149.65419,0.4307295,149.75458,3.0767705,152.8333,7.0,152.8334,153.43875,4.215292,153.4389,154.24834,--
23,23,1,1,1,8.075000e-01,1.615000e+00,1.0,22.0,--,--,154.25014,1.0,154.67061,0.4204805,154.77095,3.8945196,158.66757,7.0,158.66768,159.27177,5.02164,159.27193,160.0818,--
24,24,6,2,3,2.422500e+00,1.615000e+00,1.0,23.0,--,--,160.0928,1.0,160.72081,0.6280026,160.82121,3.6869974,164.5096,3.0,164.5097,165.11429,5.0214925,165.11444,167.53854,--
25,25,1,1,1,8.075000e-01,1.615000e+00,1.0,24.0,--,--,167.54144,1.0,167.85504,0.3136027,167.95543,4.001397,171.95905,9.0,171.95917,172.56384,5.022401,172.564,173.37334,--
26,26,8,3,2,8.075000e-01,1.615000e+00,1.0,25.0,--,--,173.37738,1.0,174.00407,0.6266891,174.10446,3.6883109,177.79495,5.0,177.79507,178.40005,5.02268,178.4002,179.20944,--
27,27,3,1,3,8.075000e-01,1.615000e+00,1.0,26.0,--,--,179.21225,2.0,179.93721,0.7249482,180.03754,3.590052,183.62964,8.0,183.62976,184.2354,5.023139,184.23553,185.04546,--
28,28,5,2,2,8.075000e-01,2.422500e+00,1.0,27.0,--,--,185.05647,1.0,185.48729,0.4308279,185.58768,4.6916723,190.28151,5.0,190.28162,190.88614,5.829672,190.88629,191.69601,--
29,29,4,2,1,5.652500e+00,1.615000e+00,1.0,28.0,--,--,191.70676,2.0,192.13747,0.4307019,192.23784,3.884298,196.12524,4.0,196.12537,196.72974,5.022969,196.72987,202.3846,--
30,30,6,2,3,7.267500e+00,8.075000e-01,1.0,29.0,--,--,202.39471,2.0,202.82066,0.425954,202.92107,3.081546,206.00497,9.0,206.00508,206.6092,4.214496,206.60936,213.87907,--
31,31,3,1,3,2.422500e+00,8.075000e-01,1.0,30.0,--,--,213.88197,1.0,214.30424,0.4222696,214.40457,3.0852304,217.49132,4.0,217.49144,218.09584,4.2138524,218.09598,220.52103,--
