Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,8,3,0,5.000000e-01,8.075000e-01
2,0,4,1,0,5.000000e-01,8.075000e-01
3,2,8,3,0,2,8.075000e-01
4,2,8,3,0,5.000000e-01,4.037500e+00
5,2,8,1,1,2,8.075000e-01
6,0,8,3,0,5.000000e-01,2.422500e+00
7,8,2,1,0,3.500000e+00,8.075000e-01
8,8,4,2,1,5.000000e-01,8.075000e-01
9,8,0,2,0,5.000000e-01,8.075000e-01
10,4,0,3,1,2,4.037500e+00
11,4,2,2,0,2,5.652500e+00
12,0,8,2,1,5.000000e-01,8.882500e+00
13,0,8,1,0,5.000000e-01,4.037500e+00
14,2,0,3,0,2,4.037500e+00
15,2,4,1,1,3.500000e+00,2.422500e+00
16,4,2,1,0,2,2.422500e+00
17,2,4,3,0,5.000000e-01,8.075000e-01
18,4,8,3,1,2,2.422500e+00
19,8,4,1,0,5.000000e-01,8.075000e-01
20,2,8,2,0,5.000000e-01,8.075000e-01
21,0,2,2,0,2,8.075000e-01
22,4,0,2,0,5.000000e-01,8.075000e-01
23,2,8,2,1,5.000000e-01,2.422500e+00
24,0,2,1,0,5.000000e-01,2.422500e+00
25,8,2,3,1,2,8.075000e-01
26,8,0,1,1,5.000000e-01,7.267500e+00
27,2,8,1,0,2,5.652500e+00
28,8,0,3,1,5.000000e-01,8.075000e-01
29,4,0,2,1,5.000000e-01,8.075000e-01
30,0,2,2,1,2,8.075000e-01
31,8,2,2,1,5.000000e-01,8.075000e-01
32,2,0,1,1,2,8.075000e-01
33,2,8,2,0,2,2.422500e+00
34,4,0,3,0,3.500000e+00,2.422500e+00
35,4,8,2,0,5.000000e-01,8.075000e-01
36,4,8,1,1,5.000000e-01,8.075000e-01
37,8,2,3,1,5.000000e-01,2.422500e+00
38,2,0,3,1,2,4.037500e+00
39,4,0,1,1,5.000000e-01,2.422500e+00
40,4,2,2,1,2,8.075000e-01
41,2,4,3,1,3.500000e+00,2.422500e+00
42,8,2,1,1,5.000000e-01,7.267500e+00
