TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,32,0.5575,1,0,2,1.0,0.0,4.6160746,5.5024967,5.5191607,5.519281,6.5195994,6.5197754,1.0,1.6328871,8.152662,10.287205,3.7680776,10.287983,10.846812
2,2,2,32,0.5575,1,0,8,1.0,1.0,11.345604,12.335436,12.352709,12.352838,13.352606,13.352746,2.0,1.149922,14.502668,17.120022,3.7678163,17.120695,17.67977
3,3,2,16,0.5575,1,8,0,1.0,2.0,18.179478,19.16875,19.185669,19.185743,20.18575,20.185886,1.0,1.3167472,21.502634,23.953463,3.7681167,23.95411,24.51308
4,4,3,16,0.5575,1,2,0,1.0,3.0,25.095766,26.002357,26.018711,26.018784,27.01885,27.018991,2.0,1.200401,28.219393,30.78568,3.767228,30.78633,31.345146
5,5,2,16,4.595,1,0,1,1.0,4.0,31.846132,32.83517,32.8524,32.85248,33.85349,33.853638,1.0,1.1496611,35.0033,37.619743,3.7666502,37.620396,42.216625
6,6,3,16,2.98,1,8,0,1.0,5.0,42.79203,43.702576,43.718697,43.718826,44.71894,44.719112,1.0,1.0829707,45.802086,48.487854,3.7692714,48.48849,51.46943
7,7,2,32,0.5575,1,8,0,1.0,6.0,51.97948,52.968452,52.98556,52.985634,53.985867,53.986004,1.0,0.9500427,54.936047,57.751823,3.7663577,57.75247,58.311584
8,8,3,16,1.365,1,8,0,1.0,7.0,58.921623,59.80205,59.820103,59.82023,60.82,60.820145,1.0,0.9150631,61.73521,64.5877,3.768087,64.58834,65.954254
9,9,2,32,2.98,1,0,8,1.0,8.0,66.4627,67.45216,67.469315,67.469444,68.46958,68.46974,1.0,0.8328398,69.30258,72.23682,3.7676165,72.23747,75.218285
10,10,3,32,0.5575,1,0,8,1.0,9.0,75.79458,76.7023,76.7186,76.71873,77.71783,77.71797,2.0,1.2175531,78.93553,81.48461,3.7671866,81.485275,82.044304
11,11,3,16,1.365,1,4,0,1.0,10.0,82.6207,83.53585,83.55214,83.55227,84.55266,84.5528,1.0,1.3997687,85.95257,88.32071,3.7684884,88.321396,89.6877
12,12,2,32,0.5575,1,0,2,1.0,11.0,90.19612,91.18503,91.20221,91.20228,92.202736,92.20287,1.0,1.1155183,93.31839,95.97096,3.768636,95.97162,96.53054
