Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,8,4,2,0,5.000000e-01,8.882500e+00
2,8,2,3,1,2,2.422500e+00
3,4,0,2,0,2,5.652500e+00
4,8,0,2,0,2,5.652500e+00
5,2,8,2,1,3.500000e+00,8.075000e-01
6,2,4,3,0,2,2.422500e+00
7,2,8,1,0,5.000000e-01,2.422500e+00
8,8,2,2,0,5.000000e-01,8.075000e-01
9,0,2,3,0,2,2.422500e+00
10,4,0,3,0,2,7.267500e+00
11,2,0,1,0,5.000000e-01,4.037500e+00
12,0,2,1,1,5.000000e-01,8.075000e-01
13,4,8,1,1,5.000000e-01,8.075000e-01
14,4,8,3,1,5.000000e-01,8.075000e-01
15,2,8,1,1,5.000000e-01,8.075000e-01
16,0,8,1,0,5.000000e-01,4.037500e+00
17,4,2,3,1,5.000000e-01,4.037500e+00
18,2,8,2,0,5.000000e-01,2.422500e+00
19,8,4,3,0,2,8.075000e-01
20,0,2,3,1,5.000000e-01,2.422500e+00
21,2,4,2,1,5.000000e-01,4.037500e+00
22,0,8,1,1,5.000000e-01,2.422500e+00
23,2,8,3,0,2,8.075000e-01
24,0,4,1,1,5.000000e-01,8.075000e-01
25,2,0,2,1,2,2.422500e+00
26,8,2,3,0,5.000000e-01,2.422500e+00
27,4,8,2,1,2,8.075000e-01
28,2,0,2,0,5.000000e-01,2.422500e+00
29,4,0,1,0,3.500000e+00,8.075000e-01
30,8,0,2,1,2,4.037500e+00
31,4,2,1,1,3.500000e+00,8.075000e-01
32,2,8,2,1,2,2.422500e+00
33,2,4,1,0,5.000000e-01,8.075000e-01
34,0,4,3,1,5.000000e-01,8.075000e-01
35,4,8,1,0,3.500000e+00,8.075000e-01
36,4,2,2,0,5.000000e-01,8.075000e-01
37,8,2,1,1,5.000000e-01,8.075000e-01
38,8,2,1,0,2,8.075000e-01
39,2,8,3,1,2,8.075000e-01
40,8,0,3,1,5.000000e-01,8.075000e-01
41,8,0,3,0,5.000000e-01,7.267500e+00
42,0,4,2,1,2,8.075000e-01
