Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,1,1,5.000000e-01,8.882500e+00
2,4,2,2,1,5.000000e-01,4.037500e+00
3,8,2,3,0,5.000000e-01,8.075000e-01
4,2,4,2,0,5.000000e-01,2.422500e+00
5,0,2,3,0,5.000000e-01,8.075000e-01
6,2,8,1,0,3.500000e+00,8.075000e-01
7,2,4,1,0,5.000000e-01,7.267500e+00
8,2,8,2,1,3.500000e+00,4.037500e+00
9,2,0,1,1,2,8.075000e-01
10,4,0,3,0,5.000000e-01,8.075000e-01
11,0,4,1,0,2,2.422500e+00
12,8,4,2,0,2,8.075000e-01
13,4,0,2,1,2,4.037500e+00
14,8,0,3,1,5.000000e-01,2.422500e+00
15,0,4,2,0,5.000000e-01,8.075000e-01
16,0,2,2,0,5.000000e-01,5.652500e+00
17,2,4,3,1,5.000000e-01,8.075000e-01
18,2,8,3,1,2,7.267500e+00
19,2,0,2,1,2,2.422500e+00
20,2,8,1,1,3.500000e+00,8.075000e-01
21,0,8,2,1,2,8.075000e-01
22,0,4,1,1,5.000000e-01,2.422500e+00
23,0,2,1,0,5.000000e-01,8.075000e-01
24,8,2,2,0,5.000000e-01,8.075000e-01
25,4,2,3,0,5.000000e-01,2.422500e+00
26,4,8,1,1,2,2.422500e+00
27,8,0,1,0,2,8.075000e-01
28,0,8,1,1,5.000000e-01,8.075000e-01
29,8,2,2,1,5.000000e-01,2.422500e+00
30,2,0,3,1,5.000000e-01,5.652500e+00
31,2,8,1,0,5.000000e-01,8.075000e-01
32,0,4,3,1,5.000000e-01,8.075000e-01
33,4,8,2,1,2,8.075000e-01
34,8,4,3,0,2,8.075000e-01
35,8,0,3,0,2,8.075000e-01
36,2,8,1,1,2,4.037500e+00
37,2,8,3,1,5.000000e-01,4.037500e+00
38,4,8,1,0,2,2.422500e+00
39,4,8,3,1,2,2.422500e+00
40,8,2,2,0,5.000000e-01,8.075000e-01
41,8,2,3,0,3.500000e+00,8.075000e-01
42,0,8,2,0,5.000000e-01,2.422500e+00
