TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,32,2.98,1,16,0,1.0,0.0,4.5089116,5.4987607,5.515314,5.515563,6.5149283,6.5150995,1.0,1.9664555,8.481555,10.281862,3.7674847,10.282729,13.264903
2,2,3,32,0.5575,1,3,0,1.0,1.0,13.83876,14.765026,14.781986,14.782123,15.781973,15.782111,2.0,1.8000759,17.582188,19.548899,3.7673268,19.549541,20.108932
3,3,2,16,0.5575,1,8,0,1.0,2.0,20.608763,21.59832,21.61557,21.615715,22.615887,22.616024,1.0,1.5000322,24.116056,26.381048,3.765548,26.381676,26.940876
4,4,3,16,0.5575,1,2,0,1.0,3.0,27.512556,28.431242,28.4485,28.448633,29.448788,29.448938,2.0,1.3001939,30.749132,33.214912,3.7664943,33.215534,33.774605
5,5,3,32,1.365,1,16,0,1.0,4.0,34.294792,35.264652,35.28176,35.28185,36.282845,36.28298,1.0,1.0326403,37.31562,40.04993,3.7674687,40.050552,41.41685
6,6,2,32,4.595,1,8,0,1.0,5.0,41.92519,42.914955,42.931973,42.932114,43.931915,43.932053,1.0,1.8336896,45.765743,47.699814,3.7682858,47.700443,52.296486
7,7,3,32,0.5575,1,16,0,1.0,6.0,52.859634,53.781464,53.79879,53.79893,54.79942,54.799572,1.0,0.8654979,55.66507,58.565887,3.7668438,58.566517,59.125885
8,8,2,16,2.98,1,2,0,1.0,7.0,59.625065,60.614773,60.63171,60.631817,61.632805,61.632942,2.0,0.6653552,62.298298,65.399704,3.767298,65.40035,68.38194
9,9,2,32,0.5575,1,2,0,1.0,8.0,68.8919,69.881485,69.89858,69.89872,70.89826,70.89841,2.0,0.7334603,71.63187,74.66583,3.7679503,74.66645,75.22604
10,10,3,32,2.98,1,0,3,1.0,9.0,75.78976,76.71493,76.731895,76.73204,77.731895,77.73204,1.0,2.0834742,79.81551,81.49892,3.7673938,81.499535,84.48061
11,11,2,16,0.5575,1,0,2,1.0,10.0,84.97523,85.96488,85.98202,85.982155,86.982315,86.98246,1.0,1.4159119,88.39837,90.750374,3.7684302,90.75099,91.31132
12,12,2,16,0.5575,1,0,8,1.0,11.0,91.808105,92.79788,92.81505,92.81513,93.815895,93.81604,2.0,1.115473,94.93151,97.58389,3.7684066,97.58455,98.14361
13,13,3,32,2.98,1,0,2,1.0,12.0,98.708244,99.63115,99.64837,99.64845,100.64947,100.649605,1.0,1.2653046,101.91491,104.4178,3.7688413,104.41858,107.4005
14,14,2,32,1.365,1,2,0,1.0,13.0,107.90846,108.89816,108.91519,108.91534,109.915985,109.91612,2.0,1.0827936,110.99892,113.68289,3.7672904,113.68352,115.04996
15,15,2,32,0.5575,1,16,0,1.0,14.0,115.55856,116.54813,116.56529,116.56542,117.5659,117.56604,1.0,0.9831509,118.549194,121.331024,3.7655015,121.33165,121.89094
16,16,3,32,1.365,1,0,8,1.0,15.0,122.469315,123.38128,123.3976,123.39769,124.39795,124.39809,2.0,1.6168447,126.01493,128.1649,3.767336,128.16553,129.5316
17,17,3,16,1.365,1,4,0,1.0,16.0,130.10289,131.0315,131.04861,131.04875,132.0488,132.04893,1.0,1.465936,133.51488,135.81693,3.768514,135.81755,137.18393
18,18,3,32,0.5575,1,16,0,1.0,17.0,137.75803,138.68126,138.69844,138.6986,139.6979,139.69804,1.0,1.0165808,140.71463,143.46684,3.7693112,143.46747,144.02689
19,19,2,32,0.5575,1,0,2,1.0,18.0,144.5249,145.51434,145.53157,145.53165,146.5319,146.53204,1.0,1.616329,148.14838,150.29904,3.7675166,150.29967,150.85886
20,20,2,32,0.5575,1,8,0,1.0,19.0,151.35843,152.34805,152.3649,152.36502,153.3649,153.36504,1.0,1.6161609,154.9812,157.1329,3.7683866,157.13353,157.69312
21,21,2,32,4.595,1,0,3,1.0,20.0,158.1918,159.18138,159.19838,159.19852,160.19795,160.19809,1.0,1.60087,161.79897,163.96397,3.7663913,163.96458,168.56067
22,22,3,16,1.365,1,2,0,1.0,21.0,169.13072,170.04852,170.06447,170.06464,171.06491,171.06506,2.0,1.2334588,172.29852,174.83229,3.767761,174.83293,176.19887
23,23,3,16,0.5575,1,0,8,1.0,22.0,176.76855,177.6977,177.71463,177.7147,178.71501,178.71515,2.0,1.283794,179.99895,182.48192,3.7672899,182.48254,183.04163
24,24,3,32,1.365,1,2,0,1.0,23.0,183.6363,184.53172,184.54839,184.54851,185.5485,185.54865,2.0,1.1661369,186.71478,189.31555,3.7674403,189.31618,190.68217
25,25,2,16,0.5575,1,0,4,1.0,24.0,191.19171,192.18102,192.19814,192.19821,193.19801,193.19817,2.0,1.5663433,194.7645,196.96593,3.7682984,196.96655,197.5256
26,26,3,16,1.365,1,1,0,1.0,25.0,198.11661,199.01501,199.03177,199.0319,200.03192,200.03206,2.0,1.0662125,201.09827,203.7989,3.7673688,203.79953,205.1666
27,27,2,32,0.5575,1,16,0,1.0,26.0,205.67552,206.66429,206.68176,206.6819,207.68193,207.68207,1.0,1.1497854,208.83186,211.44885,3.7673166,211.4495,212.00887
28,28,3,16,0.5575,1,0,2,1.0,27.0,212.55402,213.49811,213.51463,213.51471,214.5149,214.51503,1.0,1.2001432,215.71518,218.28116,3.7666843,218.28183,218.84093
29,29,2,16,6.21,1,2,0,1.0,28.0,219.34148,220.33122,220.34836,220.34848,221.34854,221.34868,2.0,0.9659285,222.3146,225.11693,3.7687733,225.11755,231.32906
30,30,2,16,2.98,1,0,1,1.0,29.0,231.82466,232.81447,232.83179,232.83194,233.83191,233.83205,1.0,1.1833128,235.01537,237.59993,3.7684195,237.60057,240.58167
