nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,0.5575,1,8,0
2,2,32,0.5575,1,0,3
3,2,32,1.365,1,0,16
4,2,32,0.5575,1,0,16
5,3,32,2.98,1,0,2
6,3,16,1.365,1,2,0
7,2,32,1.365,1,3,0
8,3,32,1.365,1,2,0
9,3,16,0.5575,1,8,0
10,3,32,0.5575,1,0,3
11,2,16,0.5575,1,0,1
12,2,32,2.98,1,0,3
13,3,16,2.98,1,4,0
14,3,16,0.5575,1,2,0
15,3,32,0.5575,1,0,16
16,3,32,2.98,1,0,8
17,2,16,0.5575,1,1,0
18,3,16,0.5575,1,0,2
19,3,32,0.5575,1,3,0
20,3,16,0.5575,1,0,4
21,3,32,1.365,1,0,8
22,2,16,0.5575,1,0,4
23,2,16,1.365,1,0,4
24,3,32,0.5575,1,0,8
25,2,32,1.365,1,0,8
26,3,32,0.5575,1,0,16
27,3,16,0.5575,1,1,0
28,2,32,0.5575,1,0,2
29,3,32,1.365,1,0,16
30,3,32,2.98,1,0,2
31,3,32,0.5575,1,0,2
32,2,32,0.5575,1,2,0
33,2,32,4.595,1,8,0
34,2,32,0.5575,1,16,0
35,2,16,0.5575,1,0,1
36,3,16,1.365,1,0,2
37,2,32,0.5575,1,2,0
38,2,16,1.365,1,8,0
39,2,32,2.98,1,3,0
40,2,16,0.5575,1,0,4
41,3,16,4.595,1,8,0
42,2,32,6.21,1,3,0
43,2,32,2.98,1,0,16
44,2,16,1.365,1,4,0
45,2,32,4.595,1,3,0
46,3,16,1.365,1,8,0
47,2,32,0.5575,1,0,16
48,3,32,1.365,1,0,2
