nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,16,2.98,1,0,1
2,3,16,0.5575,1,0,2
3,3,16,2.98,1,1,0
4,3,16,0.5575,1,0,8
5,3,16,1.365,1,0,4
6,2,32,2.98,1,2,0
7,2,16,0.5575,1,0,1
8,2,32,0.5575,1,0,2
9,2,32,1.365,1,16,0
10,2,32,4.595,1,0,3
11,2,16,0.5575,1,0,2
12,2,32,1.365,1,3,0
13,2,16,0.5575,1,0,8
14,2,16,0.5575,1,4,0
15,3,32,0.5575,1,0,3
16,3,32,4.595,1,8,0
17,3,32,0.5575,1,0,2
18,3,32,0.5575,1,0,8
19,2,32,0.5575,1,0,16
20,2,16,4.595,1,0,1
21,3,16,0.5575,1,8,0
22,2,32,1.365,1,0,16
23,2,16,6.21,1,4,0
24,2,32,0.5575,1,2,0
25,3,16,0.5575,1,0,4
26,3,16,0.5575,1,8,0
27,2,16,0.5575,1,0,2
28,3,16,1.365,1,4,0
29,2,16,0.5575,1,4,0
30,2,32,0.5575,1,3,0
31,3,32,1.365,1,3,0
32,3,16,0.5575,1,0,8
33,3,16,1.365,1,0,8
34,2,16,1.365,1,4,0
35,3,16,2.98,1,2,0
36,3,32,2.98,1,0,3
37,3,16,0.5575,1,2,0
38,3,16,1.365,1,1,0
39,3,16,0.5575,1,0,8
40,2,16,0.5575,1,0,4
41,2,32,1.365,1,8,0
42,2,16,2.98,1,2,0
43,2,16,1.365,1,0,8
44,2,16,1.365,1,0,8
45,3,32,0.5575,1,0,2
46,2,16,2.98,1,0,1
47,3,16,0.5575,1,4,0
48,3,32,1.365,1,0,2
