nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1.365,1,1,0
2,3,32,0.5575,1,0,8
3,2,32,1.365,1,8,0
4,2,16,2.98,1,8,0
5,2,32,0.5575,1,16,0
6,2,32,1.365,1,0,16
7,2,16,0.5575,1,0,2
8,2,16,2.98,1,8,0
9,2,32,0.5575,1,3,0
10,3,32,0.5575,1,0,8
11,3,16,0.5575,1,0,8
12,3,16,4.595,1,8,0
13,3,32,1.365,1,16,0
14,3,16,0.5575,1,0,8
15,3,32,0.5575,1,0,16
16,3,32,2.98,1,2,0
17,2,32,0.5575,1,0,3
18,2,16,0.5575,1,0,1
19,3,16,0.5575,1,4,0
20,2,16,0.5575,1,2,0
21,2,16,0.5575,1,0,2
22,3,32,2.98,1,2,0
23,3,16,0.5575,1,0,2
24,3,16,0.5575,1,1,0
25,3,16,1.365,1,2,0
26,3,32,2.98,1,0,8
27,2,32,0.5575,1,3,0
28,3,32,0.5575,1,3,0
29,3,16,1.365,1,0,1
30,3,16,4.595,1,2,0
31,3,16,1.365,1,4,0
32,2,16,1.365,1,4,0
33,2,16,0.5575,1,0,1
34,2,32,0.5575,1,0,8
35,2,16,1.365,1,0,4
36,2,32,0.5575,1,0,8
37,2,32,0.5575,1,0,8
38,2,32,2.98,1,16,0
39,3,16,6.21,1,2,0
40,3,32,1.365,1,2,0
41,3,32,4.595,1,3,0
42,2,32,1.365,1,0,2
43,2,16,0.5575,1,0,8
44,3,32,0.5575,1,0,16
45,2,32,2.98,1,2,0
46,3,32,0.5575,1,2,0
47,2,16,1.365,1,1,0
48,3,16,1.365,1,4,0
