nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,2.98,1,0,16
2,3,16,1.365,1,0,8
3,3,16,0.5575,1,2,0
4,3,16,0.5575,1,2,0
5,2,32,1.365,1,0,2
6,3,16,0.5575,1,0,4
7,2,32,0.5575,1,2,0
8,2,32,2.98,1,2,0
9,3,16,0.5575,1,2,0
10,3,32,2.98,1,8,0
11,3,16,0.5575,1,0,2
12,2,16,0.5575,1,2,0
13,2,16,2.98,1,2,0
14,2,32,0.5575,1,8,0
15,3,16,2.98,1,0,1
16,3,32,0.5575,1,3,0
17,3,32,0.5575,1,8,0
18,2,16,0.5575,1,4,0
19,2,16,1.365,1,2,0
20,2,16,0.5575,1,0,8
21,2,16,0.5575,1,4,0
22,2,16,0.5575,1,2,0
23,3,16,1.365,1,0,1
24,2,32,0.5575,1,0,16
25,2,32,0.5575,1,0,16
26,2,32,0.5575,1,16,0
27,3,32,0.5575,1,8,0
28,3,16,1.365,1,0,4
29,3,32,1.365,1,0,2
30,3,16,4.595,1,1,0
31,3,32,1.365,1,0,16
32,2,32,6.21,1,2,0
33,2,32,4.595,1,3,0
34,3,16,0.5575,1,2,0
35,2,16,1.365,1,0,4
36,2,16,0.5575,1,1,0
37,2,16,4.595,1,0,1
38,2,16,0.5575,1,0,4
39,3,16,1.365,1,0,8
40,2,32,2.98,1,16,0
41,3,32,1.365,1,16,0
42,2,16,1.365,1,0,8
43,2,16,0.5575,1,2,0
44,3,16,1.365,1,1,0
45,3,16,0.5575,1,0,1
46,3,32,2.98,1,16,0
47,3,32,1.365,1,8,0
48,2,32,0.5575,1,8,0
