nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,16,0.5575,1,8,0
2,3,32,0.5575,1,0,3
3,2,32,1.365,1,3,0
4,2,16,2.98,1,1,0
5,2,16,0.5575,1,4,0
6,3,16,0.5575,1,1,0
7,3,32,0.5575,1,8,0
8,3,16,0.5575,1,0,2
9,2,16,0.5575,1,0,8
10,2,16,1.365,1,2,0
11,3,16,0.5575,1,2,0
12,2,32,0.5575,1,0,8
13,2,32,0.5575,1,2,0
14,3,16,2.98,1,8,0
15,3,16,1.365,1,0,2
16,2,16,1.365,1,1,0
17,3,16,2.98,1,0,4
18,3,32,2.98,1,0,2
19,3,32,4.595,1,0,3
20,3,32,1.365,1,0,2
21,2,16,2.98,1,0,4
22,3,16,1.365,1,0,8
23,2,32,0.5575,1,0,3
24,3,16,4.595,1,4,0
25,2,16,0.5575,1,0,4
26,3,16,1.365,1,1,0
27,2,32,2.98,1,16,0
28,2,32,0.5575,1,0,16
29,2,32,0.5575,1,16,0
30,3,16,0.5575,1,0,1
31,2,16,1.365,1,4,0
32,2,32,0.5575,1,16,0
33,2,16,0.5575,1,0,1
34,3,16,6.21,1,0,4
35,2,32,1.365,1,16,0
36,3,16,0.5575,1,0,1
37,2,16,0.5575,1,2,0
38,2,16,0.5575,1,0,4
39,2,16,1.365,1,0,2
40,3,32,1.365,1,8,0
41,2,16,0.5575,1,0,2
42,2,32,0.5575,1,0,2
43,3,32,1.365,1,0,16
44,3,32,0.5575,1,0,8
45,3,16,4.595,1,0,8
46,3,16,0.5575,1,0,8
47,3,32,1.365,1,0,3
48,2,32,2.98,1,2,0
