nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,1.365,1,0,2
2,3,32,2.98,1,0,2
3,3,32,2.98,1,2,0
4,2,32,4.595,1,3,0
5,2,16,4.595,1,0,2
6,2,16,2.98,1,0,4
7,3,16,2.98,1,8,0
8,3,32,1.365,1,0,8
9,3,32,0.5575,1,0,3
10,2,32,0.5575,1,0,8
11,3,16,2.98,1,0,2
12,3,32,1.365,1,0,3
13,2,16,6.21,1,0,4
14,2,32,0.5575,1,0,8
15,3,32,0.5575,1,16,0
16,3,32,0.5575,1,0,3
17,2,16,1.365,1,4,0
18,2,32,1.365,1,0,3
19,2,32,1.365,1,3,0
20,3,16,1.365,1,0,8
21,2,32,0.5575,1,0,2
22,3,16,1.365,1,8,0
23,2,32,0.5575,1,0,3
24,2,16,0.5575,1,0,4
25,3,32,0.5575,1,2,0
26,3,32,0.5575,1,8,0
27,3,32,0.5575,1,0,16
28,2,32,0.5575,1,0,2
29,3,32,2.98,1,0,2
30,2,32,0.5575,1,0,16
31,3,32,1.365,1,16,0
32,2,16,0.5575,1,1,0
33,2,32,0.5575,1,16,0
34,3,16,0.5575,1,2,0
35,2,16,1.365,1,8,0
36,2,32,0.5575,1,0,2
37,3,16,0.5575,1,1,0
38,2,16,1.365,1,0,1
39,3,16,4.595,1,0,4
40,3,16,1.365,1,0,4
41,2,32,0.5575,1,0,16
42,2,16,0.5575,1,8,0
43,2,16,0.5575,1,1,0
44,3,32,0.5575,1,0,8
45,3,32,2.98,1,0,3
46,3,32,0.5575,1,8,0
47,2,16,1.365,1,8,0
48,3,16,0.5575,1,0,1
