nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,16,0.5575,1,4,0
2,3,16,1.365,1,0,4
3,2,16,0.5575,1,0,4
4,2,32,0.5575,1,8,0
5,3,32,0.5575,1,16,0
6,2,32,6.21,1,16,0
7,3,32,4.595,1,2,0
8,3,32,1.365,1,0,3
9,3,16,1.365,1,8,0
10,3,16,1.365,1,0,4
11,3,32,0.5575,1,2,0
12,2,16,1.365,1,0,8
13,3,32,0.5575,1,16,0
14,3,32,0.5575,1,0,16
15,2,32,1.365,1,2,0
16,3,32,0.5575,1,0,16
17,2,16,2.98,1,0,4
18,2,16,0.5575,1,0,8
19,2,32,1.365,1,0,2
20,2,16,2.98,1,4,0
21,2,16,0.5575,1,2,0
22,2,32,0.5575,1,0,3
23,2,16,0.5575,1,4,0
24,2,32,2.98,1,2,0
25,3,16,0.5575,1,4,0
26,3,32,1.365,1,3,0
27,2,32,2.98,1,3,0
28,3,32,0.5575,1,2,0
29,2,16,0.5575,1,0,8
30,2,32,4.595,1,0,16
31,3,32,4.595,1,0,2
32,2,16,0.5575,1,2,0
33,3,16,1.365,1,8,0
34,3,32,0.5575,1,0,8
35,2,32,2.98,1,0,3
36,2,16,2.98,1,1,0
37,3,16,1.365,1,0,2
38,2,32,1.365,1,3,0
39,2,32,0.5575,1,0,2
40,2,32,0.5575,1,0,8
41,3,32,0.5575,1,3,0
42,3,16,0.5575,1,2,0
43,3,16,1.365,1,0,1
44,2,16,0.5575,1,1,0
45,3,16,0.5575,1,0,1
46,3,16,1.365,1,4,0
47,3,16,0.5575,1,0,2
48,2,16,2.98,1,8,0
