nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,1.365,1,0,2
2,2,16,6.21,1,0,8
3,2,32,0.5575,1,0,16
4,3,16,4.595,1,4,0
5,2,32,0.5575,1,8,0
6,3,16,0.5575,1,2,0
7,2,32,1.365,1,2,0
8,2,32,2.98,1,0,16
9,2,32,1.365,1,0,3
10,2,16,1.365,1,0,4
11,2,32,0.5575,1,0,16
12,3,16,0.5575,1,0,2
13,3,32,0.5575,1,0,2
14,2,16,2.98,1,2,0
15,3,32,0.5575,1,0,16
16,2,32,0.5575,1,16,0
17,2,32,0.5575,1,8,0
18,3,16,0.5575,1,0,2
19,3,16,0.5575,1,4,0
20,3,16,2.98,1,0,8
21,2,32,1.365,1,0,8
22,2,32,0.5575,1,3,0
23,3,16,0.5575,1,0,8
24,3,16,4.595,1,0,2
25,2,32,0.5575,1,2,0
26,3,32,2.98,1,16,0
27,3,16,1.365,1,0,1
28,2,16,1.365,1,4,0
29,2,32,4.595,1,0,2
30,3,16,2.98,1,1,0
31,3,16,2.98,1,0,2
32,2,16,0.5575,1,2,0
33,3,32,0.5575,1,8,0
34,3,32,0.5575,1,3,0
35,2,32,0.5575,1,0,2
36,3,32,1.365,1,16,0
37,2,32,1.365,1,0,3
38,2,16,0.5575,1,4,0
39,2,16,0.5575,1,1,0
40,3,32,0.5575,1,16,0
41,3,32,0.5575,1,0,2
42,3,32,1.365,1,8,0
43,2,16,1.365,1,2,0
44,2,32,0.5575,1,0,2
45,3,32,1.365,1,8,0
46,3,16,0.5575,1,0,1
47,3,32,2.98,1,8,0
48,2,16,1.365,1,8,0
