nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,1.365,1,0,2
2,3,16,2.98,1,8,0
3,3,32,0.5575,1,3,0
4,3,32,6.21,1,3,0
5,3,16,0.5575,1,0,4
6,3,16,0.5575,1,4,0
7,2,16,1.365,1,0,8
8,2,32,1.365,1,16,0
9,2,32,0.5575,1,0,2
10,3,16,0.5575,1,0,4
11,3,32,0.5575,1,16,0
12,2,32,0.5575,1,3,0
13,3,16,2.98,1,0,8
14,2,16,0.5575,1,8,0
15,3,32,1.365,1,0,3
16,2,16,0.5575,1,1,0
17,3,16,0.5575,1,2,0
18,2,16,0.5575,1,2,0
19,3,32,1.365,1,3,0
20,2,16,1.365,1,0,1
21,3,16,0.5575,1,1,0
22,2,16,1.365,1,0,4
23,3,32,1.365,1,0,8
24,3,32,0.5575,1,0,2
25,2,32,0.5575,1,2,0
26,3,32,4.595,1,0,8
27,2,32,2.98,1,0,8
28,2,16,0.5575,1,1,0
29,2,16,1.365,1,0,4
30,2,16,0.5575,1,0,8
31,3,32,4.595,1,0,2
32,3,32,1.365,1,0,3
33,3,32,0.5575,1,16,0
34,2,32,0.5575,1,0,2
35,2,32,0.5575,1,8,0
36,2,16,0.5575,1,8,0
37,2,32,4.595,1,0,8
38,2,32,2.98,1,0,16
39,3,32,0.5575,1,0,16
40,2,32,0.5575,1,0,3
41,3,16,0.5575,1,0,8
42,2,16,1.365,1,2,0
43,3,32,2.98,1,0,2
44,2,32,1.365,1,0,3
45,2,32,1.365,1,0,3
46,3,16,2.98,1,4,0
47,2,32,0.5575,1,0,8
48,3,16,2.98,1,1,0
