nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,0.5575,1,8,0
2,3,16,4.595,1,1,0
3,3,32,2.98,1,0,8
4,3,16,6.21,1,8,0
5,3,32,0.5575,1,2,0
6,3,32,0.5575,1,0,16
7,2,32,1.365,1,8,0
8,2,16,0.5575,1,0,2
9,3,16,0.5575,1,4,0
10,2,16,0.5575,1,1,0
11,2,32,2.98,1,8,0
12,2,16,0.5575,1,4,0
13,3,32,0.5575,1,8,0
14,3,16,0.5575,1,1,0
15,3,32,1.365,1,0,3
16,2,16,0.5575,1,0,8
17,3,32,0.5575,1,16,0
18,2,32,4.595,1,3,0
19,2,32,2.98,1,3,0
20,3,16,0.5575,1,0,2
21,2,16,1.365,1,0,1
22,3,16,2.98,1,0,2
23,3,16,1.365,1,0,1
24,3,32,0.5575,1,0,16
25,3,32,0.5575,1,0,2
26,2,32,1.365,1,16,0
27,2,32,0.5575,1,2,0
28,2,16,1.365,1,1,0
29,3,16,2.98,1,8,0
30,2,32,0.5575,1,0,16
31,3,32,2.98,1,3,0
32,2,16,1.365,1,2,0
33,3,32,1.365,1,8,0
34,2,32,2.98,1,8,0
35,2,32,0.5575,1,2,0
36,2,16,0.5575,1,0,1
37,2,32,0.5575,1,16,0
38,3,16,0.5575,1,0,4
39,3,32,0.5575,1,0,8
40,2,32,0.5575,1,3,0
41,2,16,1.365,1,0,4
42,2,16,1.365,1,4,0
43,3,32,0.5575,1,3,0
44,2,32,1.365,1,0,3
45,2,32,1.365,1,16,0
46,3,32,4.595,1,3,0
47,3,32,0.5575,1,2,0
48,3,16,1.365,1,8,0
