nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,1.365,1,0,3
2,2,32,1.365,1,0,8
3,2,16,0.5575,1,4,0
4,3,16,0.5575,1,8,0
5,3,16,0.5575,1,2,0
6,2,16,1.365,1,0,2
7,2,16,0.5575,1,0,2
8,3,32,0.5575,1,8,0
9,3,32,2.98,1,8,0
10,2,32,4.595,1,2,0
11,2,16,0.5575,1,0,8
12,2,16,2.98,1,8,0
13,3,32,6.21,1,0,8
14,3,32,1.365,1,8,0
15,3,16,1.365,1,0,1
16,2,32,1.365,1,0,3
17,3,32,0.5575,1,8,0
18,3,16,0.5575,1,2,0
19,3,16,0.5575,1,0,1
20,3,16,2.98,1,8,0
21,2,32,2.98,1,0,16
22,2,16,0.5575,1,4,0
23,3,32,0.5575,1,0,2
24,3,32,1.365,1,0,16
25,2,16,0.5575,1,0,4
26,2,16,0.5575,1,0,1
27,3,32,0.5575,1,3,0
28,2,16,1.365,1,0,4
29,2,32,0.5575,1,0,16
30,2,32,1.365,1,2,0
31,2,32,4.595,1,0,3
32,2,16,0.5575,1,1,0
33,2,32,2.98,1,0,3
34,2,16,0.5575,1,0,1
35,3,16,0.5575,1,0,1
36,2,32,1.365,1,2,0
37,3,16,4.595,1,8,0
38,2,32,2.98,1,16,0
39,2,16,0.5575,1,0,4
40,2,32,0.5575,1,0,3
41,3,32,0.5575,1,0,8
42,3,16,0.5575,1,0,8
43,3,32,0.5575,1,0,3
44,2,32,1.365,1,0,16
45,3,16,2.98,1,0,8
46,3,32,1.365,1,0,3
47,3,32,0.5575,1,0,2
48,3,32,1.365,1,0,2
