TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,4,2,3,0,2,8.075000e-01,1.0,0.0,4.0262203,1.0,4,6.620947,high,2.5947263,0.4052736,7.140375,10.776987,10.780509,12.782585,8.756364,12.783034,13.584094
2,2,8,2,2,0,5.000000e-01,2.422500e+00,1.0,1.0,13.697434,1.0,8,16.15477,high,2.4573357,0.5426644,16.673939,18.94784,18.950075,20.952475,7.2550397,20.952908,23.36988
3,3,4,8,2,0,2,5.652500e+00,1.0,2.0,23.480919,2.0,8,25.687887,high,2.206968,0.7930319,26.206484,30.231134,30.23152,32.233807,8.75289,32.234184,37.883503
4,4,2,0,3,0,5.000000e-01,2.422500e+00,1.0,3.0,37.904976,1.0,2,40.154385,high,2.2494068,0.7505931,40.67394,43.155727,43.157673,45.16019,7.2552133,45.16057,47.578224
5,5,2,8,1,0,5.000000e-01,8.075000e-01,1.0,4.0,47.583817,1.0,2,50.38749,low,2.8036735,0.1963265,50.907845,52.83463,52.836514,54.838642,7.2548265,54.83902,55.64176
6,6,2,8,1,0,5.000000e-01,8.075000e-01,1.0,5.0,55.643673,2.0,8,57.503986,high,1.8603137,1.1396863,58.024345,60.894165,60.894558,62.89699,7.2533174,62.89738,63.70189
7,7,0,4,2,1,3.500000e+00,8.075000e-01,1.0,6.0,63.81352,999.0,999,66.820656,999,0.0,0.0,66.82385,72.06459,999.0,999.0,935.18646,74.06966,74.87111
8,8,8,2,3,0,3.500000e+00,8.882500e+00,1.0,7.0,74.88125,1.0,8,76.7708,high,1.8895509,1.1104491,77.2901,83.13288,83.13497,85.140335,10.259086,85.14071,94.014694
9,9,8,4,1,0,2,8.075000e-01,1.0,8.0,94.019005,1.0,8,96.553955,high,2.5349548,0.4650452,97.07355,100.76986,100.771774,102.773476,8.754474,102.773865,103.57684
10,10,2,4,1,1,5.000000e-01,7.267500e+00,1.0,9.0,103.58,1.0,2,105.55454,low,1.9745415,1.0254585,106.07381,108.83093,108.83302,110.83554,7.2555404,110.83592,118.09881
11,11,8,2,2,0,3.500000e+00,4.037500e+00,1.0,10.0,118.20862,2.0,2,120.30387,low,2.0952585,0.9047416,120.82301,126.4593,126.46113,128.46378,10.255164,128.46417,132.49678
12,12,8,2,3,1,5.000000e-01,8.075000e-01,1.0,11.0,132.50453,1.0,8,134.22041,high,1.7158836,1.2841164,134.74007,137.75383,137.75584,139.75742,7.252889,139.75783,140.56271
13,13,8,4,2,1,2,8.075000e-01,1.0,12.0,140.67,2.0,4,143.07097,low,2.400971,0.5990291,143.59064,147.41965,147.42151,149.42323,8.753235,149.42361,150.22766
