Trial,A_ITI,B_ITI,A_feedback,B_feedback,A_faces_L,A_faces_R,A_doors_L,A_doors_R,B_faces_L,B_faces_R,B_doors_L,B_doors_R,practice_faces_L,practice_faces_R,practice_doors_L,practice_doors_R,practice_ITI,practice_feedback
1,5.3,5.3,win,loss,MF001.jpg,MF002.jpg,SD001.jpg,SD002.jpg,FF017.jpg,FF018.jpg,DD017.jpg,DD018.jpg,P_MF901.jpg,P_MF902.jpg,P_DD901.jpg,P_DD902.jpg,2,win
2,1.1,5.3,loss,win,MF003.jpg,MF004.jpg,SD003.jpg,SD004.jpg,FF035.jpg,FF036.jpg,DD035.jpg,DD036.jpg,P_FF901.jpg,P_FF902.jpg,P_SD901.jpg,P_SD902.jpg,2,loss
3,1.1,5.3,win,loss,MF005.jpg,MF006.jpg,SD005.jpg,SD006.jpg,FF021.jpg,FF022.jpg,DD021.jpg,DD022.jpg,P_MF903.jpg,P_MF904.jpg,P_DD903.jpg,P_DD904.jpg,2,win
4,3.2,1.1,win,loss,FF001.jpg,FF002.jpg,DD001.jpg,DD002.jpg,MF025.jpg,MF026.jpg,SD025.jpg,SD026.jpg,,,,,,
5,5.3,1.1,loss,loss,FF003.jpg,FF004.jpg,DD003.jpg,DD004.jpg,MF027.jpg,MF028.jpg,SD027.jpg,SD028.jpg,,,,,,
6,3.2,1.1,loss,win,MF007.jpg,MF008.jpg,SD007.jpg,SD008.jpg,MF023.jpg,MF024.jpg,SD023.jpg,SD024.jpg,,,,,,
7,3.2,3.2,win,win,MF009.jpg,MF010.jpg,SD009.jpg,SD010.jpg,FF037.jpg,FF038.jpg,DD037.jpg,DD038.jpg,,,,,,
8,1.1,3.2,loss,loss,FF005.jpg,FF006.jpg,DD005.jpg,DD006.jpg,MF011.jpg,MF012.jpg,SD011.jpg,SD012.jpg,,,,,,
9,1.1,1.1,win,win,FF007.jpg,FF008.jpg,DD007.jpg,DD008.jpg,FF009.jpg,FF010.jpg,DD009.jpg,DD010.jpg,,,,,,
10,1.1,3.2,win,win,FF009.jpg,FF010.jpg,DD009.jpg,DD010.jpg,FF027.jpg,FF028.jpg,DD027.jpg,DD028.jpg,,,,,,
11,3.2,5.3,loss,loss,FF011.jpg,FF012.jpg,DD011.jpg,DD012.jpg,FF015.jpg,FF016.jpg,DD015.jpg,DD016.jpg,,,,,,
12,1.1,3.2,loss,loss,MF011.jpg,MF012.jpg,SD011.jpg,SD012.jpg,MF029.jpg,MF030.jpg,SD029.jpg,SD030.jpg,,,,,,
