Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,4,2,3,0,5.000000e-01,8.075000e-01
2,0,4,1,0,3.500000e+00,8.882500e+00
3,8,2,1,1,5.000000e-01,8.075000e-01
4,8,4,3,1,5.000000e-01,2.422500e+00
5,4,0,3,0,2,8.075000e-01
6,8,2,3,0,2,8.075000e-01
7,4,8,1,0,5.000000e-01,8.075000e-01
8,8,4,3,0,5.000000e-01,8.075000e-01
9,8,2,1,0,5.000000e-01,2.422500e+00
10,8,4,2,0,5.000000e-01,8.075000e-01
11,0,2,2,1,5.000000e-01,8.075000e-01
12,0,8,1,0,5.000000e-01,8.075000e-01
13,8,0,2,0,5.000000e-01,2.422500e+00
14,4,2,2,1,2,2.422500e+00
15,4,0,2,0,5.000000e-01,5.652500e+00
16,0,2,3,1,3.500000e+00,2.422500e+00
17,4,2,2,0,5.000000e-01,4.037500e+00
18,8,0,2,1,5.000000e-01,8.075000e-01
19,2,0,1,0,5.000000e-01,2.422500e+00
20,2,4,3,1,5.000000e-01,8.075000e-01
21,0,4,2,1,2,7.267500e+00
22,2,0,2,0,3.500000e+00,2.422500e+00
23,8,2,3,0,2,4.037500e+00
24,4,8,1,1,2,7.267500e+00
25,2,8,2,1,2,5.652500e+00
26,8,2,2,1,2,2.422500e+00
27,0,2,1,1,5.000000e-01,8.075000e-01
28,4,0,3,1,2,8.075000e-01
29,0,8,1,1,5.000000e-01,8.075000e-01
30,2,8,2,0,5.000000e-01,4.037500e+00
31,2,8,1,1,5.000000e-01,8.075000e-01
32,2,4,1,1,2,8.075000e-01
33,2,0,3,0,3.500000e+00,8.075000e-01
34,2,8,3,1,5.000000e-01,4.037500e+00
35,0,8,3,1,5.000000e-01,8.075000e-01
36,8,2,2,0,2,2.422500e+00
37,2,8,1,0,5.000000e-01,2.422500e+00
38,0,8,3,0,2,8.075000e-01
39,4,8,2,1,2,8.075000e-01
40,4,0,1,1,5.000000e-01,8.075000e-01
41,2,4,1,0,2,4.037500e+00
42,8,2,3,1,2,2.422500e+00
