TrialNumber,Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI,ran,order,onset,bpress,resp,resp_onset,highlow,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,4,2,2,1,5.000000e-01,2.422500e+00,1.0,0.0,4.12781,2.0,2,7.118402,low,2.990592,0.0094081,7.6388273,9.377341,9.3804455,11.382595,7.2547846,11.383067,13.800993
2,2,2,4,3,0,2,7.267500e+00,1.0,1.0,13.824178,2.0,4,15.468584,high,1.6444058,1.3555942,15.9882965,20.574383,20.577328,22.579784,8.755607,22.58018,29.841316
3,3,4,8,3,0,2,2.422500e+00,1.0,2.0,29.850842,2.0,8,31.634777,high,1.7839355,1.2160645,32.154526,36.600666,36.60108,38.60389,8.753049,38.604282,41.02339
4,4,0,2,3,1,5.000000e-01,5.652500e+00,1.0,3.0,41.032425,2.0,2,43.91838,high,2.8859546,0.1140454,44.438206,46.282578,46.284657,48.28617,7.2537456,48.28656,53.935886
5,5,0,8,1,0,5.000000e-01,2.422500e+00,1.0,4.0,53.941418,1.0,0,56.184895,low,2.2434793,0.7565208,56.705086,59.192017,59.19214,61.194202,7.252787,61.19459,63.614704
6,6,4,2,1,0,5.000000e-01,8.075000e-01,1.0,5.0,63.61913,2.0,2,66.23466,low,2.6155238,0.3844761,66.75552,68.869705,68.87186,70.87456,7.2554264,70.87495,71.6776
7,7,2,8,3,1,2,8.075000e-01,1.0,6.0,71.687294,2.0,8,73.08484,high,1.3975433,1.6024567,73.60424,78.43789,78.43984,80.44149,8.754196,80.44189,81.24505
8,8,2,0,1,0,5.000000e-01,8.075000e-01,1.0,7.0,81.24961,2.0,0,83.701904,low,2.4522905,0.5477095,84.22153,86.50084,86.50096,88.50269,7.253082,88.50309,89.30741
9,9,8,0,3,1,5.000000e-01,4.037500e+00,1.0,8.0,89.31608,1.0,8,90.95115,high,1.6350712,1.3649288,91.471115,94.566925,94.56735,96.57043,7.254351,96.57084,100.60381
10,10,8,4,2,1,5.000000e-01,8.075000e-01,1.0,9.0,100.7151,2.0,4,102.88496,low,2.1698575,0.8301426,103.404015,105.96501,105.96694,107.969376,7.254271,107.96976,108.773605
11,11,2,8,3,1,5.000000e-01,8.075000e-01,1.0,10.0,108.78422,2.0,8,110.38524,high,1.6010193,1.3989807,110.90434,114.03579,114.03778,116.03962,7.2554045,116.04002,116.84216
12,12,2,4,1,1,2,8.075000e-01,1.0,11.0,116.84656,1.0,2,118.75128,low,1.9047205,1.0952795,119.27111,123.597336,123.59946,125.601974,8.755416,125.60236,126.40513
13,13,8,4,1,0,3.500000e+00,2.422500e+00,1.0,12.0,126.40863,2.0,4,128.51794,low,2.1093206,0.8906794,129.03795,134.65927,134.66124,136.66377,10.255148,136.66418,139.08191
14,14,2,8,1,1,2,5.652500e+00,1.0,13.0,139.08652,1.0,2,140.6182,low,1.5316796,1.4683204,141.13785,145.8368,145.83884,147.84036,8.753837,147.84076,153.48882
15,15,2,8,3,0,2,8.075000e-01,1.0,14.0,153.49622,2.0,8,155.00102,high,1.5048007,1.4951993,155.52129,160.24712,160.24905,162.25063,8.754411,162.25102,163.05402
16,16,8,2,3,0,5.000000e-01,8.075000e-01,1.0,15.0,163.06241,1.0,8,164.61774,high,1.5553288,1.4446712,165.13715,168.31364,168.31407,170.3161,7.253703,170.3165,171.1206
