sub,Age,Gender
10369,31.95,Male
10391,44.21,Female
10418,68.64,Female
10462,62.04,Male
10478,27.9,Female
10529,67.8,Male
10555,28.86,Female 
10589,34.87,Male
10596,27.27,Female
10606,22.4,Female
10608,29.07,Female
