TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,2,16,0.5575,1,0,4,1.0,0.0,4.5056577,5.4947305,5.511825,5.511944,6.51184,6.512011,2.0,1.2165914,7.7286024,10.278728,3.767346,10.279488,10.840728
2,2,3,16,1.365,1,1,0,1.0,1.0,11.407676,12.327987,12.345195,12.345269,13.344536,13.344681,2.0,1.2511334,14.595815,17.110167,3.7660465,17.110834,18.476725
3,3,3,16,0.5575,1,0,1,1.0,2.0,19.026604,19.961813,19.978497,19.978586,20.97872,20.97886,1.0,1.0831906,22.062052,24.745405,3.7670906,24.746058,25.305107
4,4,3,16,2.98,1,4,0,1.0,3.0,25.890648,26.795153,26.81127,26.811344,27.811731,27.811874,1.0,1.1334174,28.945292,31.578783,3.767483,31.579487,34.56205
5,5,2,16,0.5575,1,4,0,1.0,4.0,35.073425,36.061348,36.07841,36.07849,37.07941,37.079563,1.0,0.9993739,38.078938,40.845535,3.7665162,40.846203,41.40589
6,6,2,32,0.5575,1,0,16,1.0,5.0,41.90518,42.89469,42.911785,42.911873,43.911713,43.911858,2.0,1.2507657,45.16262,47.677834,3.7665193,47.678505,48.237377
7,7,3,32,1.365,1,3,0,1.0,6.0,48.782207,49.728767,49.745224,49.745373,50.7457,50.74584,2.0,1.4831012,52.22894,54.51148,3.7661757,54.51212,55.87797
8,8,3,16,1.365,1,8,0,1.0,7.0,56.43183,57.36135,57.378597,57.378735,58.37965,58.37979,1.0,0.8650364,59.244827,62.146812,3.7675583,62.147457,63.513542
9,9,3,16,1.365,1,2,0,1.0,8.0,64.06423,65.01154,65.02839,65.02851,66.02769,66.02783,2.0,1.1338767,67.161705,69.795425,3.7681525,69.7961,71.162094
10,10,2,16,6.21,1,0,2,1.0,9.0,71.67231,72.6614,72.67858,72.67871,73.67865,73.67879,1.0,0.999779,74.678566,77.44532,3.767094,77.44599,83.657104
11,11,2,32,0.5575,1,0,8,1.0,10.0,84.15552,85.14469,85.1614,85.161476,86.16163,86.16177,2.0,0.9502073,87.111984,89.92863,3.7673845,89.92926,90.48851
12,12,2,16,0.5575,1,1,0,1.0,11.0,90.98896,91.978134,91.99515,91.99543,92.99544,92.99559,2.0,1.0826838,94.07828,96.762276,3.7672129,96.76291,97.32167
13,13,3,16,1.365,1,0,1,1.0,12.0,97.916435,98.8118,98.82799,98.82811,99.82758,99.827736,1.0,1.100857,100.92859,103.5942,3.7670484,103.594894,104.96153
14,14,3,32,0.5575,1,8,0,1.0,13.0,105.53747,106.46097,106.47804,106.47812,107.47761,107.47775,1.0,0.9673037,108.44505,111.24359,3.766409,111.24427,111.80362
15,15,2,32,0.5575,1,16,0,1.0,14.0,112.30585,113.29439,113.31138,113.311455,114.31121,114.311356,1.0,1.2338942,115.54525,118.078735,3.7679071,118.07936,118.63826
16,16,2,16,4.595,1,1,0,1.0,15.0,119.13871,120.12772,120.14513,120.14521,121.145584,121.14573,2.0,1.0654376,122.21117,124.91377,3.7685745,124.914406,129.51056
17,17,2,16,1.365,1,2,0,1.0,16.0,130.00574,130.99478,131.01126,131.01134,132.01158,132.01172,2.0,1.033409,133.04514,135.7786,3.7674193,135.77925,137.14505
18,18,2,16,1.365,1,0,2,1.0,17.0,137.65492,138.64464,138.66162,138.66179,139.66193,139.66206,1.0,0.9661381,140.6282,143.42958,3.7680478,143.43022,144.79654
19,19,3,32,0.5575,1,8,0,1.0,18.0,145.33871,146.2947,146.31082,146.3109,147.31058,147.31071,1.0,0.9681538,148.27887,151.07654,3.7664337,151.07727,151.63608
20,20,2,32,0.5575,1,0,8,1.0,19.0,152.13826,153.12758,153.14479,153.14487,154.14453,154.14467,2.0,1.1001,155.24477,157.91153,3.7673936,157.91217,158.47165
21,21,3,16,2.98,1,0,8,1.0,20.0,159.02959,159.96117,159.97833,159.97849,160.97789,160.97804,2.0,0.9668209,161.94487,164.74554,3.7680762,164.74623,167.72899
