onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.513100	2	cue_nonsocial	n/a	16	n/a	n/a
4.513100	2	cue_nonsocial_low	n/a	16	n/a	n/a
6.519997	1.050088	dec_nonsocial_low	1.050088	16	n/a	1
6.519997	1.050088	dec_nonsocial_low_reject	1.050088	16	reject	1
12.163149	2	cue_nonsocial	n/a	16	n/a	n/a
12.163149	2	cue_nonsocial_low	n/a	16	n/a	n/a
14.169998	0.633014	dec_nonsocial_low	0.633014	16	n/a	1
14.169998	0.633014	dec_nonsocial_low_accept	0.633014	16	accept	1
19.035135	2	cue_social	n/a	32	n/a	n/a
19.035135	2	cue_social_high	n/a	32	n/a	n/a
21.003296	1.883093	dec_social_high	1.883093	32	n/a	8
21.003296	1.883093	dec_social_high_accept	1.883093	32	accept	8
28.246807	2	cue_nonsocial	n/a	32	n/a	n/a
28.246807	2	cue_nonsocial_high	n/a	32	n/a	n/a
30.254120	1.399245	dec_nonsocial_high	1.399245	32	n/a	8
30.254120	1.399245	dec_nonsocial_high_accept	1.399245	32	accept	8
35.157110	2	cue_social	n/a	16	n/a	n/a
35.157110	2	cue_social_low	n/a	16	n/a	n/a
37.086130	0.782940	dec_social_low	0.782940	16	n/a	8
37.086130	0.782940	dec_social_low_accept	0.782940	16	accept	8
41.983517	2	cue_social	n/a	16	n/a	n/a
41.983517	2	cue_social_low	n/a	16	n/a	n/a
43.918964	1.384394	dec_social_low	1.384394	16	n/a	4
43.918964	1.384394	dec_social_low_accept	1.384394	16	accept	4
48.831673	2	cue_social	n/a	16	n/a	n/a
48.831673	2	cue_social_low	n/a	16	n/a	n/a
50.753070	0.982967	dec_social_low	0.982967	16	n/a	2
50.753070	0.982967	dec_social_low_reject	0.982967	16	reject	2
56.482586	2	cue_social	n/a	16	n/a	n/a
56.482586	2	cue_social_low	n/a	16	n/a	n/a
58.401840	0.833810	dec_social_low	0.833810	16	n/a	8
58.401840	0.833810	dec_social_low_accept	0.833810	16	accept	8
68.879350	2	cue_nonsocial	n/a	16	n/a	n/a
68.879350	2	cue_nonsocial_low	n/a	16	n/a	n/a
70.886190	1.050103	dec_nonsocial_low	1.050103	16	n/a	1
70.886190	1.050103	dec_nonsocial_low_reject	1.050103	16	reject	1
76.529816	2	cue_nonsocial	n/a	32	n/a	n/a
76.529816	2	cue_nonsocial_high	n/a	32	n/a	n/a
78.536060	1.333659	dec_nonsocial_high	1.333659	32	n/a	8
78.536060	1.333659	dec_nonsocial_high_accept	1.333659	32	accept	8
83.362915	2	cue_nonsocial	n/a	16	n/a	n/a
83.362915	2	cue_nonsocial_low	n/a	16	n/a	n/a
85.369995	1.115867	dec_nonsocial_low	1.115867	16	n/a	4
85.369995	1.115867	dec_nonsocial_low_accept	1.115867	16	accept	4
91.013016	2	cue_nonsocial	n/a	16	n/a	n/a
91.013016	2	cue_nonsocial_low	n/a	16	n/a	n/a
93.020070	1.199560	dec_nonsocial_low	1.199560	16	n/a	4
93.020070	1.199560	dec_nonsocial_low_accept	1.199560	16	accept	4
97.944200	2	cue_social	n/a	32	n/a	n/a
97.944200	2	cue_social_high	n/a	32	n/a	n/a
99.853180	1.265731	dec_social_high	1.265731	32	n/a	3
99.853180	1.265731	dec_social_high_reject	1.265731	32	reject	3
105.579050	2	cue_social	n/a	32	n/a	n/a
105.579050	2	cue_social_high	n/a	32	n/a	n/a
107.502150	1.067485	dec_social_high	1.067485	32	n/a	2
107.502150	1.067485	dec_social_high_reject	1.067485	32	reject	2
112.422240	2	cue_social	n/a	16	n/a	n/a
112.422240	2	cue_social_low	n/a	16	n/a	n/a
114.336890	0.999172	dec_social_low	0.999172	16	n/a	4
114.336890	0.999172	dec_social_low_reject	0.999172	16	reject	4
119.240240	2	cue_social	n/a	16	n/a	n/a
119.240240	2	cue_social_low	n/a	16	n/a	n/a
121.169020	1.467237	dec_social_low	1.467237	16	n/a	8
121.169020	1.467237	dec_social_low_reject	1.467237	16	reject	8
126.819230	2	cue_social	n/a	16	n/a	n/a
126.819230	2	cue_social_low	n/a	16	n/a	n/a
128.819180	1.083788	dec_social_low	1.083788	16	n/a	2
128.819180	1.083788	dec_social_low_reject	1.083788	16	reject	2
133.646770	2	cue_nonsocial	n/a	32	n/a	n/a
133.646770	2	cue_nonsocial_high	n/a	32	n/a	n/a
135.653780	1.565271	dec_nonsocial_high	1.565271	32	n/a	16
135.653780	1.565271	dec_nonsocial_high_accept	1.565271	32	accept	16
140.480000	2	cue_nonsocial	n/a	32	n/a	n/a
140.480000	2	cue_nonsocial_high	n/a	32	n/a	n/a
142.491700	1.261395	dec_nonsocial_high	1.261395	32	n/a	2
142.491700	1.261395	dec_nonsocial_high_reject	1.261395	32	reject	2
149.821210	2	cue_social	n/a	32	n/a	n/a
149.821210	2	cue_social_high	n/a	32	n/a	n/a
151.752580	0.983190	dec_social_high	0.983190	32	n/a	2
151.752580	0.983190	dec_social_high_reject	0.983190	32	reject	2
156.579600	2	cue_nonsocial	n/a	32	n/a	n/a
156.579600	2	cue_nonsocial_high	n/a	32	n/a	n/a
158.586620	0.982806	dec_nonsocial_high	0.982806	32	n/a	3
158.586620	0.982806	dec_nonsocial_high_reject	0.982806	32	reject	3
165.922900	2	cue_social	n/a	32	n/a	n/a
165.922900	2	cue_social_high	n/a	32	n/a	n/a
167.851970	0.967486	dec_social_high	0.967486	32	n/a	2
167.851970	0.967486	dec_social_high_reject	0.967486	32	reject	2
172.760130	2	cue_social	n/a	32	n/a	n/a
172.760130	2	cue_social_high	n/a	32	n/a	n/a
174.686040	0.949979	dec_social_high	0.949979	32	n/a	3
174.686040	0.949979	dec_social_high_reject	0.949979	32	reject	3
179.512910	2	cue_nonsocial	n/a	32	n/a	n/a
179.512910	2	cue_nonsocial_high	n/a	32	n/a	n/a
181.519320	1.366066	dec_nonsocial_high	1.366066	32	n/a	16
181.519320	1.366066	dec_nonsocial_high_accept	1.366066	32	accept	16
186.432340	2	cue_social	n/a	32	n/a	n/a
186.432340	2	cue_social_high	n/a	32	n/a	n/a
