onset	duration	trial_type	rt	resp	gender	image_left	image_right
0.6468840000452474	3.0008555999957025	decision	2.2822748000035062	left	F	FF017.jpg	FF018.jpg
4.196821099962108	1.0163077000761405	loss	n/a	n/a	n/a	FF017.jpg	FF018.jpg
11.163187699974515	3.0014168000780046	decision	2.282667399966158	left	F	FF035.jpg	FF036.jpg
14.713452499941923	1.0165541000897065	win	n/a	n/a	n/a	FF035.jpg	FF036.jpg
21.679906800040044	3.0020866999402642	decision	1.782879599952139	right	F	FF021.jpg	FF022.jpg
25.229839500039816	1.0166314999805763	loss	n/a	n/a	n/a	FF021.jpg	FF022.jpg
32.1968487999402	3.0014961000997573	decision	2.784974200068973	left	M	MF025.jpg	MF026.jpg
35.74646379996557	1.0000788000179455	loss	n/a	n/a	n/a	MF025.jpg	MF026.jpg
38.496283999993466	3.0011547999456525	decision	1.7830310000572354	right	M	MF027.jpg	MF028.jpg
42.046750999987125	1.0166323999874294	loss	n/a	n/a	n/a	MF027.jpg	MF028.jpg
44.813419300015084	3.0013303000014275	decision	1.2822108999826014	left	M	MF023.jpg	MF024.jpg
48.36307800002396	1.0002872999757528	win	n/a	n/a	n/a	MF023.jpg	MF024.jpg
51.11343639995903	3.0008411000017077	decision	2.282178300083615	right	F	FF037.jpg	FF038.jpg
54.66338349995203	1.0000045000342652	win	n/a	n/a	n/a	FF037.jpg	FF038.jpg
59.51356500003021	3.000895799952559	decision	2.2823333999840543	left	M	MF011.jpg	MF012.jpg
63.063010000041686	1.0004946999251842	loss	n/a	n/a	n/a	MF011.jpg	MF012.jpg
67.91311990004033	3.001058099907823	decision	1.7823718999279663	right	F	FF009.jpg	FF010.jpg
71.46305190003477	1.0002731999848038	win	n/a	n/a	n/a	FF009.jpg	FF010.jpg
74.21303129999433	3.0014912999467924	decision	2.533913500024937	right	F	FF027.jpg	FF028.jpg
77.7631784999976	1.0162003999575973	win	n/a	n/a	n/a	FF027.jpg	FF028.jpg
82.62989530002233	3.001637400011532	decision	2.032949600019492	left	F	FF015.jpg	FF016.jpg
86.17984849994536	1.0169805000768974	loss	n/a	n/a	n/a	FF015.jpg	FF016.jpg
93.14636759995483	3.0009676000336185	decision	2.28243190003559	right	M	MF029.jpg	MF030.jpg
96.69660789996851	1.0164467999711633	loss	n/a	n/a	n/a	MF029.jpg	MF030.jpg
101.56343500001822	3.001405499991961	decision	1.7817563000135124	right	M	MF015.jpg	MF016.jpg
105.11327169998549	1.0165560999885201	win	n/a	n/a	n/a	MF015.jpg	MF016.jpg
112.07989639998414	3.0010933000594378	decision	2.0326892000157386	left	M	MF007.jpg	MF008.jpg
115.62952349998523	1.000251300050877	win	n/a	n/a	n/a	MF007.jpg	MF008.jpg
120.47943399997894	3.0013892999850214	decision	2.2993013999657705	right	M	MF017.jpg	MF018.jpg
124.02983260003384	1.016723999986425	win	n/a	n/a	n/a	MF017.jpg	MF018.jpg
126.79674539994448	3.001105200033635	decision	1.782013799995184	right	F	FF033.jpg	FF034.jpg
130.34651429997757	1.0000024000182748	win	n/a	n/a	n/a	FF033.jpg	FF034.jpg
133.0962770000333	3.0013182999100536	decision	2.0324362999526784	right	F	FF007.jpg	FF008.jpg
136.64654850005172	1.016390899894759	loss	n/a	n/a	n/a	FF007.jpg	FF008.jpg
139.41424039995763	3.0016008000820875	decision	2.532484700088389	right	F	FF023.jpg	FF024.jpg
142.96298189996742	1.016505700070411	loss	n/a	n/a	n/a	FF023.jpg	FF024.jpg
156.2298349000048	3.000765400007367	decision	1.783029600046575	left	M	MF009.jpg	MF010.jpg
159.78041440004017	1.0159106999635696	loss	n/a	n/a	n/a	MF009.jpg	MF010.jpg
164.64619690005202	3.0017409999854863	decision	2.0325755999656394	right	F	FF001.jpg	FF002.jpg
168.19643220002763	1.0003127999370918	win	n/a	n/a	n/a	FF001.jpg	FF002.jpg
170.9462130999891	3.001530100009404	decision	1.782999400049448	left	M	MF019.jpg	MF020.jpg
