nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,0.5575,1,0,2
2,3,16,2.98,1,4,0
3,2,32,2.98,1,8,0
4,3,16,0.5575,1,8,0
5,3,16,1.365,1,0,8
6,2,32,0.5575,1,0,2
7,2,16,0.5575,1,2,0
8,2,16,0.5575,1,0,8
9,3,32,0.5575,1,3,0
10,2,32,0.5575,1,8,0
11,3,32,1.365,1,3,0
12,3,32,1.365,1,2,0
13,2,32,1.365,1,0,3
14,3,32,1.365,1,0,3
15,2,16,1.365,1,0,4
16,2,16,0.5575,1,0,2
17,2,16,1.365,1,2,0
18,3,16,2.98,1,1,0
19,3,32,2.98,1,0,8
20,3,32,0.5575,1,0,16
21,3,16,6.21,1,4,0
22,3,32,0.5575,1,0,3
23,3,16,0.5575,1,0,1
24,3,32,2.98,1,8,0
25,2,32,0.5575,1,0,16
26,2,16,0.5575,1,0,2
27,2,32,2.98,1,0,8
28,2,16,1.365,1,1,0
29,2,32,1.365,1,0,3
30,2,16,0.5575,1,0,4
31,2,32,0.5575,1,2,0
32,2,16,0.5575,1,0,8
33,2,16,0.5575,1,8,0
34,3,32,4.595,1,16,0
35,3,32,1.365,1,0,2
36,3,16,4.595,1,0,4
37,3,32,0.5575,1,16,0
38,2,16,0.5575,1,0,8
39,3,32,0.5575,1,0,8
40,3,32,2.98,1,0,3
41,3,16,1.365,1,8,0
42,2,16,1.365,1,0,1
43,2,16,4.595,1,4,0
44,3,16,0.5575,1,0,2
45,3,32,0.5575,1,0,2
46,2,16,0.5575,1,8,0
47,2,16,1.365,1,0,1
48,3,16,0.5575,1,1,0
