nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,16,2.98,1,0,8
2,3,32,0.5575,1,0,3
3,2,16,0.5575,1,2,0
4,3,16,1.365,1,0,4
5,2,16,0.5575,1,0,2
6,2,16,2.98,1,0,4
7,2,16,1.365,1,1,0
8,3,32,0.5575,1,0,8
9,2,16,2.98,1,0,2
10,3,32,2.98,1,0,2
11,2,16,1.365,1,1,0
12,2,16,0.5575,1,0,8
13,2,32,0.5575,1,0,16
14,3,16,1.365,1,0,2
15,2,16,0.5575,1,0,2
16,3,32,0.5575,1,0,16
17,2,16,0.5575,1,4,0
18,3,16,2.98,1,0,1
19,3,32,1.365,1,0,16
20,3,16,6.21,1,1,0
21,3,32,0.5575,1,16,0
22,2,16,0.5575,1,0,1
23,3,32,0.5575,1,3,0
24,3,32,1.365,1,16,0
25,3,32,1.365,1,0,8
26,2,16,0.5575,1,4,0
27,2,16,1.365,1,0,1
28,2,32,2.98,1,0,2
29,2,16,1.365,1,0,8
30,3,32,0.5575,1,0,8
31,3,32,0.5575,1,2,0
32,2,16,0.5575,1,0,2
33,2,32,0.5575,1,0,16
34,2,32,1.365,1,0,2
35,2,32,4.595,1,0,8
36,3,16,0.5575,1,0,2
37,3,32,1.365,1,0,8
38,2,16,0.5575,1,8,0
39,3,32,0.5575,1,0,3
40,3,32,1.365,1,0,16
41,2,32,0.5575,1,0,3
42,3,16,2.98,1,0,1
43,2,32,4.595,1,8,0
44,3,32,4.595,1,0,3
45,2,16,0.5575,1,8,0
46,3,16,0.5575,1,0,1
47,2,32,1.365,1,8,0
48,3,16,0.5575,1,4,0
