nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,1.365,1,0,3
2,2,32,0.5575,1,16,0
3,2,32,0.5575,1,0,3
4,3,32,1.365,1,0,8
5,2,16,0.5575,1,0,8
6,3,32,0.5575,1,3,0
7,3,32,1.365,1,0,16
8,2,32,0.5575,1,0,8
9,3,16,1.365,1,0,4
10,2,32,2.98,1,0,8
11,2,16,0.5575,1,0,2
12,3,32,1.365,1,3,0
13,2,32,1.365,1,16,0
14,2,16,1.365,1,0,8
15,2,16,0.5575,1,0,4
16,3,16,2.98,1,2,0
17,3,16,0.5575,1,1,0
18,3,16,1.365,1,1,0
19,2,16,0.5575,1,1,0
20,3,32,1.365,1,0,16
21,2,16,0.5575,1,0,1
22,3,16,0.5575,1,8,0
23,3,32,0.5575,1,2,0
24,2,16,6.21,1,1,0
25,3,32,1.365,1,0,3
26,2,32,1.365,1,0,8
27,2,32,0.5575,1,2,0
28,2,32,2.98,1,0,2
29,3,32,2.98,1,0,16
30,3,16,2.98,1,4,0
31,3,16,2.98,1,0,4
32,3,32,0.5575,1,0,8
33,3,32,0.5575,1,2,0
34,2,16,4.595,1,0,2
35,3,16,0.5575,1,0,1
36,2,16,4.595,1,8,0
37,2,32,1.365,1,0,16
38,3,32,0.5575,1,3,0
39,2,16,0.5575,1,0,2
40,2,16,0.5575,1,0,2
41,2,32,0.5575,1,0,8
42,2,16,4.595,1,1,0
43,3,32,0.5575,1,0,3
44,3,16,2.98,1,8,0
45,3,16,1.365,1,8,0
46,2,32,0.5575,1,8,0
47,3,32,0.5575,1,2,0
48,3,16,0.5575,1,0,4
