nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,0.5575,1,3,0
2,3,16,1.365,1,8,0
3,2,16,0.5575,1,0,2
4,3,16,1.365,1,1,0
5,3,32,0.5575,1,0,3
6,2,32,1.365,1,0,8
7,2,32,0.5575,1,16,0
8,3,32,2.98,1,0,8
9,3,16,0.5575,1,0,8
10,2,16,0.5575,1,0,1
11,3,32,6.21,1,0,8
12,2,16,4.595,1,8,0
13,3,16,4.595,1,4,0
14,3,16,1.365,1,8,0
15,3,16,0.5575,1,1,0
16,2,32,2.98,1,2,0
17,3,16,1.365,1,0,4
18,2,16,0.5575,1,8,0
19,2,16,0.5575,1,0,1
20,3,16,1.365,1,2,0
21,3,16,1.365,1,4,0
22,3,32,0.5575,1,0,2
23,2,32,0.5575,1,3,0
24,3,32,0.5575,1,16,0
25,2,16,2.98,1,0,4
26,2,32,2.98,1,0,2
27,3,16,0.5575,1,1,0
28,2,16,0.5575,1,0,2
29,3,32,2.98,1,0,2
30,3,32,0.5575,1,2,0
31,2,32,2.98,1,0,16
32,2,32,0.5575,1,3,0
33,2,32,0.5575,1,3,0
34,3,16,1.365,1,0,2
35,2,32,1.365,1,0,8
36,3,16,1.365,1,4,0
37,2,32,0.5575,1,0,8
38,2,16,4.595,1,1,0
39,2,16,0.5575,1,4,0
40,3,16,0.5575,1,8,0
41,2,32,1.365,1,0,8
42,3,16,0.5575,1,2,0
43,2,32,1.365,1,16,0
44,2,16,1.365,1,0,1
45,3,32,2.98,1,0,16
46,3,16,0.5575,1,0,2
47,2,16,0.5575,1,8,0
48,2,16,0.5575,1,2,0
