nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,2.98,1,8,0
2,2,16,4.595,1,8,0
3,3,16,1.365,1,2,0
4,3,16,1.365,1,0,1
5,3,16,0.5575,1,0,4
6,2,32,0.5575,1,0,16
7,3,32,1.365,1,16,0
8,3,32,6.21,1,3,0
9,3,32,2.98,1,2,0
10,3,32,0.5575,1,0,8
11,2,32,1.365,1,3,0
12,3,16,2.98,1,0,2
13,2,16,0.5575,1,4,0
14,2,16,0.5575,1,0,4
15,2,32,4.595,1,8,0
16,3,32,0.5575,1,0,2
17,2,16,0.5575,1,0,1
18,2,16,0.5575,1,8,0
19,3,32,0.5575,1,0,8
20,3,16,1.365,1,8,0
21,2,32,1.365,1,0,3
22,2,32,1.365,1,0,3
23,2,32,2.98,1,3,0
24,2,16,0.5575,1,4,0
25,3,16,0.5575,1,2,0
26,3,16,0.5575,1,0,8
27,2,16,0.5575,1,1,0
28,2,32,0.5575,1,0,3
29,3,16,0.5575,1,4,0
30,2,16,0.5575,1,0,1
31,2,32,1.365,1,2,0
32,2,16,0.5575,1,1,0
33,3,32,2.98,1,3,0
34,3,16,0.5575,1,8,0
35,2,16,0.5575,1,8,0
36,2,32,1.365,1,16,0
37,3,32,1.365,1,16,0
38,3,32,0.5575,1,2,0
39,3,16,4.595,1,0,8
40,2,32,0.5575,1,8,0
41,2,32,0.5575,1,0,8
42,2,32,2.98,1,0,3
43,3,32,0.5575,1,0,2
44,2,32,1.365,1,0,16
45,3,16,0.5575,1,0,1
46,2,16,1.365,1,0,1
47,3,32,2.98,1,8,0
48,3,32,1.365,1,3,0
