nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,0.5575,1,8,0
2,3,32,0.5575,1,16,0
3,2,32,6.21,1,0,8
4,3,16,0.5575,1,0,8
5,3,32,0.5575,1,8,0
6,2,16,2.98,1,0,4
7,2,16,1.365,1,2,0
8,3,32,1.365,1,8,0
9,3,32,2.98,1,0,2
10,3,32,1.365,1,3,0
11,3,32,2.98,1,8,0
12,3,32,0.5575,1,3,0
13,2,16,4.595,1,8,0
14,2,16,0.5575,1,0,4
15,2,16,4.595,1,1,0
16,3,32,2.98,1,16,0
17,3,32,2.98,1,2,0
18,3,16,0.5575,1,8,0
19,2,16,1.365,1,1,0
20,2,32,1.365,1,0,3
21,2,32,0.5575,1,0,2
22,2,32,0.5575,1,0,16
23,2,32,0.5575,1,0,16
24,2,32,0.5575,1,0,3
25,3,32,4.595,1,3,0
26,3,32,0.5575,1,0,2
27,3,32,0.5575,1,0,8
28,2,32,0.5575,1,3,0
29,3,16,1.365,1,0,8
30,3,32,1.365,1,3,0
31,2,16,0.5575,1,0,1
32,3,32,0.5575,1,0,16
33,2,16,0.5575,1,8,0
34,2,16,1.365,1,0,1
35,2,16,0.5575,1,0,8
36,3,16,1.365,1,0,1
37,3,16,2.98,1,0,2
38,2,16,1.365,1,2,0
39,3,16,0.5575,1,0,4
40,2,32,0.5575,1,0,8
41,2,32,0.5575,1,3,0
42,2,32,0.5575,1,8,0
43,2,16,0.5575,1,8,0
44,3,16,1.365,1,1,0
45,3,16,2.98,1,1,0
46,3,16,1.365,1,4,0
47,2,32,1.365,1,2,0
48,3,16,0.5575,1,0,2
