nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,16,0.5575,1,4,0
2,2,16,1.365,1,2,0
3,3,32,1.365,1,2,0
4,2,16,1.365,1,1,0
5,2,32,1.365,1,0,16
6,3,16,1.365,1,8,0
7,3,16,1.365,1,0,2
8,3,16,0.5575,1,0,2
9,2,16,0.5575,1,8,0
10,2,16,2.98,1,0,4
11,2,32,0.5575,1,0,16
12,3,32,0.5575,1,16,0
13,2,32,0.5575,1,0,16
14,3,32,0.5575,1,0,2
15,3,16,1.365,1,8,0
16,2,16,0.5575,1,1,0
17,2,16,0.5575,1,0,4
18,3,32,0.5575,1,0,16
19,3,32,0.5575,1,8,0
20,3,16,2.98,1,8,0
21,3,32,1.365,1,2,0
22,2,16,1.365,1,0,8
23,2,16,0.5575,1,0,1
24,2,32,0.5575,1,0,8
25,3,16,0.5575,1,4,0
26,3,16,0.5575,1,4,0
27,3,16,1.365,1,0,1
28,2,16,0.5575,1,0,1
29,3,32,0.5575,1,8,0
30,3,16,2.98,1,2,0
31,3,16,2.98,1,0,1
32,2,32,1.365,1,3,0
33,3,16,0.5575,1,0,8
34,2,16,0.5575,1,0,2
35,2,16,4.595,1,0,4
36,2,32,6.21,1,0,16
37,2,16,0.5575,1,2,0
38,3,16,1.365,1,1,0
39,2,32,0.5575,1,3,0
40,2,32,4.595,1,2,0
41,3,16,0.5575,1,0,4
42,3,16,2.98,1,4,0
43,2,16,2.98,1,0,2
44,3,16,1.365,1,2,0
45,2,32,0.5575,1,0,8
46,3,32,2.98,1,0,3
47,3,32,0.5575,1,0,3
48,2,32,4.595,1,0,2
