nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,32,1.365,1,0,3
2,3,32,0.5575,1,0,16
3,3,32,2.98,1,0,8
4,2,16,1.365,1,8,0
5,2,32,0.5575,1,0,2
6,2,32,0.5575,1,3,0
7,3,32,2.98,1,0,2
8,3,16,1.365,1,0,2
9,2,16,4.595,1,0,2
10,3,32,1.365,1,0,3
11,2,32,0.5575,1,8,0
12,3,16,1.365,1,0,1
13,2,16,1.365,1,0,1
14,3,16,0.5575,1,0,1
15,3,32,0.5575,1,16,0
16,2,16,0.5575,1,4,0
17,2,32,4.595,1,16,0
18,2,16,0.5575,1,0,4
19,2,16,0.5575,1,8,0
20,2,32,2.98,1,2,0
21,3,16,0.5575,1,0,4
22,3,32,2.98,1,2,0
23,3,16,0.5575,1,0,8
24,3,32,1.365,1,8,0
25,3,16,2.98,1,0,4
26,2,32,2.98,1,16,0
27,3,16,1.365,1,1,0
28,2,16,1.365,1,0,1
29,2,32,0.5575,1,0,3
30,3,16,1.365,1,0,8
31,3,32,6.21,1,3,0
32,2,16,0.5575,1,1,0
33,3,32,1.365,1,0,8
34,3,16,1.365,1,0,4
35,2,16,0.5575,1,4,0
36,3,32,0.5575,1,0,2
37,2,32,0.5575,1,0,3
38,3,16,0.5575,1,0,2
39,2,16,0.5575,1,8,0
40,2,16,0.5575,1,2,0
41,3,32,0.5575,1,16,0
42,2,16,0.5575,1,4,0
43,2,32,0.5575,1,0,3
44,2,16,1.365,1,8,0
45,2,16,0.5575,1,0,1
46,3,32,0.5575,1,0,16
47,2,32,4.595,1,0,8
48,3,16,2.98,1,2,0
