nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,32,0.5575,1,8,0
2,2,16,0.5575,1,2,0
3,2,32,1.365,1,3,0
4,2,16,0.5575,1,0,4
5,2,32,6.21,1,16,0
6,3,16,0.5575,1,2,0
7,2,32,0.5575,1,16,0
8,3,32,0.5575,1,8,0
9,3,16,1.365,1,0,1
10,2,32,0.5575,1,2,0
11,3,16,0.5575,1,2,0
12,2,16,0.5575,1,8,0
13,3,16,1.365,1,4,0
14,2,32,0.5575,1,2,0
15,2,32,1.365,1,0,2
16,2,16,0.5575,1,8,0
17,2,32,2.98,1,0,3
18,2,32,2.98,1,0,8
19,3,16,1.365,1,4,0
20,3,32,0.5575,1,0,3
21,3,32,0.5575,1,2,0
22,3,32,0.5575,1,2,0
23,3,32,0.5575,1,0,2
24,3,16,4.595,1,1,0
25,2,32,1.365,1,0,8
26,2,32,2.98,1,0,16
27,3,32,0.5575,1,8,0
28,3,32,1.365,1,0,3
29,3,32,2.98,1,2,0
30,2,16,1.365,1,4,0
31,3,16,2.98,1,0,8
32,3,32,0.5575,1,16,0
33,3,32,1.365,1,0,8
34,2,16,0.5575,1,4,0
35,3,16,1.365,1,0,8
36,3,32,0.5575,1,0,8
37,2,32,1.365,1,0,3
38,2,16,4.595,1,2,0
39,3,16,0.5575,1,0,8
40,3,32,2.98,1,3,0
41,3,32,0.5575,1,16,0
42,2,16,0.5575,1,0,1
43,3,16,2.98,1,0,2
44,2,16,1.365,1,1,0
45,2,32,1.365,1,16,0
46,3,16,4.595,1,0,8
47,2,32,0.5575,1,0,3
48,2,32,0.5575,1,2,0
