TrialNumber,Trialn,TrialType,Partner,Feedback,ITI,ISI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,ISI_onset,isi_for_trial,ISI_offset,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset,final_fix_offset
45,45,7,3,1,8.075000e-01,8.075000e-01,1.0,44.0,--,--,324.77713,1.0,325.29807,0.5209359,325.39844,2.9865642,328.38776,8.0,328.38788,328.99353,4.2164087,328.99368,329.8039,--
46,46,5,2,2,8.882500e+00,8.075000e-01,1.0,45.0,--,--,329.81546,2.0,330.24768,0.4322074,330.34805,3.0752926,333.42532,5.0,333.42545,334.03052,4.2150607,334.03067,342.91486,--
47,47,1,1,1,8.075000e-01,1.615000e+00,1.0,46.0,--,--,342.91788,1.0,343.7475,0.8296377,343.8479,3.4853623,347.33487,6.0,347.335,347.9398,5.0219197,347.93994,348.74963,--
48,48,1,1,1,2.422500e+00,2.422500e+00,1.0,47.0,--,--,348.75153,2.0,349.38104,0.6295393,349.48154,4.492961,353.97668,2.0,353.9768,354.58087,5.829363,354.58102,357.00528,--
49,49,1,1,1,8.075000e-01,8.075000e-01,1.0,48.0,--,--,357.00717,1.0,357.63065,0.6234857,357.73102,2.8840144,360.61688,8.0,360.617,361.221,4.2138314,361.22116,362.03018,--
50,50,7,3,1,8.075000e-01,1.615000e+00,1.0,49.0,--,--,362.03827,2.0,362.78104,0.7427796,362.88144,3.5722203,366.45544,3.0,366.45557,367.059,5.0207276,367.05914,367.8684,--
51,51,4,2,1,8.075000e-01,1.615000e+00,1.0,50.0,--,--,367.8796,2.0,369.23083,1.3512108,369.33124,2.9637892,372.2963,3.0,372.2964,372.90088,5.0212636,372.90103,373.71082,--
52,52,3,1,3,5.652500e+00,8.075000e-01,1.0,51.0,--,--,373.71378,0.0,376.4928,2.779009,376.59317,0.7284908,377.32385,999.0,377.32397,377.92776,4.213972,377.92792,383.58298,--
53,53,7,3,1,2.422500e+00,1.615000e+00,1.0,52.0,--,--,383.59097,2.0,384.43082,0.8398355,384.5312,3.4751644,388.0088,1.0,388.0089,388.61386,5.0228987,388.614,391.03864,--
54,54,1,1,1,7.267500e+00,1.615000e+00,1.0,53.0,--,--,391.04156,0.0,393.82104,2.7794647,393.92142,1.5355352,395.4584,999.0,395.45853,396.06192,5.0203524,396.06207,403.33133,411.9998
